threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,27680,3883,23797,3243,640,0.8351789853206284,0.14028179190751444,0.11716040462427746,1,0.12026022608872289,5.735598227474151,23056,0.9688616212127579,2596,3870,8228,4828,232,414,92
0.075,17382,3339,14043,2835,504,0.8490566037735849,0.19209527096996892,0.16309975837072835,1,0.13413784454167943,4.93205317577548,13550,0.9648935412661113,1812,2471,4300,3505,155,280,56
0.1,13402,3013,10389,2600,413,0.86292731496847,0.2248171914639606,0.19400089538874796,1,0.14800855573656446,4.450516986706056,9997,0.9622677832322649,1454,1877,2927,2941,126,217,48
0.125,10548,2712,7836,2364,348,0.8716814159292036,0.2571103526734926,0.2241183162684869,1,0.15676265669729805,4.005908419497785,7537,0.9618427769270036,1147,1410,2025,2476,97,165,36
0.15,8849,2463,6386,2170,293,0.881039382866423,0.2783365352017177,0.2452254492032998,1,0.16612062363451752,3.638109305760709,6150,0.963044159098027,942,1140,1576,2166,79,124,33
0.175,7627,2293,5334,2029,264,0.8848669864805931,0.30064245443818016,0.2660285826668415,1,0.16994822724868763,3.3870014771048744,5144,0.9643794525684289,837,951,1205,1928,62,101,27
0.2,6469,2078,4391,1862,216,0.8960538979788258,0.32122430051012524,0.2878342865976194,1,0.18113513874692033,3.069423929098966,4223,0.961739922568891,691,748,972,1651,54,92,22
0.22499999999999998,5692,1909,3783,1724,185,0.9030906233630173,0.3353829936753338,0.30288123682361207,1,0.18817186413111175,2.8197932053175774,3630,0.9595559080095163,596,635,793,1495,48,84,21
0.25,5039,1779,3260,1616,163,0.9083754918493536,0.353046239333201,0.3206985512998611,1,0.1934567326174481,2.6277695716395866,3129,0.9598159509202454,514,533,652,1337,42,75,14
0.27499999999999997,4539,1700,2839,1546,154,0.9094117647058824,0.37453183520599254,0.34060365719321434,1,0.19449300547397685,2.511078286558346,2721,0.9584360690383938,461,459,516,1217,38,67,13
0.3,3930,1562,2368,1427,135,0.913572343149808,0.3974554707379135,0.36310432569974554,1,0.19865358391790244,2.307237813884786,2263,0.9556587837837838,382,374,400,1056,34,59,12
0.32499999999999996,3628,1468,2160,1343,125,0.9148501362397821,0.4046306504961411,0.37017640573318633,1,0.19993137700787655,2.1683899556868536,2063,0.9550925925925926,344,338,355,978,31,54,12
0.35,3183,1353,1830,1238,115,0.9150036954915004,0.42507068803016024,0.38894125039271127,1,0.2000849362595949,1.9985228951255538,1743,0.9524590163934427,284,282,283,864,28,48,11
0.37499999999999994,2895,1269,1626,1163,106,0.9164696611505122,0.4383419689119171,0.401727115716753,1,0.2015509019186067,1.8744460856720828,1546,0.95079950799508,257,243,241,779,25,44,11
0.39999999999999997,2469,1135,1334,1046,89,0.9215859030837005,0.45970028351559333,0.42365330093155124,1,0.20666714385179497,1.6765140324963073,1271,0.9527736131934033,208,195,194,649,20,35,8
0.42499999999999993,2034,1005,1029,934,71,0.9293532338308458,0.4941002949852507,0.4591937069813176,1,0.21443447459894027,1.484490398818316,978,0.9504373177842566,160,148,120,539,15,30,6
0.44999999999999996,1807,922,885,860,62,0.9327548806941431,0.5102379634753735,0.4759269507470946,1,0.21783612146223763,1.361890694239291,840,0.9491525423728814,141,127,88,474,13,26,6
0.475,1580,831,749,776,55,0.9338146811070999,0.5259493670886076,0.4911392405063291,1,0.21889592187519435,1.2274741506646971,709,0.9465954606141522,114,105,65,415,11,23,6
0.49999999999999994,1459,785,674,736,49,0.9375796178343949,0.5380397532556546,0.5044551062371487,1,0.2226608586024894,1.1595273264401773,638,0.9465875370919882,103,91,52,383,8,22,6
0.525,1186,680,506,641,39,0.9426470588235294,0.5733558178752108,0.5404721753794266,1,0.22772829959162388,1.0044313146233383,478,0.9446640316205533,77,56,36,301,6,17,5
0.5499999999999999,1040,607,433,573,34,0.943986820428336,0.5836538461538462,0.5509615384615385,1,0.22906806119643053,0.896602658788774,408,0.9422632794457275,68,42,23,273,5,17,3
0.575,847,509,338,479,30,0.9410609037328095,0.6009445100354192,0.5655253837072018,1,0.22614214450090397,0.7518463810930576,317,0.9378698224852071,53,34,19,209,5,14,2
0.6,718,438,280,415,23,0.9474885844748858,0.6100278551532033,0.5779944289693594,1,0.2325698252429803,0.6469719350073855,259,0.925,43,27,16,172,5,14,2
0.625,605,380,225,358,22,0.9421052631578948,0.628099173553719,0.5917355371900826,1,0.22718650392598927,0.5612998522895125,208,0.9244444444444444,33,18,10,146,4,11,2
0.65,532,346,186,326,20,0.9421965317919075,0.650375939849624,0.6127819548872181,1,0.22727777256000203,0.5110782865583456,173,0.9301075268817204,27,15,6,124,4,7,2
0.675,399,274,125,262,12,0.9562043795620438,0.6867167919799498,0.656641604010025,1,0.24128562033013834,0.40472673559822747,116,0.928,16,8,2,90,1,7,1
0.7,300,211,89,203,8,0.9620853080568721,0.7033333333333334,0.6766666666666666,1,0.24716654882496658,0.31166912850812406,80,0.898876404494382,9,5,2,64,1,7,1
