bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2466,0.02758571763774709,0.00202757502027575,0.0,0.0437255191527125
1,2466,0.059257900567340524,0.006488240064882401,0.0437255191527125,0.0757316578946977
2,2467,0.09215678978077349,0.009323064450749898,0.0757316578946977,0.11044822312872551
3,2465,0.13076149519554153,0.017849898580121704,0.11044822312872551,0.1520310603501329
4,2466,0.1800262197377129,0.019464720194647202,0.1520310603501329,0.2115467604600185
5,2467,0.24867348888206167,0.02959059586542359,0.2115467604600185,0.28940955819048875
6,2465,0.33748759230455494,0.04949290060851927,0.28940955819048875,0.3895071605196512
7,2466,0.44655952560184703,0.07137064071370641,0.3895071605196512,0.5080970875255892
8,2466,0.5767137482026655,0.11354420113544202,0.5080970875255892,0.6459275837359567
9,2467,0.7269314550898475,0.22659100121605188,0.6459275837359567,1.0
