metric_group,protocol,score_type,ece,mce,rows,prevalence,n_points,best_net_benefit,best_threshold,mean_precision,std_precision,mean_coverage,std_coverage,n_races
batch_calibration,ml_pretrain,raw_proba,0.19350858120182332,0.5025488619503032,103015.0,,,,,,,,,
batch_calibration,ml_pretrain,calibrated_proba,0.018059300625880806,0.06953230801201304,103015.0,,,,,,,,,
batch_calibration,ml_racewise,raw_proba,0.16847743572207097,0.4810869086285392,123129.0,,,,,,,,,
batch_calibration,ml_racewise,calibrated_proba,0.014298515391816305,0.06100117543788397,123129.0,,,,,,,,,
moa_surrogate_calibration,moa_surrogate,y_score,0.2280481371973756,0.5003404538737956,24661.0,,,,,,,,,
batch_pr_gain,ml_pretrain,raw_proba,,,,0.07498907926030189,102837.0,,,,,,,
batch_pr_gain,ml_pretrain,calibrated_proba,,,,0.07498907926030189,1928.0,,,,,,,
batch_pr_gain,ml_racewise,raw_proba,,,,0.06701102096175555,122915.0,,,,,,,
batch_pr_gain,ml_racewise,calibrated_proba,,,,0.06701102096175555,4252.0,,,,,,,
batch_decision_curve,ml_pretrain,raw_proba,,,,,,0.06511496560518547,0.01,,,,,
batch_decision_curve,ml_pretrain,calibrated_proba,,,,,,0.06521341159986019,0.01,,,,,
batch_decision_curve,ml_racewise,raw_proba,,,,,,0.05694143064705645,0.01,,,,,
batch_decision_curve,ml_racewise,calibrated_proba,,,,,,0.057315678858938374,0.01,,,,,
moa_surrogate_decision_curve,moa_surrogate,y_score,,,,,,0.04508980154736612,0.01,,,,,
temporal_drift,Batch ML,comparator,,,,,,,,0.9239304239304239,0.236078284101602,0.7460749214619184,0.22200857533810575,37.0
temporal_drift,MOA,comparator,,,,,,,,0.8580567257776301,0.15610335302205422,0.24072520360165325,0.11189957060315187,96.0
temporal_drift,SDE,comparator,,,,,,,,0.7332782223813278,0.14226949618281481,0.16253218587301585,0.11059509133045584,96.0
