fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.16,0.16,0.16,0.012355848434925865,0.9333333333333333,0.10852713178294573,0.19444444444444445,0,0.0483870967741935
2,957,60,0.06269592476489028,0.09999999999999988,0.0999999999999999,0.0999999999999999,0.034482758620689655,0.5757575757575758,0.31666666666666665,0.40860215053763443,0,0.0554216867469879
3,1206,27,0.022388059701492536,0.11,0.11,0.11,0.007462686567164179,0.8888888888888888,0.2962962962962963,0.4444444444444444,0,0.0612244897959183
4,1110,57,0.051351351351351354,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0241935483870967
5,1316,61,0.04635258358662614,0.39999999999999997,0.4,0.4,0.0,,0.0,,0,0.0843373493975903
6,1717,56,0.032615026208503206,0.5,0.5,0.5,0.0,,0.0,,0,0.0313014827018121
7,1554,105,0.06756756756756757,0.75,0.75,0.75,0.0006435006435006435,1.0,0.009523809523809525,0.01886792452830189,0,0.1007194244604316
8,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1052631578947368
9,1583,111,0.07012002526847758,0.4,0.4,0.4,0.0,,0.0,,0,0.056985294117647
10,1146,60,0.05235602094240838,0.6399999999999999,0.64,0.64,0.014834205933682374,0.5294117647058824,0.15,0.23376623376623373,0,0.0945273631840796
11,1553,101,0.06503541532517708,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.0498753117206982
12,938,83,0.08848614072494669,0.8699999999999997,0.87,0.87,0.0031982942430703624,0.3333333333333333,0.012048192771084338,0.023255813953488372,0,0.0745614035087719
13,1596,110,0.06892230576441102,0.9399999999999997,0.94,0.94,0.0012531328320802004,0.5,0.00909090909090909,0.01785714285714286,0,0.0562060889929742
14,1168,72,0.06164383561643835,0.5700000000000002,0.5700000000000001,0.5700000000000001,0.0,,0.0,,0,0.0682819383259911
15,1231,44,0.03574329813160033,0.99,0.99,0.99,0.0,,0.0,,0,0.044578313253012
16,934,38,0.04068522483940043,0.5,0.5,0.5,0.0,,0.0,,0,0.0351955307262569
17,944,26,0.02754237288135593,0.6599999999999999,0.66,0.66,0.0,,0.0,,0,0.0208659363588941
18,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.0,,0.0,,0,0.1083123425692695
19,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.0348128807658833
20,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0266272189349112
21,1297,95,0.07324595219737856,0.75,0.75,0.75,0.0015420200462606013,0.5,0.010526315789473684,0.020618556701030927,0,0.1052631578947368
22,877,18,0.020524515393386546,0.72,0.72,0.72,0.002280501710376283,1.0,0.1111111111111111,0.19999999999999998,0,0.0685714285714285
23,1057,22,0.020813623462630087,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.01229895931882687,0.9230769230769231,0.5454545454545454,0.6857142857142856,0,0.0399361022364217
24,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0378787878787878
25,1274,195,0.15306122448979592,0.7599999999999999,0.76,0.76,0.02511773940345369,0.625,0.10256410256410256,0.17621145374449337,0,0.2461538461538462
26,1071,95,0.08870214752567694,0.99,0.99,0.99,0.006535947712418301,0.2857142857142857,0.021052631578947368,0.0392156862745098,0,0.3278688524590163
27,1274,85,0.06671899529042387,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.0747126436781609
28,1079,98,0.09082483781278962,0.75,0.75,0.75,0.0,,0.0,,0,0.061923583662714
29,835,21,0.025149700598802394,0.5,0.5,0.5,0.0,,0.0,,0,0.0629921259842519
30,1322,102,0.07715582450832073,0.75,0.75,0.75,0.0,,0.0,,0,0.1354166666666666
31,1409,71,0.050390347764371894,0.9900000000000001,0.99,0.99,0.0021291696238466998,0.6666666666666666,0.028169014084507043,0.054054054054054064,0,0.2068965517241379
32,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0219683655536028
33,1529,100,0.06540222367560497,0.75,0.75,0.75,0.0,,0.0,,0,0.06945420272470347
34,1557,161,0.10340398201669879,0.78,0.78,0.78,0.005780346820809248,0.8888888888888888,0.049689440993788817,0.09411764705882353,0,0.4
35,1649,184,0.11158277744087326,0.99,0.99,0.99,0.010915706488781079,0.9444444444444444,0.09239130434782608,0.1683168316831683,0,0.1818181818181818
36,1205,93,0.07717842323651453,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.004149377593360996,0.8,0.043010752688172046,0.08163265306122451,0,0.10477724100912578
37,1562,157,0.10051216389244558,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0006402048655569782,1.0,0.006369426751592357,0.012658227848101266,0,0.1533923303834808
38,981,133,0.13557594291539246,0.9900000000000001,0.99,0.99,0.0030581039755351682,1.0,0.022556390977443608,0.04411764705882353,0,0.1885964912280701
39,1684,153,0.09085510688836104,0.8,0.8,0.8,0.0005938242280285036,1.0,0.006535947712418301,0.012987012987012988,0,0.14540059347181
40,1269,124,0.09771473601260836,0.8100000000000003,0.81,0.81,0.002364066193853428,1.0,0.024193548387096774,0.047244094488188976,0,0.146788990825688
41,1237,95,0.07679870654810024,0.75,0.75,0.75,0.0,,0.0,,0,0.0861027190332326
42,1416,81,0.057203389830508475,0.75,0.75,0.75,0.0014124293785310734,1.0,0.024691358024691357,0.048192771084337345,0,0.0761789600967352
43,1355,126,0.0929889298892989,0.7999999999999998,0.8,0.8,0.014022140221402213,0.5789473684210527,0.0873015873015873,0.15172413793103445,0,0.4014869888475836
44,1717,102,0.0594059405940594,0.84,0.8400000000000001,0.8400000000000001,0.0,,0.0,,0,0.1386138613861386
45,1647,80,0.048573163327261686,0.78,0.78,0.78,0.0,,0.0,,0,0.1402714932126697
46,1435,130,0.09059233449477352,0.75,0.75,0.75,0.0006968641114982578,1.0,0.007692307692307693,0.015267175572519085,0,0.1834319526627219
47,877,18,0.020524515393386546,0.75,0.75,0.75,0.0,,0.0,,0,0.0248736883015934
48,1057,88,0.08325449385052035,0.8100000000000003,0.81,0.81,0.000946073793755913,1.0,0.011363636363636364,0.02247191011235955,0,0.0475129918337045
49,1046,57,0.05449330783938815,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.042087542087542
50,1591,242,0.15210559396605908,0.8000000000000002,0.8,0.8,0.03268384663733501,0.7884615384615384,0.16942148760330578,0.2789115646258503,0,0.5476190476190477
51,1321,118,0.08932626797880394,0.75,0.75,0.75,0.0,,0.0,,0,0.1373239436619718
52,1425,112,0.07859649122807018,0.79,0.79,0.79,0.0,,0.0,,0,0.1
53,1400,132,0.09428571428571429,0.77,0.77,0.77,0.0,,0.0,,0,0.1839913232104146
54,1504,124,0.08244680851063829,0.8900000000000001,0.89,0.89,0.0,,0.0,,0,0.3539823008849557
