scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,42996,0.41737611027520266,0.032798585728661706,0.020048376593171456,0.01275020913549025
overall,raw,1,0.1,0.2,13673,0.13272824345969034,0.14557445818320072,0.03181452497623053,0.1137599332069702
overall,raw,2,0.2,0.30000000000000004,9293,0.09021016356841237,0.24767243671979097,0.042182287743462825,0.20549014897632814
overall,raw,3,0.30000000000000004,0.4,7628,0.07404746881522109,0.34867426878848373,0.04798112218143681,0.30069314660704693
overall,raw,4,0.4,0.5,6701,0.06504877930398485,0.4488184807763458,0.0605879719444859,0.3882305088318599
overall,raw,5,0.5,0.6000000000000001,6122,0.05942823860602825,0.5491327264853374,0.08167265599477296,0.4674600704905644
overall,raw,6,0.6000000000000001,0.7000000000000001,5348,0.051914769693733924,0.648232576456102,0.13294689603590126,0.5152856804202007
overall,raw,7,0.7000000000000001,0.8,4791,0.04650779012765131,0.7487613904503536,0.2327280317261532,0.5160333587242004
overall,raw,8,0.8,0.9,4570,0.04436247148473523,0.8488215082975133,0.3787746170678337,0.47004689122967963
overall,raw,9,0.9,1.0,1893,0.01837596466534,0.9276309217401616,0.6376122556788167,0.29001866606134485
overall,calibrated,0,0.0,0.1,90161,0.8752220550405281,0.02766524096364446,0.038542163463138164,0.010876922499493704
overall,calibrated,1,0.1,0.2,6314,0.06129204484783769,0.13960915301579244,0.21761165663604687,0.07800250362025443
overall,calibrated,2,0.2,0.30000000000000004,2505,0.024316847061107604,0.24734363935448656,0.3073852295409182,0.060041590186431626
overall,calibrated,3,0.30000000000000004,0.4,1654,0.016055914187254283,0.34623802186868646,0.42926239419588874,0.08302437232720228
overall,calibrated,4,0.4,0.5,1256,0.01219239916517012,0.4408752327505174,0.5127388535031847,0.07186362075266733
overall,calibrated,5,0.5,0.6000000000000001,509,0.004941028005630248,0.5455643180880847,0.6090373280943026,0.06347301000621786
overall,calibrated,6,0.6000000000000001,0.7000000000000001,271,0.002630684851720623,0.639768546074864,0.6457564575645757,0.0059879114897116725
overall,calibrated,7,0.7000000000000001,0.8,164,0.0015920011648789011,0.7409309502893741,0.774390243902439,0.03345929361306499
overall,calibrated,8,0.8,0.9,59,0.0005727321263893607,0.8364045314351946,0.7796610169491526,0.05674351448604198
overall,calibrated,9,0.9,1.0,122,0.001184293549483085,0.9906582719370812,0.7704918032786885,0.22016646865839273
