scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,60601,0.4921748735066475,0.026148692936799972,0.01942212174716589,0.006726571189634083
overall,raw,1,0.1,0.2,14616,0.11870477304290622,0.1454302107672639,0.03393541324575807,0.11149479752150582
overall,raw,2,0.2,0.30000000000000004,9722,0.0789578409635423,0.24766770913826047,0.04412672289652335,0.2035409862417371
overall,raw,3,0.30000000000000004,0.4,7980,0.06481007723606949,0.3486173441087393,0.04962406015037594,0.29899328395836333
overall,raw,4,0.4,0.5,6990,0.05676972930828643,0.44887756798229844,0.061373390557939916,0.3875041774243585
overall,raw,5,0.5,0.6000000000000001,6312,0.05126330921228955,0.5490661037304404,0.08190747782002535,0.46715862591041507
overall,raw,6,0.6000000000000001,0.7000000000000001,5488,0.04457114083603375,0.6481896196288375,0.13283527696793002,0.5153543426609075
overall,raw,7,0.7000000000000001,0.8,4889,0.039706324261546834,0.7486368635115777,0.23051748823890367,0.518119375272674
overall,raw,8,0.8,0.9,4629,0.037594717735058354,0.8487984585720819,0.37632317995247355,0.47247527861960836
overall,raw,9,0.9,1.0,1902,0.01544721389761957,0.9276107648381675,0.6356466876971609,0.2919640771410066
overall,calibrated,0,0.0,0.1,108789,0.883536778500597,0.02680985203537637,0.03552748899245328,0.008717636957076912
overall,calibrated,1,0.1,0.2,7655,0.06217056907795889,0.13713475941043884,0.19425212279555845,0.05711736338511961
overall,calibrated,2,0.2,0.30000000000000004,2636,0.021408441553167817,0.2465096950428391,0.29931714719271624,0.05280745214987714
overall,calibrated,3,0.30000000000000004,0.4,1666,0.013530524896653103,0.34597357376056015,0.4279711884753902,0.08199761471483002
overall,calibrated,4,0.4,0.5,1256,0.01020068383565204,0.4408752327505174,0.5127388535031847,0.07186362075266733
overall,calibrated,5,0.5,0.6000000000000001,509,0.00413387585377937,0.5455643180880847,0.6090373280943026,0.06347301000621786
overall,calibrated,6,0.6000000000000001,0.7000000000000001,273,0.0022171868528129035,0.6399656019033754,0.6446886446886447,0.00472304278526936
overall,calibrated,7,0.7000000000000001,0.8,164,0.0013319364244004255,0.7409309502893741,0.774390243902439,0.03345929361306499
overall,calibrated,8,0.8,0.9,59,0.00047917225024161653,0.8364045314351946,0.7796610169491526,0.05674351448604198
overall,calibrated,9,0.9,1.0,122,0.000990830754736902,0.9906582719370812,0.7704918032786885,0.22016646865839273
