feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
tire_life_ratio,0.7465415140415141,0.5488888888888889,-0.19765262515262527,-0.7960572831966786,182,8
race_progress_pct,0.36286908342276014,0.2531297468766475,-0.10973933654611262,-0.7655181629240646,182,8
gapAhead,127.25476923076924,4.039375,-123.21539423076925,-0.5628439040794488,182,8
trackTemp,30.46758241758242,26.85,-3.617582417582419,-0.4872485234183082,182,8
pitLoss,22.445054945054945,22.8125,0.36744505494505475,0.39083264521519745,182,8
gapBehind,20.39293956043956,3.561375,-16.83156456043956,-0.2856357087392666,182,8
airTemp,22.206043956043953,20.9625,-1.243543956043954,-0.26317698524443456,182,8
position,6.461538461538462,5.5,-0.9615384615384617,-0.2266500940420651,182,8
lapTime,93.38515384615386,95.83025,2.4450961538461513,0.21622269626768362,182,8
pace_drop_ratio,1.0113812819512507,1.0127436049293221,0.001362322978071484,0.1534226060980808,182,8
humidity,52.489010989010985,54.25,1.7609890109890145,0.1502668387211115,182,8
lapTime_vs_team_prev_lapbucket_mean_pct,0.9847006730983024,0.9888502394352068,0.004149566336904331,0.14017425634201397,182,8
lapTime_vs_driver_prev_mean_pct,0.991290945885183,0.9938754662836407,0.0025845203984576903,0.0778343519597255,182,8
lapTime_vs_race_prev_lapbucket_mean_pct,0.9684561009309501,0.9670471910525569,-0.0014089098783932608,-0.04620665350901217,182,8
speedTrap,296.56043956043953,296.75,0.18956043956046642,0.013727770674893882,182,8
