feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,182,0.7465415140415141,0.6666666666666666,0.33256800052893104,0.43444444444444447,1.0666666666666667
tire_life_ratio,FP,8,0.5488888888888889,0.5166666666666666,0.11266688582051883,0.43333333333333335,0.7093333333333334
pace_drop_ratio,TP,182,1.0113812819512507,1.0088958827471401,0.008718510144893827,1.002356889123417,1.0242456651945508
pace_drop_ratio,FP,8,1.0127436049293221,1.0091721034115486,0.009037711528364398,1.0040370260969786,1.026923157189236
race_progress_pct,TP,182,0.36286908342276014,0.2857142857142857,0.19587058419807907,0.16901408450704225,0.6428571428571429
race_progress_pct,FP,8,0.2531297468766475,0.27128427128427124,0.052296156220965194,0.17553743513713863,0.306
lapTime_vs_driver_prev_mean_pct,TP,182,0.991290945885183,1.0005240343997457,0.03271996259582431,0.9528395402283147,1.0103366036751944
lapTime_vs_driver_prev_mean_pct,FP,8,0.9938754662836407,1.0028837803480772,0.03368383227801,0.9713256001019241,1.0120673265790077
lapTime_vs_team_prev_lapbucket_mean_pct,TP,182,0.9847006730983024,0.992967208866721,0.032059730676089776,0.9455098213244529,1.0099619343262722
lapTime_vs_team_prev_lapbucket_mean_pct,FP,8,0.9888502394352068,0.9996940611643497,0.02692282680868751,0.9522997980961796,1.0098817903618011
lapTime_vs_race_prev_lapbucket_mean_pct,TP,182,0.9684561009309501,0.9722789573041632,0.030175211177864716,0.9361851483623088,0.9963400810986494
lapTime_vs_race_prev_lapbucket_mean_pct,FP,8,0.9670471910525569,0.9741726880142593,0.030804528737093717,0.9261799427906422,0.9962520168616077
lapTime,TP,182,93.38515384615386,96.81649999999999,11.114659453511841,76.5062,103.3506
lapTime,FP,8,95.83025,96.69800000000001,11.498543948583228,85.3555,105.4565
trackTemp,TP,182,30.46758241758242,30.7,7.766707880315339,23.4,41.6
trackTemp,FP,8,26.85,27.5,7.065762520775801,17.39,34.410000000000004
airTemp,TP,182,22.206043956043953,22.0,4.854251196568483,17.3,30.0
airTemp,FP,8,20.9625,20.049999999999997,4.5923679893928355,16.76,26.86
humidity,TP,182,52.489010989010985,50.0,12.3282660166749,37.1,68.0
humidity,FP,8,54.25,50.0,11.07643895843786,45.6,67.1
speedTrap,TP,182,296.56043956043953,299.0,14.88838236603011,287.1,308.9
speedTrap,FP,8,296.75,298.5,12.636751956100111,287.4,307.0
gapAhead,TP,182,127.25476923076924,4.4535,309.58699282335533,0.453,999.0
gapAhead,FP,8,4.039375,4.6635,2.025650570650081,1.1639,5.941000000000001
gapBehind,TP,182,20.39293956043956,3.2015000000000002,83.29498413101749,0.40900000000000003,17.622600000000006
gapBehind,FP,8,3.561375,2.5195,2.5794007510224155,1.2187000000000001,6.8542
position,TP,182,6.461538461538462,5.0,4.689965187217483,1.1000000000000014,13.0
position,FP,8,5.5,4.0,3.7416573867739413,2.0,10.899999999999999
pitLoss,TP,182,22.445054945054945,22.5,0.8784681642850581,21.5,24.0
pitLoss,FP,8,22.8125,23.0,0.998044963916957,21.7,24.0
