race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Abu Dhabi Grand Prix,LEC,16,PIT_NOW,0.75,17.0,1.0,17.0,1.0,True,1,
2023 :: Abu Dhabi Grand Prix,PIA,36,PIT_NOW,0.75,36.0,0.0,36.0,0.0,True,1,
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.1136363636363636,57.0,2.0,57.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.1136363636363636,,,57.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,40,PIT_NOW,0.1136363636363636,,,45.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.1136363636363636,22.0,2.0,22.0,2.0,True,1,
2023 :: Australian Grand Prix,LEC,21,PIT_NOW,0.1136363636363636,,,22.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,18,PIT_NOW,0.1136363636363636,20.0,2.0,20.0,2.0,True,1,
2023 :: Australian Grand Prix,NOR,19,PIT_NOW,0.1136363636363636,,,20.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,19,PIT_NOW,0.1136363636363636,21.0,2.0,21.0,2.0,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.1136363636363636,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,12,PIT_NOW,0.1666666666666666,14.0,2.0,14.0,2.0,True,1,
2023 :: Bahrain Grand Prix,LAT,13,PIT_NOW,0.1666666666666666,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,30,PIT_NOW,0.1666666666666666,32.0,2.0,32.0,2.0,True,1,
2023 :: Bahrain Grand Prix,LAT,31,PIT_NOW,0.1666666666666666,,,32.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,43,PIT_NOW,0.1666666666666666,45.0,2.0,45.0,2.0,True,1,
2023 :: Bahrain Grand Prix,MSC,10,PIT_NOW,0.1666666666666666,12.0,2.0,12.0,2.0,True,1,
2023 :: Bahrain Grand Prix,MSC,11,PIT_NOW,0.1666666666666666,,,12.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,PER,12,PIT_NOW,0.1666666666666666,,,15.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,PER,13,PIT_NOW,0.1666666666666666,15.0,2.0,15.0,2.0,True,1,
