rank,feature,mean_abs_shap,mean_signed_shap
1,race_progress_pct,0.08970134757852062,-0.0314699982555446
2,tire_life_ratio,0.04832672379580701,-0.016300456162018726
3,gapBehind,0.0391395455681773,-0.01825855795949978
4,lapTime_vs_race_prev_lapbucket_mean_pct,0.03611253994958533,-0.021464138376331637
5,lapTime_vs_driver_prev_mean_pct,0.02918067346775162,-0.01246317887975614
6,tyreLife,0.026705917740268065,-0.00881850438476039
7,humidity,0.02251459417041565,-0.012085714959241984
8,lapTime_vs_team_prev_lapbucket_mean_pct,0.019314736905990913,-0.01352547529542702
9,trackTemp,0.018403118613712882,-0.012680697793466145
10,speedTrap,0.016432288631354985,-0.01131006619005784
11,pace_drop_ratio,0.015153630883921432,-0.008118496067903165
12,position,0.01495121653357479,-0.008557683626534935
13,airTemp,0.013244644777817016,-0.010810078901316914
14,gapAhead,0.010121491147291831,-0.009208310075493312
15,gap_to_physical_car,0.008476382431038392,-0.004582727624581619
16,gapAhead_trend,0.00784663248010523,-0.0075452033878744785
17,positions_lost,0.005008301743808945,-0.0032474270710594845
