feature,importance_drop_f1,importance_std
race_progress_pct,0.05659642203229483,0.003726326609097087
tire_life_ratio,0.030496005770009372,0.002145642118101824
lapTime_vs_race_prev_lapbucket_mean_pct,0.02176246138711905,0.004367299761556355
gapBehind,0.020060470764624784,0.004391284156944603
trackTemp,0.013998010042521197,0.002334403122132384
humidity,0.008525288605121695,0.0018851393117731955
airTemp,0.007288799270740498,0.000749446507632856
position,0.006360425581009776,0.0017900634324904696
speedTrap,0.004643154555516671,0.0018329800448825646
gap_to_physical_car,0.004217971251787611,0.0014074343319407296
positions_lost,0.0038249686660099757,0.0007929662482638885
gapAhead,0.0035973884243148844,0.0012696926677092518
lapTime_vs_driver_prev_mean_pct,0.002983565254538423,0.0029138832409180333
tyreLife,0.0027013305778333385,0.0015347868645930228
lapTime_vs_team_prev_lapbucket_mean_pct,0.0025056557957433777,0.0020291911844430126
pace_drop_ratio,0.0023414960775465345,0.0009681735545496007
gapAhead_trend,0.0005547314065250441,0.0013789588392083994
