feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
race_progress_pct,0.82228273,-0.48381948,1.215894,0.5062656864626761
tire_life_ratio,0.4224276,-0.07741421,0.47933483,0.46841722222222226
humidity,0.28072035,-0.13038343,0.43188277,53.9804
trackTemp,0.24913882,-0.16626523,0.44685486,35.25468000000001
airTemp,0.2190689,-0.13254112,0.26236385,24.01612
speedTrap,0.1895297,-0.09389268,0.26198778,299.44184184184184
lapTime_vs_driver_prev_mean_pct,0.1620265,-0.093343794,0.16611534,0.9708064035375396
lapTime_vs_race_prev_lapbucket_mean_pct,0.15633915,-0.08250335,0.25173455,0.9511877960412385
position,0.14736496,-0.07481646,0.18974023,10.4174
tyreLife,0.10330017,-0.07206788,0.111955695,14.9222
pace_drop_ratio,0.0946135,-0.04968027,0.17954211,1.0107851006479505
gapBehind,0.091842405,-0.07022812,0.09937397,124.8002632
gap_to_physical_car,0.090313345,-0.048258055,0.105273046,628.3779562
gapAhead_trend,0.08936448,-0.053669836,0.0940064,1.6023842
gapAhead,0.087075,-0.066369906,0.09740683,105.18133800000001
lapTime_vs_team_prev_lapbucket_mean_pct,0.083271205,-0.045332585,0.11879255,0.9653534266006994
positions_lost,0.051992983,-0.02519297,0.14178625,2.0724
