threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,24933,3668,21265,3119,549,0.8503271537622683,0.1471142662335058,0.12509525528416154,1,0.1354083945303628,5.418020679468242,20622,0.9697625205737127,2387,3558,7281,4686,181,367,89
0.075,16430,3163,13267,2729,434,0.8627884919380335,0.1925136944613512,0.16609860012172856,1,0.14786973270612802,4.672082717872969,12828,0.9669103791362026,1710,2337,4015,3499,125,252,60
0.1,12854,2891,9963,2516,375,0.8702870978900035,0.22491053368601213,0.19573673564649136,1,0.15536833865809796,4.270310192023634,9615,0.9650707618187293,1371,1779,2771,2930,104,198,46
0.125,10528,2624,7904,2304,320,0.8780487804878049,0.24924012158054712,0.2188449848024316,1,0.16313002125589937,3.875923190546529,7617,0.9636892712550608,1130,1375,2113,2493,82,166,39
0.15,8643,2374,6269,2108,266,0.8879528222409435,0.2746731458984149,0.24389679509429596,1,0.173034063009038,3.5066469719350075,6035,0.9626734726431648,913,1081,1584,2124,72,127,35
0.175,7501,2163,5338,1932,231,0.8932038834951457,0.28836155179309425,0.25756565791227837,1,0.17828512426324017,3.194977843426883,5137,0.9623454477332334,792,898,1303,1856,65,107,29
0.2,6540,1987,4553,1793,194,0.9023653749370911,0.30382262996941894,0.2741590214067278,1,0.18744661570518562,2.935007385524372,4381,0.9622227103009005,686,781,1050,1654,57,90,25
0.22499999999999998,5638,1822,3816,1654,168,0.9077936333699231,0.32316424263923377,0.2933664420007095,1,0.19287487413801763,2.691285081240768,3668,0.9612159329140462,569,666,838,1437,50,78,20
0.25,5253,1747,3506,1586,161,0.907842014882656,0.3325718636969351,0.3019227108319056,1,0.19292325565075052,2.5805022156573116,3372,0.9617798060467769,525,608,762,1347,45,71,18
0.27499999999999997,4697,1617,3080,1474,143,0.9115646258503401,0.3442622950819672,0.31381733021077285,1,0.19664586661843464,2.3884785819793204,2960,0.961038961038961,468,531,643,1223,40,63,17
0.3,4054,1488,2566,1365,123,0.9173387096774194,0.3670448939319191,0.3367044893931919,1,0.20241995044551386,2.1979320531757756,2460,0.9586905689789555,405,429,482,1066,38,52,16
0.32499999999999996,3636,1375,2261,1260,115,0.9163636363636364,0.3781628162816282,0.3465346534653465,1,0.20144487713173087,2.031019202363368,2167,0.9584254754533392,365,371,410,952,36,46,12
0.35,3175,1252,1923,1151,101,0.9193290734824281,0.39433070866141734,0.3625196850393701,1,0.20441031425052258,1.8493353028064992,1841,0.9573582943317732,303,319,343,819,32,39,11
0.37499999999999994,2594,1105,1489,1022,83,0.9248868778280543,0.42598303777949115,0.39398612181958365,1,0.20996811859614883,1.6322008862629247,1422,0.9550033579583613,234,246,243,668,27,31,9
0.39999999999999997,2381,1035,1346,960,75,0.927536231884058,0.4346913061738765,0.4031919361612768,1,0.21261747265215247,1.5288035450516986,1287,0.9561664190193165,208,227,211,615,22,28,9
0.42499999999999993,1934,898,1036,840,58,0.9354120267260579,0.4643226473629783,0.4343329886246122,1,0.22049326749415243,1.326440177252585,988,0.9536679536679536,157,176,148,486,19,21,8
0.44999999999999996,1626,775,851,722,53,0.9316129032258065,0.47662976629766296,0.4440344403444034,1,0.21669414399390097,1.1447562776957163,813,0.9553466509988249,134,136,114,409,14,17,7
0.475,1338,681,657,639,42,0.9383259911894273,0.5089686098654709,0.47757847533632286,1,0.22340723195752177,1.0059084194977843,625,0.9512937595129376,100,106,82,321,12,15,5
0.49999999999999994,1125,599,526,566,33,0.9449081803005008,0.5324444444444445,0.5031111111111111,1,0.22998942106859532,0.8847858197932054,496,0.9429657794676806,83,82,54,262,11,15,4
0.525,962,521,441,493,28,0.946257197696737,0.5415800415800416,0.5124740124740125,1,0.2313384384648315,0.7695716395864106,415,0.9410430839002267,69,67,43,223,9,13,4
0.5499999999999999,812,450,362,427,23,0.9488888888888889,0.5541871921182266,0.5258620689655172,1,0.23397012965698338,0.6646971935007385,340,0.9392265193370166,58,54,31,184,7,12,3
0.575,714,408,306,387,21,0.9485294117647058,0.5714285714285714,0.542016806722689,1,0.23361065253280033,0.6026587887740029,287,0.9379084967320261,50,40,22,162,5,11,3
0.6,616,355,261,338,17,0.952112676056338,0.5762987012987013,0.5487012987012987,1,0.23719391682443247,0.5243722304283605,246,0.9425287356321839,43,34,17,144,3,9,3
0.625,519,319,200,304,15,0.9529780564263323,0.6146435452793835,0.5857418111753372,1,0.23805929719442676,0.4711964549483013,185,0.925,30,22,7,125,3,9,3
0.65,421,266,155,254,12,0.9548872180451128,0.6318289786223278,0.6033254156769596,1,0.23996845881320727,0.3929098966026588,144,0.9290322580645162,22,16,3,103,2,6,3
0.675,384,240,144,229,11,0.9541666666666667,0.625,0.5963541666666666,1,0.2392479074347612,0.35450516986706054,135,0.9375,20,15,3,97,2,6,1
0.7,351,224,127,213,11,0.9508928571428571,0.6381766381766382,0.6068376068376068,1,0.23597409791095159,0.3308714918759232,121,0.952755905511811,18,14,3,86,1,5,0
0.725,294,187,107,176,11,0.9411764705882353,0.6360544217687075,0.5986394557823129,1,0.22625771135632977,0.276218611521418,102,0.9532710280373832,16,10,2,74,1,4,0
0.75,239,156,83,149,7,0.9551282051282052,0.6527196652719666,0.6234309623430963,1,0.24020944589629967,0.23042836041358936,79,0.9518072289156626,11,9,1,58,1,3,0
0.775,206,139,67,133,6,0.9568345323741008,0.6747572815533981,0.6456310679611651,1,0.24191577314219526,0.20531757754800592,64,0.9552238805970149,9,7,1,47,1,2,0
0.7999999999999999,181,121,60,115,6,0.9504132231404959,0.6685082872928176,0.6353591160220995,1,0.2354944639085904,0.17872968980797638,57,0.95,8,7,1,41,1,2,0
0.825,157,108,49,103,5,0.9537037037037037,0.6878980891719745,0.6560509554140127,1,0.2387849444717982,0.15952732644017725,46,0.9387755102040817,7,6,1,32,1,2,0
0.85,142,100,42,96,4,0.96,0.704225352112676,0.676056338028169,1,0.24508124076809445,0.14771048744460857,41,0.9761904761904762,7,6,1,27,0,1,0
0.875,138,96,42,92,4,0.9583333333333334,0.6956521739130435,0.6666666666666666,1,0.24341457410142786,0.14180206794682423,41,0.9761904761904762,7,6,1,27,0,1,0
0.9,122,87,35,83,4,0.9540229885057471,0.7131147540983607,0.680327868852459,1,0.23910422927384156,0.12850812407680945,34,0.9714285714285714,5,6,1,22,0,1,0
