threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,28606,3881,24725,3257,624,0.8392166967276475,0.13567083828567433,0.11385723274837446,1,0.12429793749574203,5.732644017725258,23979,0.9698281092012133,2641,3994,8934,4954,229,422,89
0.075,18687,3339,15348,2841,498,0.8508535489667565,0.17868036602986034,0.15203082356718575,1,0.13593478973485096,4.93205317577548,14834,0.9665102945009122,1889,2624,4915,3687,164,288,60
0.1,14340,3013,11327,2600,413,0.86292731496847,0.2101115760111576,0.18131101813110181,1,0.14800855573656446,4.450516986706056,10925,0.9645095788823166,1483,1966,3428,3044,138,218,46
0.125,11234,2710,8524,2363,347,0.8719557195571955,0.24123197436353924,0.21034359978636283,1,0.15703696032529002,4.002954209748892,8208,0.9629282027217269,1190,1479,2395,2553,101,176,39
0.15,9210,2442,6768,2156,286,0.8828828828828829,0.26514657980456025,0.23409337676438655,1,0.16796412365097735,3.6070901033973413,6509,0.9617316784869976,959,1168,1810,2176,90,134,35
0.175,7703,2198,5505,1956,242,0.8898999090081893,0.28534337271193044,0.2539270414124367,1,0.17498114977628376,3.2466765140324965,5293,0.9614895549500454,810,936,1361,1876,70,113,29
0.2,6685,2013,4672,1809,204,0.8986587183308494,0.3011219147344802,0.2706058339566193,1,0.18373995909894392,2.9734121122599704,4491,0.9612585616438356,699,808,1090,1667,61,95,25
0.22499999999999998,5689,1831,3858,1660,171,0.906608410704533,0.3218491826331517,0.29179117595359466,1,0.1916896514726275,2.704579025110783,3708,0.9611197511664075,572,676,859,1441,52,78,20
0.25,5302,1756,3546,1592,164,0.9066059225512528,0.33119577517917764,0.3002640513013957,1,0.19168716331934732,2.5937961595273262,3410,0.9616469261139312,528,618,781,1351,47,71,18
0.27499999999999997,4733,1623,3110,1479,144,0.911275415896488,0.34291147263891825,0.31248679484470737,1,0.19635665666458246,2.397341211225997,2988,0.9607717041800643,470,539,658,1224,42,63,17
