threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2022,3673,213,138,75,0.647887323943662,0.057990743261638986,0.03757146746528723
0.05,2023,4452,576,476,100,0.8263888888888888,0.1293800539083558,0.1069182389937107
0.05,2024,8984,1260,1070,190,0.8492063492063492,0.1402493321460374,0.1191006233303651
0.05,2025,11497,1832,1573,259,0.8586244541484717,0.1593459163259981,0.13681830042619814
0.075,2022,2257,176,112,64,0.6363636363636364,0.07797961896322551,0.04962339388568897
0.075,2023,2073,396,339,57,0.8560606060606061,0.191027496382055,0.16353111432706222
0.075,2024,5937,1093,946,147,0.8655077767612077,0.1840997136600977,0.15933973387232608
0.075,2025,8420,1674,1444,230,0.8626045400238949,0.198812351543943,0.17149643705463183
0.1,2022,1486,122,84,38,0.6885245901639344,0.08209959623149395,0.05652759084791386
0.1,2023,1406,339,287,52,0.8466076696165191,0.2411095305832148,0.20412517780938833
0.1,2024,4443,986,862,124,0.8742393509127789,0.2219221246905244,0.19401305424262885
0.1,2025,7005,1566,1367,199,0.8729246487867177,0.22355460385438972,0.19514632405424698
0.125,2022,706,86,59,27,0.686046511627907,0.12181303116147309,0.08356940509915015
0.125,2023,857,246,209,37,0.8495934959349594,0.2870478413068845,0.24387397899649943
0.125,2024,3636,920,810,110,0.8804347826086957,0.253025302530253,0.22277227722772278
0.125,2025,6035,1458,1285,173,0.8813443072702332,0.2415907207953604,0.21292460646230324
0.15,2022,567,68,48,20,0.7058823529411765,0.11992945326278659,0.08465608465608465
0.15,2023,593,199,171,28,0.8592964824120602,0.33558178752107926,0.28836424957841483
0.15,2024,2927,837,746,91,0.8912783751493429,0.28595831909805264,0.25486846600614965
0.15,2025,5123,1338,1191,147,0.8901345291479821,0.2611750927191099,0.23248096818270544
0.175,2022,202,35,24,11,0.6857142857142857,0.17326732673267325,0.1188118811881188
0.175,2023,435,161,139,22,0.8633540372670807,0.3701149425287356,0.3195402298850575
0.175,2024,2624,779,697,82,0.8947368421052632,0.296875,0.265625
0.175,2025,4442,1223,1096,127,0.8961569910057237,0.2753264295362449,0.24673570463755065
0.2,2022,145,26,16,10,0.6153846153846154,0.1793103448275862,0.1103448275862069
0.2,2023,337,138,121,17,0.8768115942028986,0.4094955489614243,0.3590504451038576
0.2,2024,2336,720,650,70,0.9027777777777778,0.3082191780821918,0.2782534246575342
0.2,2025,3867,1129,1022,107,0.9052258635961028,0.29195758986294285,0.26428756141711923
0.22499999999999998,2022,51,9,6,3,0.6666666666666666,0.17647058823529413,0.11764705882352941
0.22499999999999998,2023,224,95,86,9,0.9052631578947369,0.42410714285714285,0.38392857142857145
0.22499999999999998,2024,2065,684,621,63,0.9078947368421053,0.33123486682808717,0.30072639225181597
0.22499999999999998,2025,3349,1043,947,96,0.9079578139980825,0.31143624962675426,0.2827709764108689
0.25,2022,49,9,6,3,0.6666666666666666,0.1836734693877551,0.12244897959183673
0.25,2023,213,94,85,9,0.9042553191489362,0.4413145539906103,0.39906103286384975
0.25,2024,1896,641,582,59,0.9079563182527302,0.3380801687763713,0.3069620253164557
0.25,2025,3144,1012,919,93,0.908102766798419,0.32188295165394404,0.2923027989821883
0.27499999999999997,2022,36,6,5,1,0.8333333333333334,0.16666666666666666,0.1388888888888889
0.27499999999999997,2023,143,68,61,7,0.8970588235294118,0.4755244755244755,0.42657342657342656
0.27499999999999997,2024,1743,610,557,53,0.9131147540983606,0.3499713138267355,0.31956397016637983
0.27499999999999997,2025,2811,939,856,83,0.9116080937167199,0.33404482390608325,0.30451796513696194
0.3,2022,14,3,3,0,1.0,0.21428571428571427,0.21428571428571427
0.3,2023,128,66,60,6,0.9090909090909091,0.515625,0.46875
0.3,2024,1445,542,497,45,0.9169741697416974,0.3750865051903114,0.3439446366782007
0.3,2025,2481,880,808,72,0.9181818181818182,0.354695687222894,0.32567513099556633
0.32499999999999996,2022,2,1,1,0,1.0,0.5,0.5
0.32499999999999996,2023,119,61,55,6,0.9016393442622951,0.5126050420168067,0.46218487394957986
0.32499999999999996,2024,1291,496,454,42,0.9153225806451613,0.3841982958946553,0.3516653756777692
0.32499999999999996,2025,2226,818,751,67,0.9180929095354523,0.3674752920035939,0.33737646001796945
0.35,2022,2,1,1,0,1.0,0.5,0.5
