bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2468,0.04563869441372742,0.0016207455429497568,0.0,0.07029588771191951
1,2468,0.09068890337121581,0.007293354943273906,0.07029588771191951,0.11181535091684966
2,2468,0.13553095062985804,0.008914100486223663,0.11181535091684966,0.16270366813271958
3,2467,0.1955464998923784,0.01580867450344548,0.16270366813271958,0.2293166451568028
4,2468,0.2633561287016111,0.029173419773095625,0.2293166451568028,0.2958601183012038
5,2468,0.3263928015282437,0.03687196110210697,0.2958601183012038,0.35609996778816305
6,2467,0.38357238952698214,0.04377786785569518,0.35609996778816305,0.4116639022614705
7,2468,0.4435114765148424,0.06807131280388978,0.4116639022614705,0.47691168007821816
8,2468,0.5195659520241966,0.09927066450567261,0.47691168007821816,0.5702112382041252
9,2468,0.6694641862724938,0.18841166936790923,0.5702112382041252,1.0
