fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,682,20,0.02932551319648094,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0
2,856,18,0.02102803738317757,0.14999999999999997,0.15,0.15,0.002336448598130841,0.0,0.0,,0,0.054054054054054
3,1057,22,0.020813623462630087,0.14,0.14,0.14,0.05203405865657521,0.2727272727272727,0.6818181818181818,0.3896103896103896,0,0.0807692307692307
4,930,25,0.026881720430107527,0.18000000000000005,0.18,0.18,0.0,,0.0,,0,0.022783778237918842
5,1212,44,0.036303630363036306,0.03,0.03,0.03,0.01155115511551155,0.14285714285714285,0.045454545454545456,0.06896551724137931,0,0.02136642242548293
6,1066,18,0.016885553470919325,0.5,0.5,0.5,0.0,,0.0,,0,0.0338645418326693
7,812,29,0.03571428571428571,0.18,0.18,0.18,0.0,,0.0,,0,0.0495049504950495
8,1092,19,0.0173992673992674,0.09999999999999988,0.0999999999999999,0.0999999999999999,0.09065934065934066,0.08080808080808081,0.42105263157894735,0.13559322033898308,0,0.0659340659340659
9,749,15,0.020026702269692925,0.99,0.99,0.99,0.0,,0.0,,0,0.119047619047619
10,1267,46,0.036306235201262825,0.19999999999999998,0.2,0.2,0.011838989739542225,0.0,0.0,,0,0.1363636363636363
11,877,18,0.020524515393386546,0.12999999999999995,0.13,0.13,0.09806157354618016,0.09302325581395349,0.4444444444444444,0.15384615384615385,0,0.1111111111111111
12,1288,34,0.026397515527950312,0.25,0.25,0.25,0.008540372670807454,0.36363636363636365,0.11764705882352941,0.17777777777777776,0,0.1016949152542373
13,719,26,0.03616133518776078,0.25,0.25,0.25,0.0027816411682892906,0.0,0.0,,0,0.0725806451612903
14,1268,49,0.038643533123028394,0.5,0.5,0.5,0.007886435331230283,0.5,0.10204081632653061,0.1694915254237288,0,0.0786516853932584
15,835,30,0.03592814371257485,0.5,0.5,0.5,0.0,,0.0,,0,0.1047120418848167
16,701,11,0.015691868758915834,0.5,0.5,0.5,0.0,,0.0,,0,0.0391061452513966
17,415,2,0.004819277108433735,0.42000000000000004,0.42,0.42,0.0,,0.0,,0,0.044776119402985
18,841,34,0.04042806183115339,0.42000000000000004,0.42,0.42,0.0,,0.0,,0,0.0590062111801242
19,1331,16,0.012021036814425245,0.99,0.99,0.99,0.0007513148009015778,0.0,0.0,,0,0.125
20,1030,22,0.021359223300970873,0.12000000000000005,0.12,0.12,0.005825242718446602,0.0,0.0,,0,0.0675990675990675
21,1086,28,0.02578268876611418,0.19999999999999996,0.2,0.2,0.007366482504604052,0.0,0.0,,0,0.0487144790257104
22,1214,129,0.10626029654036244,0.66,0.66,0.66,0.007413509060955519,1.0,0.06976744186046512,0.13043478260869565,0,0.0275862068965517
23,957,60,0.06269592476489028,0.14999999999999994,0.15,0.15,0.035527690700104496,0.6470588235294118,0.36666666666666664,0.46808510638297873,0,0.050570621468926415
24,1206,27,0.022388059701492536,0.08999999999999997,0.09,0.09,0.014925373134328358,0.5,0.3333333333333333,0.4,1206,0.0338028169014084
25,1110,57,0.051351351351351354,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0252252252252252
26,1316,61,0.04635258358662614,0.2800000000000001,0.28,0.28,0.0,,0.0,,0,0.0657894736842105
27,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0384615384615384
28,1554,105,0.06756756756756757,0.99,0.99,0.99,0.0,,0.0,,0,0.0796252927400468
29,1487,69,0.04640215198386012,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0892448512585812
30,1583,111,0.07012002526847758,0.75,0.75,0.75,0.0012634238787113076,1.0,0.018018018018018018,0.035398230088495575,0,0.05500962805310598
31,1146,60,0.05235602094240838,0.99,0.99,0.99,0.0008726003490401396,1.0,0.016666666666666666,0.03278688524590164,0,0.1052631578947368
32,1553,101,0.06503541532517708,0.75,0.75,0.75,0.0,,0.0,,0,0.0392156862745098
33,938,83,0.08848614072494669,0.83,0.8300000000000001,0.8300000000000001,0.0042643923240938165,0.0,0.0,,0,0.0988700564971751
34,1596,110,0.06892230576441102,0.8499999999999996,0.85,0.85,0.0012531328320802004,1.0,0.01818181818181818,0.03571428571428572,0,0.0487238979118329
35,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0549450549450549
36,1231,44,0.03574329813160033,0.37000000000000005,0.37,0.37,0.0,,0.0,,0,0.037037037037037
37,934,38,0.04068522483940043,0.5,0.5,0.5,0.0,,0.0,,0,0.0327421555252387
38,944,26,0.02754237288135593,0.6599999999999999,0.66,0.66,0.0,,0.0,,0,0.025
39,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.000835421888053467,1.0,0.010638297872340425,0.021052631578947368,0,0.1464646464646464
40,1579,66,0.04179860671310956,0.99,0.99,0.99,0.0,,0.0,,0,0.073170731707317
41,1456,78,0.05357142857142857,0.99,0.99,0.99,0.0,,0.0,,0,0.0407725321888412
42,1297,95,0.07324595219737856,0.99,0.99,0.99,0.0,,0.0,,0,0.0971039182282793
43,877,18,0.020524515393386546,0.8699999999999998,0.87,0.87,0.0011402508551881414,1.0,0.05555555555555555,0.10526315789473684,0,0.07237992481653656
44,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.003784295175023652,1.0,0.18181818181818182,0.3076923076923077,0,0.0430839002267573
45,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0321637426900584
46,1274,195,0.15306122448979592,0.99,0.99,0.99,0.0,,0.0,,0,0.1886792452830188
47,1071,95,0.08870214752567694,0.75,0.75,0.75,0.0018674136321195146,1.0,0.021052631578947368,0.041237113402061855,0,0.3218390804597701
48,1274,85,0.06671899529042387,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.0622347949080622
49,1079,98,0.09082483781278962,0.8699999999999999,0.87,0.87,0.0,,0.0,,0,0.0693877551020408
50,835,21,0.025149700598802394,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.1095890410958904
51,1322,102,0.07715582450832073,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1365638766519823
52,1409,71,0.050390347764371894,0.75,0.75,0.75,0.0014194464158978,0.5,0.014084507042253521,0.027397260273972605,0,0.2098214285714285
53,1752,64,0.0365296803652968,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.029585798816568
54,1529,100,0.06540222367560497,0.99,0.99,0.99,0.0,,0.0,,0,0.07349898941861861
55,1557,161,0.10340398201669879,0.92,0.92,0.92,0.005780346820809248,0.8888888888888888,0.049689440993788817,0.09411764705882353,0,0.3506493506493506
56,1649,184,0.11158277744087326,0.75,0.75,0.75,0.018192844147968467,0.9333333333333333,0.15217391304347827,0.2616822429906542,0,0.1945288753799392
57,1205,93,0.07717842323651453,0.7800000000000001,0.78,0.78,0.007468879668049793,0.7777777777777778,0.07526881720430108,0.1372549019607843,0,0.1208053691275167
58,1562,157,0.10051216389244558,0.75,0.75,0.75,0.0,,0.0,,0,0.15625
59,981,133,0.13557594291539246,0.8300000000000002,0.8300000000000001,0.8300000000000001,0.0061162079510703364,0.8333333333333334,0.03759398496240601,0.07194244604316546,0,0.2169014084507042
60,1684,153,0.09085510688836104,0.9900000000000002,0.99,0.99,0.0005938242280285036,1.0,0.006535947712418301,0.012987012987012988,0,0.1042128603104212
61,1269,124,0.09771473601260836,0.88,0.88,0.88,0.0015760441292356187,1.0,0.016129032258064516,0.031746031746031744,0,0.1155778894472361
62,1237,95,0.07679870654810024,0.87,0.87,0.87,0.0,,0.0,,0,0.0992063492063492
63,1416,81,0.057203389830508475,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0806201550387596
64,1355,126,0.0929889298892989,0.8800000000000001,0.88,0.88,0.00959409594095941,0.5384615384615384,0.05555555555555555,0.10071942446043165,0,0.3888888888888889
65,1717,102,0.0594059405940594,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0851063829787234
66,1647,80,0.048573163327261686,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1
67,1435,130,0.09059233449477352,0.8100000000000004,0.81,0.81,0.0,,0.0,,0,0.1183800623052959
68,877,18,0.020524515393386546,0.8,0.8,0.8,0.0,,0.0,,0,0.0314173509460906
69,1057,88,0.08325449385052035,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0361794500723589
70,1046,57,0.05449330783938815,0.7699999999999999,0.77,0.77,0.0,,0.0,,0,0.0375670840787119
71,1591,242,0.15210559396605908,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.03268384663733501,0.8461538461538461,0.18181818181818182,0.2993197278911565,0,0.4337349397590361
72,1321,118,0.08932626797880394,0.7900000000000001,0.79,0.79,0.0,,0.0,,0,0.1712328767123287
73,1425,112,0.07859649122807018,0.75,0.75,0.75,0.0,,0.0,,0,0.0664857530529172
74,1400,132,0.09428571428571429,0.75,0.75,0.75,0.0,,0.0,,0,0.2100313479623824
75,1504,124,0.08244680851063829,0.8200000000000002,0.8200000000000001,0.8200000000000001,0.0006648936170212766,1.0,0.008064516129032258,0.016,0,0.3396226415094339
76,2189,116,0.05299223389675651,0.75,0.75,0.75,0.00045682960255824577,1.0,0.008620689655172414,0.017094017094017096,0,0.0734094616639478
