scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,44419,0.4311896325777799,0.032456243060955216,0.021094576645129336,0.01136166641582588
overall,raw,1,0.1,0.2,13696,0.13295151191574042,0.1458032590040075,0.03424357476635514,0.11155968423765236
overall,raw,2,0.2,0.30000000000000004,9150,0.08882201621123137,0.24770255012916084,0.041420765027322407,0.20628178510183842
overall,raw,3,0.30000000000000004,0.4,7524,0.07303790710090763,0.34929415423191335,0.04532163742690058,0.30397251680501275
overall,raw,4,0.4,0.5,6464,0.06274814347425132,0.44875961445308854,0.05724009900990099,0.3915195154431875
overall,raw,5,0.5,0.6000000000000001,5816,0.056457797408144446,0.5493172091089875,0.08614167812929849,0.463175530979689
overall,raw,6,0.6000000000000001,0.7000000000000001,5093,0.04943940202883075,0.6489308000711006,0.1319458079717259,0.5169849920993748
overall,raw,7,0.7000000000000001,0.8,4727,0.0458865213803815,0.7493923068525727,0.23249418235667443,0.5168981244958983
overall,raw,8,0.8,0.9,4353,0.04225598213852352,0.8487015390242759,0.3994946014243051,0.4492069375999708
overall,raw,9,0.9,1.0,1773,0.017211085764209096,0.92725824805484,0.6869712351945855,0.24028701286025456
overall,calibrated,0,0.0,0.1,90685,0.8803086929087997,0.027358931880614175,0.038308430280641785,0.01094949840002761
overall,calibrated,1,0.1,0.2,5866,0.05694316361694899,0.14125676500591303,0.21837708830548927,0.07712032329957624
overall,calibrated,2,0.2,0.30000000000000004,2336,0.02267630927534825,0.24118118674606126,0.3274828767123288,0.08630168996626753
overall,calibrated,3,0.30000000000000004,0.4,1898,0.018424501286220453,0.35456994525056995,0.4246575342465753,0.07008758899600537
overall,calibrated,4,0.4,0.5,1021,0.00991117798378877,0.44999171573306895,0.5220372184133203,0.07204550268025134
overall,calibrated,5,0.5,0.6000000000000001,572,0.005552589428723972,0.5447927177895006,0.6346153846153846,0.08982266682588402
overall,calibrated,6,0.6000000000000001,0.7000000000000001,408,0.003960588263845071,0.646722151225373,0.7622549019607843,0.11553275073541125
overall,calibrated,7,0.7000000000000001,0.8,50,0.00048536620880454303,0.7490586118269336,0.86,0.11094138817306642
overall,calibrated,8,0.8,0.9,92,0.0008930738242003592,0.8404141521579414,0.8043478260869565,0.03606632607098481
overall,calibrated,9,0.9,1.0,87,0.0008445372033199049,0.9878279319927349,0.8620689655172413,0.12575896647549356
