scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,62259,0.5056404258947933,0.025857652422373766,0.02020591400440097,0.005651738417972795
overall,raw,1,0.1,0.2,14469,0.11751090319908389,0.14562791334891897,0.0361462436934135,0.10948166965550547
overall,raw,2,0.2,0.30000000000000004,9600,0.07796701020880539,0.2477086125081405,0.0434375,0.2042711125081405
overall,raw,3,0.30000000000000004,0.4,7834,0.06362432895581058,0.3493564261909587,0.04786826653050804,0.30148815966045067
overall,raw,4,0.4,0.5,6720,0.054576907146163776,0.44870768165481945,0.05818452380952381,0.3905231578452956
overall,raw,5,0.5,0.6000000000000001,5980,0.04856695010923503,0.5492741097076282,0.08612040133779264,0.4631537083698356
overall,raw,6,0.6000000000000001,0.7000000000000001,5257,0.04269505965288437,0.6487638255886327,0.13201445691459007,0.5167493686740425
overall,raw,7,0.7000000000000001,0.8,4812,0.039080963867163705,0.7493955597516803,0.2304655029093932,0.5189300568422871
overall,raw,8,0.8,0.9,4402,0.03575112280616264,0.8486828399159485,0.39641072239890957,0.45227211751703894
overall,raw,9,0.9,1.0,1796,0.014586328159897343,0.927197610615091,0.6815144766146993,0.24568313400039166
overall,calibrated,0,0.0,0.1,109455,0.8889457398338328,0.026364832670245288,0.035311315152345715,0.008946482482100428
overall,calibrated,1,0.1,0.2,7104,0.057695587554515995,0.1384699127145427,0.19693130630630631,0.05846139359176361
overall,calibrated,2,0.2,0.30000000000000004,2409,0.019564846624272107,0.24065023410274436,0.32254047322540474,0.08189023912266039
overall,calibrated,3,0.30000000000000004,0.4,1916,0.015560915787507412,0.3541314642862493,0.42066805845511485,0.06653659416886554
overall,calibrated,4,0.4,0.5,1021,0.008292116398248991,0.44999171573306895,0.5220372184133203,0.07204550268025134
overall,calibrated,5,0.5,0.6000000000000001,586,0.004759236248162497,0.5437225845999902,0.6279863481228669,0.08426376352287668
overall,calibrated,6,0.6000000000000001,0.7000000000000001,408,0.0033135979338742294,0.646722151225373,0.7622549019607843,0.11553275073541125
overall,calibrated,7,0.7000000000000001,0.8,50,0.00040607817817086146,0.7490586118269336,0.86,0.11094138817306642
overall,calibrated,8,0.8,0.9,92,0.0007471838478343851,0.8404141521579414,0.8043478260869565,0.03606632607098481
overall,calibrated,9,0.9,1.0,88,0.0007146975935807162,0.9879662509473629,0.8522727272727273,0.1356935236746356
