feature,tp_mean,fp_mean,delta_fp_minus_tp,cohens_d_fp_vs_tp,n_tp,n_fp
speedTrap,295.04848484848486,303.77777777777777,8.72929292929291,0.6062245347975682,165,9
gapAhead,116.1457696969697,6.15011111111111,-109.99565858585858,-0.5453634812259878,165,9
pitLoss,22.29090909090909,22.72222222222222,0.4313131313131322,0.41206197069498685,165,9
tire_life_ratio,0.6974006734006735,0.5891975308641975,-0.108203142536476,-0.4067336400726903,165,9
gapBehind,29.80410909090909,6.800222222222222,-23.00388686868687,-0.33496318976870093,165,9
humidity,52.7030303030303,49.333333333333336,-3.3696969696969674,-0.29576112456898407,165,9
trackTemp,30.428484848484846,32.388888888888886,1.9604040404040397,0.28929761508233565,165,9
position,6.618181818181818,5.444444444444445,-1.1737373737373735,-0.28649131130254385,165,9
race_progress_pct,0.38779574442073855,0.3462774770187668,-0.04151826740197173,-0.2447779171927546,165,9
lapTime,92.1960606060606,95.43444444444445,3.2383838383838537,0.2203246350161033,165,9
pace_drop_ratio,1.0110003057404702,1.010087890667743,-0.0009124150727271019,-0.12204787663148137,165,9
lapTime_vs_team_prev_lapbucket_mean_pct,0.9816035792507757,0.9855222325376052,0.003918653286829499,0.09261978931329277,165,9
lapTime_vs_driver_prev_mean_pct,0.9890141103501764,0.9866535072245176,-0.002360603125658778,-0.05984765030572129,165,9
airTemp,22.0169696969697,22.233333333333334,0.21636363636363498,0.053970228635114414,165,9
lapTime_vs_race_prev_lapbucket_mean_pct,0.9678686012077065,0.9695339693923718,0.001665368184665339,0.03851065740601571,165,9
