feature,class,n,mean,median,std,p10,p90
tire_life_ratio,TP,165,0.6974006734006735,0.64,0.3370666800958265,0.4,1.0333333333333334
tire_life_ratio,FP,9,0.5891975308641975,0.5333333333333333,0.16712100852107814,0.43333333333333335,0.7733333333333333
pace_drop_ratio,TP,165,1.0110003057404702,1.008681138623434,0.009429614376794045,1.0015823647729747,1.0237594030910548
pace_drop_ratio,FP,9,1.010087890667743,1.0092862758801433,0.004781201259169524,1.004457721517683,1.016051825309038
race_progress_pct,TP,165,0.38779574442073855,0.32,0.19799909497064322,0.17543859649122806,0.6338028169014085
race_progress_pct,FP,9,0.3462774770187668,0.2727272727272727,0.135408929556254,0.23661971830985917,0.556214479861626
lapTime_vs_driver_prev_mean_pct,TP,165,0.9890141103501764,0.9974458650727668,0.04576531867608105,0.9462679284381699,1.008347423231088
lapTime_vs_driver_prev_mean_pct,FP,9,0.9866535072245176,0.9987986926285463,0.03189233662875699,0.9476176922527578,1.0089339077323531
lapTime_vs_team_prev_lapbucket_mean_pct,TP,165,0.9816035792507757,0.9885503441140269,0.054533465915313314,0.9340086663388968,1.006640175084197
lapTime_vs_team_prev_lapbucket_mean_pct,FP,9,0.9855222325376052,0.9914017299418473,0.024621308778654063,0.9487132385337707,1.005930261050838
lapTime_vs_race_prev_lapbucket_mean_pct,TP,165,0.9678686012077065,0.9676097913759207,0.0550495012599666,0.9289677359995392,0.9955905047540281
lapTime_vs_race_prev_lapbucket_mean_pct,FP,9,0.9695339693923718,0.9793154953725827,0.026640181925860647,0.9434432555224201,0.990336049883044
lapTime,TP,165,92.1960606060606,96.126,13.07955711403705,71.4098,104.0536
lapTime,FP,9,95.43444444444445,96.17,16.155542819802406,71.5288,114.365
trackTemp,TP,165,30.428484848484846,31.0,7.404280547871522,23.4,41.419999999999995
trackTemp,FP,9,32.388888888888886,31.4,6.0841222218062425,27.88,37.28
airTemp,TP,165,22.0169696969697,22.0,4.646257852227398,17.3,30.1
airTemp,FP,9,22.233333333333334,22.3,3.2489314482696545,18.16,26.22
humidity,TP,165,52.7030303030303,50.0,11.559188522647775,38.0,68.0
humidity,FP,9,49.333333333333336,54.0,11.224972160321824,36.4,58.4
speedTrap,TP,165,295.04848484848486,298.0,18.86982714526539,282.4,306.6
speedTrap,FP,9,303.77777777777777,305.0,7.6561925230898735,297.0,309.4
gapAhead,TP,165,116.1457696969697,4.815,285.1875507776896,0.8046000000000002,244.6925999999999
gapAhead,FP,9,6.15011111111111,4.74,5.262444118350848,0.6056,14.113800000000001
gapBehind,TP,165,29.80410909090909,3.6109999999999998,97.01426373964641,0.40120000000000006,97.52659999999999
gapBehind,FP,9,6.800222222222222,5.983,4.580562623806958,1.7942,13.4606
position,TP,165,6.618181818181818,6.0,4.641672539822489,2.0,13.599999999999994
position,FP,9,5.444444444444445,4.0,3.4676636742949407,2.8,10.600000000000001
pitLoss,TP,165,22.29090909090909,22.0,0.9228951929607623,21.0,23.799999999999997
pitLoss,FP,9,22.72222222222222,23.5,1.1573703697777589,21.0,24.0
