model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,far_miss_6_plus,2022 :: Abu Dhabi Grand Prix,RIC,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,far_miss_6_plus,2022 :: Bahrain Grand Prix,MSC,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
MOA,excluded_no_match,far_miss_6_plus,2022 :: Saudi Arabian Grand Prix,HAM,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,30.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Abu Dhabi Grand Prix,ALB,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,17.0,,,
MOA,excluded_no_match,no_future,2023 :: Azerbaijan Grand Prix,VER,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Monaco Grand Prix,ZHO,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,21.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: United States Grand Prix,TSU,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,OCO,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,33.0,,,
MOA,excluded_no_match,no_future,2024 :: Las Vegas Grand Prix,SAR,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Belgian Grand Prix,RIC,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Dutch Grand Prix,VET,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,no_future,2025 :: Emilia Romagna Grand Prix,HUL,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,no_future,2025 :: Hungarian Grand Prix,HUL,54,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Italian Grand Prix,HAM,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Monaco Grand Prix,GAS,24,EXCLUDED,NO_MATCH_WITHIN_HORIZON,23.0,,,
MOA,excluded_no_match,no_future,2025 :: Qatar Grand Prix,GAS,54,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Abu Dhabi Grand Prix,VET,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,MSC,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,scored_fp,fp_scored,2022 :: Bahrain Grand Prix,LEC,29,0,nan,2.0,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: São Paulo Grand Prix,STR,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Australian Grand Prix,ALO,33,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Australian Grand Prix,ZHO,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,no_future,2024 :: Canadian Grand Prix,BOT,61,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Emilia Romagna Grand Prix,VER,42,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Hungarian Grand Prix,MAG,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,,,
SDE,excluded_no_match,no_future,2024 :: Japanese Grand Prix,RUS,50,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Monaco Grand Prix,PER,59,EXCLUDED,NO_MATCH_WITHIN_HORIZON,11.0,,,
SDE,excluded_no_match,no_future,2025 :: Spanish Grand Prix,MAG,57,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2025 :: Spanish Grand Prix,MSC,55,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,VET,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
