race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Australian Grand Prix,ALB,37,PIT_NOW,0.0961538461538461,,,57.0,20.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.0961538461538461,57.0,2.0,57.0,2.0,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.0961538461538461,,,57.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,36,PIT_NOW,0.0961538461538461,,,45.0,9.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,37,PIT_NOW,0.0961538461538461,,,45.0,8.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,38,PIT_NOW,0.0961538461538461,,,45.0,7.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,39,PIT_NOW,0.0961538461538461,,,45.0,6.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,40,PIT_NOW,0.0961538461538461,,,45.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,41,PIT_NOW,0.0961538461538461,,,45.0,4.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,DEV,44,PIT_NOW,0.0961538461538461,45.0,1.0,45.0,1.0,True,1,
2023 :: Australian Grand Prix,LEC,19,PIT_NOW,0.0961538461538461,,,22.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.0961538461538461,22.0,2.0,22.0,2.0,True,1,
2023 :: Australian Grand Prix,LEC,21,PIT_NOW,0.0961538461538461,,,22.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,NOR,18,PIT_NOW,0.0961538461538461,20.0,2.0,20.0,2.0,True,1,
2023 :: Australian Grand Prix,NOR,19,PIT_NOW,0.0961538461538461,,,20.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,18,PIT_NOW,0.0961538461538461,,,21.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,RIC,19,PIT_NOW,0.0961538461538461,21.0,2.0,21.0,2.0,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.0961538461538461,,,21.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44.0,2.0,True,1,
2023 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,12,PIT_NOW,0.6666666666666666,14.0,2.0,14.0,2.0,True,1,
2023 :: Bahrain Grand Prix,LAT,13,PIT_NOW,0.6666666666666666,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,30,PIT_NOW,0.6666666666666666,32.0,2.0,32.0,2.0,True,1,
2023 :: Bahrain Grand Prix,LAT,31,PIT_NOW,0.6666666666666666,,,32.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,MSC,11,PIT_NOW,0.6666666666666666,12.0,1.0,12.0,1.0,True,1,
2023 :: Bahrain Grand Prix,RIC,31,PIT_NOW,0.6666666666666666,33.0,2.0,33.0,2.0,True,1,
2023 :: Bahrain Grand Prix,RIC,32,PIT_NOW,0.6666666666666666,,,33.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,RIC,42,PIT_NOW,0.6666666666666666,44.0,2.0,44.0,2.0,True,1,
2023 :: Bahrain Grand Prix,RIC,43,PIT_NOW,0.6666666666666666,,,44.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,HAM,11,PIT_NOW,1.0,12.0,1.0,12.0,1.0,True,0,
2023 :: Belgian Grand Prix,VET,11,PIT_NOW,1.0,,,14.0,3.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,12,PIT_NOW,1.0,14.0,2.0,14.0,2.0,True,0,
2023 :: Belgian Grand Prix,VET,13,PIT_NOW,1.0,,,14.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: British Grand Prix,SAI,38,PIT_NOW,1.0,39.0,1.0,39.0,1.0,True,1,
2023 :: Dutch Grand Prix,ALB,20,PIT_NOW,0.8571428571428571,21.0,1.0,21.0,1.0,True,1,
2023 :: Dutch Grand Prix,RIC,45,PIT_NOW,0.8571428571428571,47.0,2.0,47.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,RUS,17,PIT_NOW,1.0,18.0,1.0,18.0,1.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,16,PIT_NOW,1.0,18.0,2.0,18.0,2.0,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,1.0,,,18.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,VET,16,PIT_NOW,1.0,17.0,1.0,17.0,1.0,True,1,
2023 :: French Grand Prix,HAM,17,PIT_NOW,0.875,18.0,1.0,18.0,1.0,True,1,
2023 :: Saudi Arabian Grand Prix,ALB,15,PIT_NOW,0.1560283687943262,17.0,2.0,17.0,2.0,True,1,
2023 :: Saudi Arabian Grand Prix,ALB,16,PIT_NOW,0.1560283687943262,,,17.0,1.0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Saudi Arabian Grand Prix,ALO,16,PIT_NOW,0.1560283687943262,16.0,0.0,16.0,0.0,True,0,
2023 :: Saudi Arabian Grand Prix,DEV,12,PIT_NOW,0.1560283687943262,,,17.0,5.0,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
