rank,feature,mean_abs_shap,mean_signed_shap
1,race_progress_pct,0.06451789113784581,-0.024135252948284943
2,lapTime_vs_driver_prev_mean_pct,0.02802193336094993,-0.012157604067456031
3,humidity,0.025627224571533082,-0.011902053341216232
4,tire_life_ratio,0.022941192533585873,-0.008876914422545786
5,lapTime_vs_race_prev_lapbucket_mean_pct,0.022758080306283655,-0.015350425694494572
6,lapTime_vs_team_prev_lapbucket_mean_pct,0.018735276583971266,-0.011627949166390403
7,speedTrap,0.018322753790649748,-0.009892484057233806
8,lapTime,0.017658778831305868,-0.011612046615700632
9,tyreLife,0.0167445168138249,-0.007657844996787478
10,trackTemp,0.014493008811928445,-0.011274754822430268
11,gap_to_physical_car,0.014326384428223671,-0.007620405410026426
12,position,0.012778298608498263,-0.008109003981994822
13,airTemp,0.012625913093793215,-0.008979391380139711
14,pitLoss,0.011743680410281456,-0.0029167112089258387
15,gapBehind,0.010620380749187638,-0.010031373320592105
16,gapAhead,0.008240287249160153,-0.007805882349677063
17,pace_drop_ratio,0.007895168196326163,-0.005558727648913643
18,pace_trend,0.006763183470837832,-0.006070245025592546
19,gapAhead_trend,0.0065302720295974835,-0.006343012796433294
20,positions_lost,0.005304597213693113,-0.0018926793808107818
21,has_drop_zone_data,0.0039982763276750636,-0.00033684227506450146
