protocol,year,score_type,point_label,requested_threshold,effective_threshold,precision,recall
ml_pretrain,overall,raw_proba,threshold_0.50,0.5,0.4999994039535522,0.24027018333869413,0.6768932038834952
ml_pretrain,overall,raw_proba,threshold_0.10,0.1,0.1000048071146011,0.11584408492047239,0.878705501618123
ml_pretrain,overall,raw_proba,threshold_0.05,0.05,0.0500003769993782,0.10144783251792013,0.9233656957928803
ml_pretrain,overall,raw_proba,constrained_median,0.81,0.8100075125694275,0.498231340643792,0.36466019417475726
ml_pretrain,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.7162944582299421,0.11210355987055017
ml_pretrain,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.34476885644768857,0.5502912621359223
ml_pretrain,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.22037867661652047,0.718705501618123
ml_pretrain,overall,calibrated_proba,constrained_median,0.81,0.8135593220338984,0.8294117647058824,0.01825242718446602
ml_racewise,overall,raw_proba,threshold_0.50,0.5,0.4999994039535522,0.2376393383674937,0.6407708156587081
ml_racewise,overall,raw_proba,threshold_0.10,0.1,0.1000048071146011,0.11488417939871857,0.8475336322869955
ml_racewise,overall,raw_proba,threshold_0.05,0.05,0.0500003769993782,0.10052190931825596,0.8963761968246273
ml_racewise,overall,raw_proba,constrained_median,0.8,0.799994707107544,0.4789482174544281,0.35983517149436434
ml_racewise,overall,calibrated_proba,threshold_0.50,0.5,0.5,0.7116013071895425,0.10556296206520421
ml_racewise,overall,calibrated_proba,threshold_0.10,0.1,0.1,0.32075471698113206,0.5315719306750697
ml_racewise,overall,calibrated_proba,threshold_0.05,0.05,0.05,0.2042593702619795,0.7020967155496304
ml_racewise,overall,calibrated_proba,constrained_median,0.8,0.8,0.8277777777777777,0.018058417161556175
