feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
race_progress_pct,0.79549354,-0.4897062,1.1929834,0.5062656864626761
tire_life_ratio,0.41103646,-0.090058416,0.46410322,0.46841722222222226
humidity,0.25469735,-0.10343982,0.39784077,53.9804
trackTemp,0.22081882,-0.12719104,0.40310317,35.25468000000001
airTemp,0.20346329,-0.13452525,0.2349286,24.01612
speedTrap,0.17080787,-0.08150781,0.22685614,299.44184184184184
lapTime_vs_driver_prev_mean_pct,0.16477609,-0.09215392,0.16846848,0.9708064035375396
lapTime_vs_race_prev_lapbucket_mean_pct,0.13967761,-0.065819174,0.22573987,0.9511877960412385
position,0.13826352,-0.07412676,0.17810117,10.4174
lapTime,0.13346434,-0.08368424,0.14761782,92.129208
gap_to_physical_car,0.095678665,-0.049315203,0.11512282,628.3779562
gapAhead_trend,0.09174298,-0.05179547,0.096547104,1.6023842
tyreLife,0.08652001,-0.041495208,0.10148467,14.9222
gapBehind,0.08518606,-0.05937824,0.09255421,124.8002632
gapAhead,0.08351343,-0.05816241,0.10116099,105.18133800000001
lapTime_vs_team_prev_lapbucket_mean_pct,0.08186558,-0.03728738,0.12297544,0.9653534266006994
pace_drop_ratio,0.078832656,-0.044413976,0.09631314,1.0107851006479505
pace_trend,0.076790534,-0.038549237,0.14948171,0.0011783398445838274
pitLoss,0.07447631,-0.041732755,0.09668604,22.5492
positions_lost,0.049959995,-0.024278425,0.1425004,2.0724
has_drop_zone_data,0.0028474154,-0.00038024626,0.0041154237,0.3878
