threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,28361,3941,24420,3297,644,0.8365896980461812,0.13895842882832057,0.11625119001445647,1,0.12167093881427571,5.821270310192023,23688,0.97002457002457,2661,4000,8367,5038,222,416,90
0.075,18678,3392,15286,2883,509,0.8499410377358491,0.18160402612699433,0.1543527144233858,1,0.13502227850394355,5.010339734121122,14770,0.9662436216145492,1931,2716,4763,3725,161,290,65
0.1,13674,2984,10690,2576,408,0.8632707774798928,0.21822436741260787,0.18838671932133977,1,0.14835201824798727,4.40768094534712,10308,0.9642656688493919,1477,1930,3002,2995,122,213,47
0.125,10612,2695,7917,2342,353,0.8690166975881262,0.25395778364116095,0.22069355446664154,1,0.15409793835622065,3.980797636632201,7616,0.9619805481874447,1168,1457,2037,2465,98,167,36
0.15,9029,2461,6568,2166,295,0.880130028443722,0.2725661756562188,0.23989367593310443,1,0.1652112692118165,3.635155096011817,6314,0.9613276492082826,982,1210,1586,2170,80,139,35
0.175,7628,2256,5372,2004,252,0.8882978723404256,0.29575249082328264,0.2627163083377032,1,0.17337911310852006,3.332348596750369,5174,0.9631422189128817,831,950,1267,1858,66,108,24
0.2,6570,2072,4498,1850,222,0.8928571428571429,0.31537290715372907,0.2815829528158295,1,0.1779383836252374,3.0605612998522895,4329,0.9624277456647399,703,788,1011,1631,59,86,24
0.22499999999999998,5667,1891,3776,1693,198,0.8952934955050238,0.33368625374977945,0.2987471325216164,1,0.18037473627311829,2.793205317577548,3628,0.9608050847457628,583,654,807,1460,55,74,19
0.25,5283,1813,3470,1629,184,0.8985107556536128,0.3431762256293773,0.3083475298126065,1,0.18359199642170732,2.6779911373707534,3332,0.9602305475504322,543,586,733,1353,51,70,17
0.27499999999999997,4490,1659,2831,1498,161,0.9029535864978903,0.3694877505567929,0.333630289532294,1,0.18803482726598475,2.4505169867060563,2715,0.9590250794772165,445,479,540,1163,44,58,14
0.3,4161,1570,2591,1422,148,0.9057324840764331,0.3773131458783946,0.3417447728911319,1,0.19081372484452763,2.3190546528803546,2485,0.9590891547664995,404,438,489,1073,40,55,11
0.32499999999999996,3848,1490,2358,1351,139,0.9067114093959732,0.3872141372141372,0.3510914760914761,1,0.19179265016406766,2.2008862629246675,2264,0.9601357082273113,379,390,440,1014,35,50,9
0.35,3343,1372,1971,1250,122,0.9110787172011662,0.4104098115465151,0.37391564463057136,1,0.19615995796926067,2.0265878877400296,1893,0.9604261796042618,319,328,340,881,27,44,7
0.37499999999999994,2750,1218,1532,1115,103,0.9154351395730707,0.4429090909090909,0.40545454545454546,1,0.20051638034116515,1.7991137370753323,1464,0.9556135770234987,250,245,226,724,22,40,6
0.39999999999999997,2245,1046,1199,960,86,0.9177820267686424,0.465924276169265,0.42761692650334077,1,0.2028632675367369,1.5450516986706055,1139,0.9499582985821518,199,190,155,584,18,36,6
0.42499999999999993,2036,975,1061,897,78,0.92,0.47888015717092336,0.4405697445972495,1,0.20508124076809453,1.4401772525849335,1006,0.9481621112158342,176,166,130,527,18,31,6
0.44999999999999996,1682,859,823,794,65,0.9243306169965075,0.5107015457788348,0.47205707491082044,1,0.20941185776460203,1.2688330871491875,783,0.951397326852977,142,122,92,422,9,25,6
0.475,1525,798,727,736,62,0.9223057644110275,0.5232786885245901,0.48262295081967216,1,0.207387005179122,1.1787296898079764,690,0.9491059147180193,120,103,73,394,8,23,6
0.49999999999999994,1224,673,551,620,53,0.9212481426448736,0.5498366013071896,0.5065359477124183,1,0.20632938341296814,0.9940915805022157,520,0.9437386569872959,94,72,39,315,7,21,3
0.525,1019,595,424,552,43,0.9277310924369748,0.5839057899901865,0.5417075564278705,1,0.21281233320506932,0.8788774002954209,396,0.9339622641509434,69,53,24,250,6,19,3
0.5499999999999999,898,538,360,501,37,0.9312267657992565,0.5991091314031181,0.5579064587973274,1,0.21630800656735094,0.794682422451994,335,0.9305555555555556,64,43,13,215,4,18,3
0.575,777,479,298,448,31,0.9352818371607515,0.6164736164736164,0.5765765765765766,1,0.22036307792884602,0.707533234859675,278,0.9328859060402684,54,30,6,188,4,13,3
0.6,649,418,231,395,23,0.9449760765550239,0.6440677966101694,0.6086286594761171,1,0.2300573173231184,0.6174298375184638,215,0.9307359307359307,39,20,4,152,3,10,3
0.625,552,355,197,333,22,0.9380281690140845,0.6431159420289855,0.6032608695652174,1,0.22310940978217897,0.5243722304283605,181,0.9187817258883249,32,16,4,129,3,10,3
0.65,396,265,131,250,15,0.9433962264150944,0.6691919191919192,0.6313131313131313,1,0.22847746718318884,0.3914327917282127,117,0.8931297709923665,18,9,3,87,3,8,3
0.675,300,202,98,191,11,0.9455445544554455,0.6733333333333333,0.6366666666666667,1,0.23062579522354,0.2983751846381093,86,0.8775510204081632,14,7,2,63,2,7,3
0.7,231,162,69,155,7,0.9567901234567902,0.7012987012987013,0.670995670995671,1,0.24187136422488464,0.23929098966026588,59,0.855072463768116,6,4,0,49,2,6,2
0.725,226,159,67,152,7,0.9559748427672956,0.7035398230088495,0.672566371681416,1,0.2410560835353901,0.23485967503692762,57,0.8507462686567164,5,4,0,48,2,6,2
0.75,209,149,60,142,7,0.9530201342281879,0.7129186602870813,0.6794258373205742,1,0.23810137499628237,0.22008862629246675,52,0.8666666666666667,5,3,0,44,1,5,2
0.775,187,133,54,126,7,0.9473684210526315,0.7112299465240641,0.6737967914438503,1,0.23244966182072602,0.1964549483013294,46,0.8518518518518519,5,3,0,38,1,5,2
0.7999999999999999,180,129,51,122,7,0.9457364341085271,0.7166666666666667,0.6777777777777778,1,0.23081767487662164,0.19054652880354506,44,0.8627450980392157,5,3,0,36,1,5,1
0.825,159,116,43,110,6,0.9482758620689655,0.7295597484276729,0.6918238993710691,1,0.23335710283706002,0.17134416543574593,38,0.8837209302325582,4,3,0,31,0,4,1
0.85,113,81,32,77,4,0.9506172839506173,0.7168141592920354,0.6814159292035398,1,0.23569852471871178,0.11964549483013294,28,0.875,3,2,0,23,0,4,0
0.875,105,74,31,70,4,0.9459459459459459,0.7047619047619048,0.6666666666666666,1,0.23102718671404043,0.10930576070901034,28,0.9032258064516129,3,2,0,23,0,3,0
0.9,88,65,23,61,4,0.9384615384615385,0.7386363636363636,0.6931818181818182,1,0.22354277922963295,0.09601181683899557,22,0.9565217391304348,3,1,0,18,0,1,0
0.9249999999999999,85,63,22,59,4,0.9365079365079365,0.7411764705882353,0.6941176470588235,1,0.221589177276031,0.0930576070901034,21,0.9545454545454546,3,1,0,17,0,1,0
0.95,76,57,19,53,4,0.9298245614035088,0.75,0.6973684210526315,1,0.21490580217160327,0.08419497784342689,18,0.9473684210526315,2,1,0,15,0,1,0
