threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2023,4639,605,501,104,0.828099173553719,0.13041603793921103,0.10799741323561113
0.05,2024,8779,1250,1065,185,0.852,0.14238523749857615,0.12131222234878687
0.05,2025,11775,1866,1593,273,0.8536977491961415,0.15847133757961784,0.13528662420382165
0.075,2023,2389,443,373,70,0.8419864559819413,0.1854332356634575,0.15613227291753873
0.075,2024,5663,1086,941,145,0.8664825046040515,0.19177114603567014,0.1661663429277768
0.075,2025,8619,1688,1461,227,0.865521327014218,0.19584638589163475,0.16950922380786634
0.1,2023,1117,298,254,44,0.8523489932885906,0.26678603401969564,0.22739480752014324
0.1,2024,4265,979,862,117,0.8804902962206334,0.22954279015240328,0.20211019929660023
0.1,2025,6948,1571,1377,194,0.8765117759388924,0.22610823258491652,0.19818652849740934
0.125,2023,841,252,214,38,0.8492063492063492,0.29964328180737215,0.2544589774078478
0.125,2024,3286,885,785,100,0.8870056497175142,0.26932440657334145,0.23889227023737067
0.125,2025,5755,1449,1276,173,0.8806073153899241,0.2517810599478714,0.2217202432667246
0.15,2023,604,194,163,31,0.8402061855670103,0.3211920529801324,0.26986754966887416
0.15,2024,2908,843,754,89,0.8944246737841044,0.28988995873452544,0.2592847317744154
0.15,2025,5183,1372,1217,155,0.8870262390670554,0.2647115570133127,0.23480609685510323
0.175,2023,480,157,130,27,0.8280254777070064,0.32708333333333334,0.2708333333333333
0.175,2024,2670,813,730,83,0.897908979089791,0.3044943820224719,0.27340823970037453
0.175,2025,4371,1262,1131,131,0.8961965134706814,0.2887211164493251,0.2587508579272478
0.2,2023,331,117,94,23,0.8034188034188035,0.35347432024169184,0.283987915407855
0.2,2024,2270,748,674,74,0.9010695187165776,0.3295154185022026,0.29691629955947135
0.2,2025,3863,1183,1069,114,0.9036348267117498,0.3062386746052291,0.2767279316593321
0.22499999999999998,2023,269,103,83,20,0.8058252427184466,0.3828996282527881,0.30855018587360594
0.22499999999999998,2024,1898,675,609,66,0.9022222222222223,0.35563751317175973,0.32086406743940993
0.22499999999999998,2025,3440,1098,993,105,0.9043715846994536,0.3191860465116279,0.2886627906976744
0.25,2023,248,95,79,16,0.8315789473684211,0.38306451612903225,0.3185483870967742
0.25,2024,1812,659,595,64,0.9028831562974203,0.36368653421633557,0.3283664459161148
0.25,2025,3169,1047,948,99,0.9054441260744985,0.33038813505837805,0.2991479962133165
0.27499999999999997,2023,208,85,71,14,0.8352941176470589,0.40865384615384615,0.34134615384615385
0.27499999999999997,2024,1615,599,542,57,0.9048414023372288,0.37089783281733746,0.33560371517027865
0.27499999999999997,2025,2626,968,881,87,0.9101239669421488,0.3686214775323686,0.3354912414318355
0.3,2023,161,74,62,12,0.8378378378378378,0.45962732919254656,0.38509316770186336
0.3,2024,1549,581,525,56,0.9036144578313253,0.3750806972240155,0.33892834086507423
0.3,2025,2418,909,832,77,0.9152915291529153,0.3759305210918114,0.34408602150537637
0.32499999999999996,2023,156,73,61,12,0.8356164383561644,0.46794871794871795,0.391025641025641
0.32499999999999996,2024,1352,529,479,50,0.9054820415879017,0.39127218934911245,0.35428994082840237
0.32499999999999996,2025,2324,884,808,76,0.9140271493212669,0.3803786574870912,0.3476764199655766
0.35,2023,130,65,56,9,0.8615384615384616,0.5,0.4307692307692308
0.35,2024,1168,489,443,46,0.9059304703476483,0.4186643835616438,0.3792808219178082
0.35,2025,2029,814,748,66,0.918918918918919,0.4011828486939379,0.36865450961064566
0.37499999999999994,2023,116,59,50,9,0.847457627118644,0.5086206896551724,0.43103448275862066
0.37499999999999994,2024,1010,450,407,43,0.9044444444444445,0.44554455445544555,0.402970297029703
0.37499999999999994,2025,1609,705,655,50,0.9290780141843972,0.4381603480422623,0.40708514605344936
0.39999999999999997,2023,93,51,43,8,0.8431372549019608,0.5483870967741935,0.46236559139784944
0.39999999999999997,2024,689,340,310,30,0.9117647058823529,0.4934687953555878,0.44992743105950656
0.39999999999999997,2025,1448,651,604,47,0.9278033794162827,0.449585635359116,0.4171270718232044
0.42499999999999993,2023,90,50,43,7,0.86,0.5555555555555556,0.4777777777777778
0.42499999999999993,2024,620,319,290,29,0.9090909090909091,0.5145161290322581,0.46774193548387094
0.42499999999999993,2025,1311,602,561,41,0.9318936877076412,0.4591914569031274,0.4279176201372998
0.44999999999999996,2023,86,47,40,7,0.851063829787234,0.5465116279069767,0.46511627906976744
0.44999999999999996,2024,535,285,263,22,0.9228070175438596,0.5327102803738317,0.491588785046729
0.44999999999999996,2025,1046,523,488,35,0.9330783938814532,0.5,0.4665391969407266
0.475,2023,73,40,33,7,0.825,0.547945205479452,0.4520547945205479
0.475,2024,457,259,239,20,0.9227799227799228,0.5667396061269147,0.5229759299781181
0.475,2025,980,495,461,34,0.9313131313131313,0.5051020408163265,0.4704081632653061
0.49999999999999994,2023,73,40,33,7,0.825,0.547945205479452,0.4520547945205479
0.49999999999999994,2024,328,195,179,16,0.9179487179487179,0.5945121951219512,0.5457317073170732
0.49999999999999994,2025,808,434,405,29,0.9331797235023042,0.5371287128712872,0.5012376237623762
0.525,2023,67,37,30,7,0.8108108108108109,0.5522388059701493,0.44776119402985076
0.525,2024,288,180,168,12,0.9333333333333333,0.625,0.5833333333333334
0.525,2025,663,378,354,24,0.9365079365079365,0.5701357466063348,0.5339366515837104
0.5499999999999999,2023,66,37,30,7,0.8108108108108109,0.5606060606060606,0.45454545454545453
0.5499999999999999,2024,241,157,146,11,0.9299363057324841,0.6514522821576764,0.6058091286307054
0.5499999999999999,2025,590,344,325,19,0.9447674418604651,0.5830508474576271,0.5508474576271186
0.575,2023,58,33,29,4,0.8787878787878788,0.5689655172413793,0.5
0.575,2024,212,139,130,9,0.935251798561151,0.6556603773584906,0.6132075471698113
0.575,2025,506,307,289,18,0.9413680781758957,0.6067193675889329,0.5711462450592886
0.6,2023,30,19,17,2,0.8947368421052632,0.6333333333333333,0.5666666666666667
0.6,2024,174,122,114,8,0.9344262295081968,0.7011494252873564,0.6551724137931034
0.6,2025,444,277,264,13,0.9530685920577617,0.6238738738738738,0.5945945945945946
0.625,2023,30,19,17,2,0.8947368421052632,0.6333333333333333,0.5666666666666667
0.625,2024,145,95,87,8,0.9157894736842105,0.6551724137931034,0.6
0.625,2025,376,241,229,12,0.950207468879668,0.6409574468085106,0.6090425531914894
0.65,2023,30,19,17,2,0.8947368421052632,0.6333333333333333,0.5666666666666667
0.65,2024,127,87,80,7,0.9195402298850575,0.6850393700787402,0.6299212598425197
0.65,2025,238,159,153,6,0.9622641509433962,0.6680672268907563,0.6428571428571429
0.675,2023,18,12,10,2,0.8333333333333334,0.6666666666666666,0.5555555555555556
0.675,2024,107,72,66,6,0.9166666666666666,0.6728971962616822,0.616822429906542
0.675,2025,174,118,115,3,0.9745762711864406,0.6781609195402298,0.6609195402298851
0.7,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.7,2024,80,59,56,3,0.9491525423728814,0.7375,0.7
0.7,2025,134,92,90,2,0.9782608695652174,0.6865671641791045,0.6716417910447762
0.725,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.725,2024,80,59,56,3,0.9491525423728814,0.7375,0.7
0.725,2025,129,89,87,2,0.9775280898876404,0.689922480620155,0.6744186046511628
0.75,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.75,2024,74,54,51,3,0.9444444444444444,0.7297297297297297,0.6891891891891891
0.75,2025,118,84,82,2,0.9761904761904762,0.711864406779661,0.6949152542372882
0.775,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.775,2024,62,44,41,3,0.9318181818181818,0.7096774193548387,0.6612903225806451
0.775,2025,108,78,76,2,0.9743589743589743,0.7222222222222222,0.7037037037037037
0.7999999999999999,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.7999999999999999,2024,59,42,39,3,0.9285714285714286,0.711864406779661,0.6610169491525424
0.7999999999999999,2025,104,76,74,2,0.9736842105263158,0.7307692307692307,0.7115384615384616
0.825,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.825,2024,54,38,35,3,0.9210526315789473,0.7037037037037037,0.6481481481481481
0.825,2025,88,67,66,1,0.9850746268656716,0.7613636363636364,0.75
0.85,2023,16,11,9,2,0.8181818181818182,0.6875,0.5625
0.85,2024,48,34,32,2,0.9411764705882353,0.7083333333333334,0.6666666666666666
0.85,2025,48,36,36,0,1.0,0.75,0.75
0.875,2023,14,9,7,2,0.7777777777777778,0.6428571428571429,0.5
0.875,2024,48,34,32,2,0.9411764705882353,0.7083333333333334,0.6666666666666666
0.875,2025,42,31,31,0,1.0,0.7380952380952381,0.7380952380952381
0.9,2023,13,8,6,2,0.75,0.6153846153846154,0.46153846153846156
0.9,2024,37,28,26,2,0.9285714285714286,0.7567567567567568,0.7027027027027027
0.9,2025,37,29,29,0,1.0,0.7837837837837838,0.7837837837837838
0.9249999999999999,2023,13,8,6,2,0.75,0.6153846153846154,0.46153846153846156
0.9249999999999999,2024,37,28,26,2,0.9285714285714286,0.7567567567567568,0.7027027027027027
0.9249999999999999,2025,34,27,27,0,1.0,0.7941176470588235,0.7941176470588235
0.95,2023,12,8,6,2,0.75,0.6666666666666666,0.5
0.95,2024,30,23,21,2,0.9130434782608695,0.7666666666666667,0.7
0.95,2025,33,26,26,0,1.0,0.7878787878787878,0.7878787878787878
