bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2471,0.0389906427263633,0.0024281667341157424,0.0,0.06330552903615425
1,2471,0.08605214621986074,0.004046944556859571,0.06330552903615425,0.10823656769084229
2,2471,0.13207148428840942,0.010522055847834885,0.10823656769084229,0.15769660348414943
3,2471,0.1845341594687136,0.018615944961554026,0.15769660348414943,0.2119764006746267
4,2471,0.24122935316934344,0.02063941723998381,0.2119764006746267,0.27016072818970494
5,2471,0.30406163007534504,0.052610279239174426,0.27016072818970494,0.3396810465939469
6,2471,0.37709900213116526,0.05301497369486038,0.3396810465939469,0.41753795857000625
7,2470,0.46799299746785455,0.0931174089068826,0.41753795857000625,0.5212810493899005
8,2472,0.5760563025047841,0.15008090614886732,0.5212810493899005,0.635773499715569
9,2471,0.7132221708994209,0.26831242411978956,0.635773499715569,1.0
