fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,682,20,0.02932551319648094,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0
2,856,18,0.02102803738317757,0.4,0.4,0.4,0.0,,0.0,,0,0.0467980295566502
3,1057,22,0.020813623462630087,0.16,0.16,0.16,0.00946073793755913,0.6,0.2727272727272727,0.37499999999999994,0,0.0378151260504201
4,930,25,0.026881720430107527,0.05000000000000001,0.05,0.05,0.005376344086021506,0.0,0.0,,0,0.02201481768806267
5,1212,44,0.036303630363036306,0.03,0.03,0.03,0.006600660066006601,0.0,0.0,,0,0.021223210284726342
6,1066,18,0.016885553470919325,0.12000000000000001,0.12,0.12,0.0,,0.0,,0,0.0188679245283018
7,812,29,0.03571428571428571,0.11000000000000003,0.11,0.11,0.1206896551724138,0.07142857142857142,0.2413793103448276,0.11023622047244094,0,0.1181102362204724
8,1092,19,0.0173992673992674,0.09999999999999988,0.0999999999999999,0.0999999999999999,0.08333333333333333,0.06593406593406594,0.3157894736842105,0.1090909090909091,0,0.0963855421686747
9,749,15,0.020026702269692925,0.12999999999999998,0.13,0.13,0.017356475300400534,0.0,0.0,,0,0.0772532188841201
10,1267,46,0.036306235201262825,0.14000000000000004,0.14,0.14,0.07419100236779795,0.1595744680851064,0.32608695652173914,0.2142857142857143,0,0.1078431372549019
11,877,18,0.020524515393386546,0.16,0.16,0.16,0.11858608893956671,0.08653846153846154,0.5,0.14754098360655737,0,0.1647058823529411
12,1288,34,0.026397515527950312,0.15,0.15,0.15,0.043478260869565216,0.23214285714285715,0.38235294117647056,0.28888888888888886,0,0.1065573770491803
13,719,26,0.03616133518776078,0.25,0.25,0.25,0.004172461752433936,0.6666666666666666,0.07692307692307693,0.13793103448275862,0,0.056910569105691
14,1268,49,0.038643533123028394,0.33,0.33,0.33,0.007097791798107256,0.4444444444444444,0.08163265306122448,0.13793103448275862,0,0.0837988826815642
15,835,30,0.03592814371257485,0.32999999999999996,0.33,0.33,0.003592814371257485,0.3333333333333333,0.03333333333333333,0.0606060606060606,0,0.0978260869565217
16,701,11,0.015691868758915834,0.99,0.99,0.99,0.0,,0.0,,0,0.058695652173913
17,415,2,0.004819277108433735,0.25999999999999995,0.26,0.26,0.0,,0.0,,0,0.0426540284360189
18,841,34,0.04042806183115339,0.25999999999999995,0.26,0.26,0.007134363852556481,0.0,0.0,,0,0.0493506493506493
19,1331,16,0.012021036814425245,0.3999999999999999,0.4,0.4,0.015026296018031555,0.15,0.1875,0.16666666666666663,0,0.1818181818181818
20,1030,22,0.021359223300970873,0.11000000000000004,0.11,0.11,0.037864077669902914,0.0,0.0,,0,0.0577223088923556
21,1086,28,0.02578268876611418,0.06,0.06,0.06,0.010128913443830571,0.18181818181818182,0.07142857142857142,0.10256410256410255,1086,0.0460147904683648
22,1214,129,0.10626029654036244,0.9900000000000001,0.99,0.99,0.004118616144975288,1.0,0.03875968992248062,0.07462686567164178,0,0.0228136882129277
23,957,60,0.06269592476489028,0.16,0.16,0.16,0.003134796238244514,1.0,0.05,0.09523809523809523,0,0.0458515283842794
24,1206,27,0.022388059701492536,0.12,0.12,0.12,0.005804311774461028,0.8571428571428571,0.2222222222222222,0.35294117647058826,0,0.0512820512820512
25,1110,57,0.051351351351351354,0.75,0.75,0.75,0.0,,0.0,,0,0.0228471001757469
26,1316,61,0.04635258358662614,0.33,0.33,0.33,0.0,,0.0,,0,0.0611814345991561
27,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0247592847317744
