scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,44157,0.42864631364364414,0.03244252845333283,0.020359172951060985,0.012083355502271843
overall,raw,1,0.1,0.2,13597,0.13199048682230743,0.1454884032542463,0.03456644848128264,0.11092195477296367
overall,raw,2,0.2,0.30000000000000004,9110,0.08843372324418775,0.2474046708609087,0.041602634467618,0.2058020363932907
overall,raw,3,0.30000000000000004,0.4,7545,0.07324176090860554,0.34887599812745257,0.05009940357852883,0.29877659454892375
overall,raw,4,0.4,0.5,6562,0.06369946124350823,0.44897885444377916,0.06156659555013715,0.387412258893642
overall,raw,5,0.5,0.6000000000000001,5894,0.057214968693879535,0.5490874876642696,0.08279606379368849,0.46629142387058115
overall,raw,6,0.6000000000000001,0.7000000000000001,5245,0.05091491530359656,0.6487969978407977,0.1306005719733079,0.5181964258674898
overall,raw,7,0.7000000000000001,0.8,4756,0.046168033781488135,0.7493724636388888,0.2306560134566863,0.5187164501822025
overall,raw,8,0.8,0.9,4409,0.04279959229238461,0.8502713294628391,0.4000907235200726,0.45018060594276654
overall,raw,9,0.9,1.0,1740,0.016890744066398098,0.9272458978082941,0.6672413793103448,0.26000451849794937
overall,calibrated,0,0.0,0.1,90858,0.8819880599912634,0.027860014211503623,0.03917101410992978,0.011310999898426155
overall,calibrated,1,0.1,0.2,5846,0.05674901713342717,0.1447311546243272,0.2199794731440301,0.0752483185197029
overall,calibrated,2,0.2,0.30000000000000004,2233,0.021676454885210892,0.24799335402718142,0.32691446484549935,0.07892111081831793
overall,calibrated,3,0.30000000000000004,0.4,1850,0.017958549725768092,0.34138508857497396,0.4167567567567568,0.07537166818178281
overall,calibrated,4,0.4,0.5,1102,0.010697471242052128,0.44785934411760403,0.5099818511796733,0.06212250706206929
overall,calibrated,5,0.5,0.6000000000000001,562,0.005455516186963064,0.5423513333427303,0.6637010676156584,0.12134973427292806
overall,calibrated,6,0.6000000000000001,0.7000000000000001,287,0.002786002038538077,0.6427739350389915,0.7560975609756098,0.11332362593661827
overall,calibrated,7,0.7000000000000001,0.8,140,0.0013590253846527205,0.7346747073847606,0.7357142857142858,0.0010395783295251704
overall,calibrated,8,0.8,0.9,63,0.0006115614230937242,0.8303671060094416,0.873015873015873,0.04264876700643139
overall,calibrated,9,0.9,1.0,74,0.0007183419890307237,0.9869888791978181,0.9324324324324325,0.054556446765385624
