scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,61768,0.5016527381851554,0.025981989907612673,0.019540862582567025,0.006441127325045648
overall,raw,1,0.1,0.2,14515,0.11788449512300107,0.14529697934420324,0.03630726834309335,0.10898971100110989
overall,raw,2,0.2,0.30000000000000004,9555,0.07760153984845163,0.24740891373793783,0.04468864468864469,0.20272026904929313
overall,raw,3,0.30000000000000004,0.4,7868,0.06390046211696676,0.348728953818561,0.050711743772241996,0.298017210046319
overall,raw,4,0.4,0.5,6809,0.055299726303307914,0.4489708963050106,0.06197679541782934,0.3869941008871812
overall,raw,5,0.5,0.6000000000000001,6083,0.049403471156267004,0.5490216038424228,0.08433338813085649,0.4646882157115663
overall,raw,6,0.6000000000000001,0.7000000000000001,5412,0.04395390200521404,0.6488486076956401,0.12971175166297116,0.519136856032669
overall,raw,7,0.7000000000000001,0.8,4869,0.03954389299027849,0.7493555182107152,0.22797288971041282,0.5213826285003024
overall,raw,8,0.8,0.9,4488,0.036449577272616523,0.850200631481441,0.3966131907308378,0.4535874407506032
overall,raw,9,0.9,1.0,1762,0.014310194998741158,0.9271384278707688,0.6606129398410897,0.2665254880296791
overall,calibrated,0,0.0,0.1,109494,0.8892624808128061,0.027015302775963333,0.03605677023398542,0.00904146745802209
overall,calibrated,1,0.1,0.2,7142,0.05800420696992585,0.14173979485034,0.19616353962475497,0.05442374477441497
overall,calibrated,2,0.2,0.30000000000000004,2354,0.019118160628284156,0.2471905155732817,0.3143585386576041,0.0671680230843224
overall,calibrated,3,0.30000000000000004,0.4,1891,0.01535787669842198,0.3411363029839584,0.41248016922263353,0.07134386623867511
overall,calibrated,4,0.4,0.5,1122,0.009112394318154131,0.4470062363793223,0.5035650623885918,0.05655882600926948
overall,calibrated,5,0.5,0.6000000000000001,562,0.0045643187226404825,0.5423513333427303,0.6637010676156584,0.12134973427292806
overall,calibrated,6,0.6000000000000001,0.7000000000000001,287,0.002330888742700745,0.6427739350389915,0.7560975609756098,0.11332362593661827
overall,calibrated,7,0.7000000000000001,0.8,140,0.001137018898878412,0.7346747073847606,0.7357142857142858,0.0010395783295251704
overall,calibrated,8,0.8,0.9,63,0.0005116585044952854,0.8303671060094416,0.873015873015873,0.04264876700643139
overall,calibrated,9,0.9,1.0,74,0.0006009957036928749,0.9869888791978181,0.9324324324324325,0.054556446765385624
