learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.218714087,-5.658149072486493E-14,1000.0,91.10000000000001,22.416423309942065,-89.36170212765934,-97.77777777777753,1000.0,-1.0,42.0,22.0,2115.904761904762,3427.4324017779345,-5.595238095238097,5.127922242711354,1.4523809523809526,1.4684051569625438,1.2142857142857142,0.7501451659744554,1.2142857142857142,0.7501451659744554,0.2380952380952381,0.7261500150568166,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.323254362,-8.362613463153442E-14,2000.0,91.4,15.72799741304548,-135.61643835616445,-142.25352112676063,2000.0,-1.0,42.0,46.0,5429.5952380952385,10226.804684342225,-8.761904761904763,9.762570442728958,2.357142857142857,2.7921617516517125,1.6666666666666672,1.4084529943872368,1.6666666666666672,1.4084529943872368,0.6190476190476192,1.2087562838615071,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.439113426,-1.1359895734737317E-13,3000.0,92.30000000000001,15.817246895988845,-159.5505617977531,-165.51724137930995,3000.0,-1.0,42.0,65.0,9824.666666666668,20992.224660070257,-12.0,16.1834001070353,3.2857142857142865,4.623828602010087,2.1428571428571437,2.3119143010050434,2.1428571428571437,2.3119143010050434,0.9761904761904763,1.9189440088692995,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.52669224,-1.362556591629982E-13,4000.0,93.22500000000001,20.58450973022907,-127.7310924369743,-131.62393162393155,4000.0,-1.0,42.0,88.0,18026.023809523806,53886.69367744902,-16.66666666666666,23.762715894162156,4.61904761904762,6.789347398332044,2.80952380952381,3.394673699166022,2.80952380952381,3.394673699166022,1.3333333333333333,2.1938569073850966,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.653049862,-1.6894446634170082E-13,5000.0,93.74,19.29137309870585,-115.86206896551701,-120.42253521126771,5000.0,-1.0,42.0,112.0,28169.095238095237,69022.57652738351,-26.59523809523809,34.75282723982957,7.452380952380952,9.931969521854313,4.214285714285715,4.975725044780344,4.214285714285715,4.975725044780344,2.166666666666667,2.448659829243252,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.770211657,-1.9925430649891497E-13,6000.0,94.0,19.237119816219508,-94.59459459459448,-97.80219780219804,6000.0,-1.0,42.0,140.0,41510.11904761905,95641.05945012101,-36.42857142857143,54.746040220828995,10.261904761904763,15.643996002221993,5.619047619047619,7.830373572848237,5.619047619047619,7.830373572848237,2.4761904761904754,2.787061528354535,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.850570129,-2.2004310067536102E-13,7000.0,94.65714285714286,19.113248866720525,-91.794871794872,-94.7916666666662,7000.0,-1.0,42.0,162.0,52106.07142857142,123228.5251439013,-41.26190476190475,64.71327361252284,11.64285714285714,18.491687557137702,6.309523809523809,9.253840587635521,6.309523809523809,9.253840587635521,2.5238095238095237,2.8131927460180446,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.939473106,-2.43042364406089E-13,8000.0,94.89999999999999,18.409076990184754,-79.73568281938317,-82.95964125560566,8000.0,-1.0,42.0,192.0,65370.85714285715,172379.54171742886,-49.42857142857143,81.78142876345665,13.976190476190476,23.368196122328616,7.476190476190476,11.691644077336882,7.476190476190476,11.691644077336882,2.761904761904761,3.0428606871561157,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.038093396,-2.6855550395945706E-13,9000.0,95.12222222222222,17.923367722008766,-72.15686274509821,-76.30522088353456,9000.0,-1.0,42.0,217.0,82288.42857142854,234969.4518088954,-56.5952380952381,100.51114718516803,16.023809523809526,28.71940628440441,8.500000000000004,14.366712881671655,8.500000000000004,14.366712881671655,2.9047619047619047,3.2893733097956948,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.161518826,-3.004857509707411E-13,10000.0,95.26,17.637195320611156,-68.68327402135222,-72.36363636363656,10000.0,-1.0,42.0,241.0,102138.64285714287,268333.97684127645,-69.33333333333331,120.02167825869009,19.666666666666664,34.29190807391145,10.333333333333332,17.145954036955725,10.333333333333332,17.145954036955725,3.1904761904761907,3.380273442814911,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.262807408,-3.266891795727942E-13,11000.0,95.14545454545454,18.231643045624818,-70.60702875399399,-73.94136807817611,11000.0,-1.0,42.0,267.0,123390.33333333333,292459.317365236,-77.26190476190477,131.0384526554407,21.928571428571427,37.441592144293914,11.45238095238095,18.728095993951246,11.45238095238095,18.728095993951246,3.4523809523809517,3.683863169464313,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.390624314,-3.597555045659344E-13,12000.0,95.29166666666666,18.325051597967818,-67.65578635014839,-70.69486404833873,12000.0,-1.0,42.0,292.0,145149.8333333333,341017.0797555037,-86.92857142857143,148.94841026295185,24.690476190476186,42.558704417767835,12.833333333333332,21.286565861567755,12.833333333333332,21.286565861567755,3.619047619047619,3.818775061886583,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.500586253,-3.8820273682682055E-13,13000.0,95.38461538461539,18.509841712680817,-64.38356164383524,-67.13091922005563,13000.0,-1.0,42.0,315.0,167277.30952380953,418828.7317573703,-96.0952380952381,169.8722345597778,27.309523809523814,48.536879664566314,14.14285714285715,24.27542311160378,14.14285714285715,24.27542311160378,3.8571428571428568,3.904790232468561,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.607831999,-4.1594728801606433E-13,14000.0,95.13571428571429,17.891285616291324,-69.82543640897711,-72.40506329113889,14000.0,-1.0,42.0,342.0,194586.99999999994,491277.98295277415,-106.33333333333331,187.8612184522766,30.238095238095237,53.6746338435076,15.619047619047619,26.8373169217538,15.619047619047619,26.8373169217538,4.071428571428571,4.128383946166906,0.0,0.0,0.0,0.0,1.0,0.0
