rank,feature,mean_abs_shap,mean_signed_shap
1,race_progress_pct,0.07149474246897455,-0.022801860754199068
2,position,0.03769876476974378,-0.011669501963072131
3,tire_life_ratio,0.02887902712122659,-0.010431878100480234
4,humidity,0.02748925182537723,-0.012607877298719853
5,gapBehind,0.026990839710837697,-0.01088432516084278
6,tyreLife,0.025038021918253217,-0.009532427698481017
7,lapTime_vs_driver_prev_mean_pct,0.02243807563281349,-0.00908515190280581
8,pace_drop_ratio,0.01887427334744552,-0.007432590501640774
9,lapTime_vs_race_prev_lapbucket_mean_pct,0.018618442093439366,-0.013268234254943365
10,pitLoss,0.0170272341013078,-0.0063266042580704335
11,airTemp,0.016411442880823985,-0.010087488929032074
12,lapTime_vs_team_prev_lapbucket_mean_pct,0.015268576893269093,-0.01028521917974671
13,speedTrap,0.01472201106567025,-0.008795519699899248
14,trackTemp,0.01316107986354447,-0.009436029354404471
15,gapAhead,0.012368442937194841,-0.007799220017721766
16,gap_to_physical_car,0.007786670236535784,-0.004210107207626514
17,pace_trend,0.006700385781878792,-0.004986532299374027
18,gapAhead_trend,0.0063847886746039965,-0.00587316926861484
19,positions_lost,0.00575426706306068,-0.002641913889054831
20,has_drop_zone_data,0.0027921735776321554,0.0002846875364039742
