feature,importance_drop_f1,importance_std
race_progress_pct,0.05568840578221105,0.0031935297930486255
humidity,0.018501186330181163,0.003318411232644239
position,0.01563595960383406,0.004926092951098356
gapBehind,0.013186886961764243,0.002379580722985726
pitLoss,0.013088653598825429,0.0003133012707094573
trackTemp,0.010193243167489919,0.001132718085427494
airTemp,0.009455763361722302,0.0014988848805965423
lapTime_vs_race_prev_lapbucket_mean_pct,0.00931264603239972,0.002165789386818341
tire_life_ratio,0.008857115375114388,0.003205713290725092
tyreLife,0.005677746449802623,0.0014227092010667803
positions_lost,0.005627450564569958,0.0006151039655161525
speedTrap,0.004483006610400364,0.00196322971579926
gap_to_physical_car,0.004460481028036212,0.0015320607930343053
gapAhead_trend,0.004279190796031063,0.0007035472905445554
gapAhead,0.0040694246347561915,0.0020389761351683076
pace_drop_ratio,0.003990737362390129,0.00125877443399612
lapTime_vs_driver_prev_mean_pct,0.0032390180615578636,0.0036953556146532645
lapTime_vs_team_prev_lapbucket_mean_pct,0.00297879702355599,0.0015303138928226708
has_drop_zone_data,0.002324611730938564,0.0005395565546421986
pace_trend,0.0006384327525192024,0.0007813426629888105
