protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.39964744407527836,0.399582232879561,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.390786919971153,0.39153215738143043,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.2580763743715438,0.2578903550950198,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.2261667827641495,0.2279712270865002,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.41344477747603725,0.4132903328289332,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.3959807084336619,0.3971670298870069,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.46345917583916707,0.46331275716976206,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.452584885868806,0.4537710089457834,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.3799481819031137,0.37989051325576534,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.36947413507125965,0.37018654180728655,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.08054938606351884,0.07988666387862531,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.07504857650037706,0.07695344708288644,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.2580763743715438,0.2578903550950198,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.2261667827641495,0.2279712270865002,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.41344477747603725,0.4132903328289332,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.3959807084336619,0.3971670298870069,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.46345917583916707,0.46331275716976206,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.452584885868806,0.4537710089457834,0.08808848980410845,39869,3512
