feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
race_progress_pct,0.81767243,-0.49849853,1.2215555,0.5062656864626761
tire_life_ratio,0.4312215,-0.10176066,0.48952666,0.46841722222222226
humidity,0.26590565,-0.118168324,0.4077859,53.9804
trackTemp,0.22538106,-0.13539006,0.39961788,35.25468000000001
airTemp,0.19032861,-0.11893083,0.23067589,24.01612
speedTrap,0.17905337,-0.08704537,0.2430635,299.44184184184184
lapTime_vs_race_prev_lapbucket_mean_pct,0.15590887,-0.0863811,0.25129074,0.9511877960412385
lapTime_vs_driver_prev_mean_pct,0.15306735,-0.08064347,0.16022892,0.9708064035375396
position,0.14708205,-0.0776883,0.1839553,10.4174
pitLoss,0.09596459,-0.056860182,0.11018815,22.5492
gapBehind,0.09061614,-0.068965875,0.097619005,124.8002632
pace_drop_ratio,0.08946088,-0.051059674,0.108635776,1.0107851006479505
tyreLife,0.087509915,-0.04059239,0.100219175,14.9222
gapAhead_trend,0.08597408,-0.0467152,0.093514755,1.6023842
gap_to_physical_car,0.085113384,-0.04848308,0.10765912,628.3779562
lapTime_vs_team_prev_lapbucket_mean_pct,0.08212572,-0.03588929,0.11499299,0.9653534266006994
gapAhead,0.07893025,-0.061027486,0.094178736,105.18133800000001
pace_trend,0.07799453,-0.040575475,0.15801439,0.0011783398445838274
positions_lost,0.05502005,-0.026614856,0.1481384,2.0724
has_drop_zone_data,0.0033163892,-0.0006445322,0.0043824804,0.3878
