threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,28577,3914,24663,3281,633,0.8382728666326009,0.1369632921580292,0.11481261154074955,1,0.12335410740069541,5.781388478581979,23910,0.9694684344970198,2654,4015,8737,4929,223,433,93
0.075,18850,3349,15501,2846,503,0.8498059122126008,0.1776657824933687,0.1509814323607427,1,0.1348871529806953,4.946824224519941,14973,0.9659376814399071,1929,2721,5054,3667,170,292,64
0.1,13635,2951,10684,2538,413,0.8600474415452389,0.21642830949761643,0.18613861386138614,1,0.14512868231333342,4.358936484490399,10289,0.9630288281542494,1431,1910,3191,2882,127,218,49
0.125,11236,2707,8529,2359,348,0.8714444033985962,0.24092203631185474,0.2099501601993592,1,0.15652564416669068,3.998522895125554,8217,0.9634189236721773,1190,1531,2376,2506,101,168,43
0.15,9176,2425,6751,2129,296,0.8779381443298969,0.26427637314734087,0.23201830863121187,1,0.1630193850979914,3.5819793205317576,6503,0.9632647015256999,965,1217,1771,2136,76,139,33
0.175,7623,2195,5428,1945,250,0.8861047835990888,0.28794437885346974,0.2551488915125279,1,0.17118602436718333,3.242245199409158,5229,0.9633382461311717,805,963,1384,1823,64,109,26
0.2,6493,2019,4474,1794,225,0.888558692421991,0.31095025411982136,0.2762975512089943,1,0.17363993319008553,2.982274741506647,4302,0.9615556548949485,708,798,1046,1580,55,93,24
0.22499999999999998,5745,1877,3868,1684,193,0.8971763452317528,0.3267188859878155,0.29312445604873805,1,0.18225758599984732,2.772525849335303,3716,0.9607032057911065,609,674,878,1435,49,83,20
0.25,5369,1805,3564,1626,179,0.900831024930748,0.33618923449431926,0.3028496926802012,1,0.18591226569884245,2.666174298375185,3425,0.9609988776655444,555,619,792,1354,48,74,17
0.27499999999999997,4612,1629,2983,1485,144,0.9116022099447514,0.35320901994796183,0.3219861231569818,1,0.19668345071284588,2.4062038404726738,2864,0.9601072745558162,463,517,599,1199,39,64,16
0.3,4149,1519,2630,1388,131,0.9137590520079,0.3661123162207761,0.33453844299831287,1,0.19884029277599446,2.243722304283604,2524,0.9596958174904943,418,462,510,1071,34,56,16
