threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2023,4701,610,501,109,0.8213114754098361,0.129759625611572,0.10657306955966815
0.05,2024,8718,1252,1065,187,0.8506389776357828,0.14361091993576508,0.12216104611149346
0.05,2025,11374,1829,1571,258,0.8589393110989612,0.16080534552488132,0.13812203270617196
0.075,2023,2152,415,349,66,0.8409638554216867,0.1928438661710037,0.1621747211895911
0.075,2024,5942,1087,939,148,0.8638454461821528,0.18293503870750588,0.1580276001346348
0.075,2025,8264,1674,1445,229,0.8632019115890084,0.20256534365924492,0.17485479186834463
0.1,2023,1144,304,255,49,0.8388157894736842,0.26573426573426573,0.2229020979020979
0.1,2024,4150,947,830,117,0.8764519535374868,0.22819277108433736,0.2
0.1,2025,6863,1565,1369,196,0.8747603833865815,0.2280343872941862,0.19947544805478654
0.125,2023,854,249,212,37,0.8514056224899599,0.29156908665105385,0.24824355971896955
0.125,2024,3534,886,784,102,0.8848758465011287,0.2507074136955291,0.22184493491794002
0.125,2025,6109,1479,1302,177,0.8803245436105477,0.24210181699132427,0.21312817155017189
0.15,2023,548,179,154,25,0.8603351955307262,0.3266423357664234,0.28102189781021897
0.15,2024,2906,814,725,89,0.8906633906633906,0.28011011699931176,0.2494838265657261
0.15,2025,5293,1372,1214,158,0.8848396501457726,0.2592102777252976,0.22935953145664084
0.175,2023,438,154,132,22,0.8571428571428571,0.3515981735159817,0.3013698630136986
0.175,2024,2412,740,662,78,0.8945945945945946,0.3067993366500829,0.2744610281923715
0.175,2025,4522,1269,1133,136,0.8928289992119779,0.28062804068996017,0.25055285272003536
0.2,2023,306,123,108,15,0.8780487804878049,0.4019607843137255,0.35294117647058826
0.2,2024,2147,699,624,75,0.8927038626609443,0.3255705635770843,0.29063809967396365
0.2,2025,3858,1169,1046,123,0.894781864841745,0.30300673924313115,0.2711249351995853
0.22499999999999998,2023,299,121,106,15,0.8760330578512396,0.40468227424749165,0.35451505016722407
0.22499999999999998,2024,1989,670,601,69,0.8970149253731343,0.3368526897938663,0.3021618903971845
0.22499999999999998,2025,3352,1062,963,99,0.9067796610169492,0.3168257756563246,0.28729116945107397
0.25,2023,271,115,100,15,0.8695652173913043,0.42435424354243545,0.36900369003690037
0.25,2024,1822,636,573,63,0.9009433962264151,0.34906695938529086,0.31448957189901205
0.25,2025,3171,1030,939,91,0.9116504854368932,0.3248186691895301,0.2961210974456008
0.27499999999999997,2023,159,77,69,8,0.8961038961038961,0.48427672955974843,0.4339622641509434
0.27499999999999997,2024,1585,580,528,52,0.9103448275862069,0.3659305993690852,0.3331230283911672
0.27499999999999997,2025,2806,957,879,78,0.9184952978056427,0.34105488239486814,0.3132573057733428
0.3,2023,134,66,58,8,0.8787878787878788,0.4925373134328358,0.43283582089552236
0.3,2024,1463,543,495,48,0.9116022099447514,0.37115516062884485,0.3383458646616541
0.3,2025,2491,896,826,70,0.921875,0.3596949016459253,0.3315937374548374
0.32499999999999996,2023,129,64,56,8,0.875,0.49612403100775193,0.43410852713178294
0.32499999999999996,2024,1205,479,435,44,0.9081419624217119,0.3975103734439834,0.36099585062240663
0.32499999999999996,2025,2040,794,734,60,0.924433249370277,0.3892156862745098,0.35980392156862745
0.35,2023,102,55,48,7,0.8727272727272727,0.5392156862745098,0.47058823529411764
0.35,2024,1014,422,388,34,0.919431279620853,0.4161735700197239,0.3826429980276134
0.35,2025,1782,729,674,55,0.9245541838134431,0.4090909090909091,0.3782267115600449
0.37499999999999994,2023,95,52,45,7,0.8653846153846154,0.5473684210526316,0.47368421052631576
0.37499999999999994,2024,852,373,344,29,0.9222520107238605,0.43779342723004694,0.40375586854460094
0.37499999999999994,2025,1652,692,642,50,0.9277456647398844,0.4188861985472155,0.38861985472154964
0.39999999999999997,2023,91,49,42,7,0.8571428571428571,0.5384615384615384,0.46153846153846156
0.39999999999999997,2024,744,341,314,27,0.9208211143695014,0.4583333333333333,0.4220430107526882
0.39999999999999997,2025,1393,627,585,42,0.9330143540669856,0.4501076812634602,0.41995692749461594
0.42499999999999993,2023,91,49,42,7,0.8571428571428571,0.5384615384615384,0.46153846153846156
0.42499999999999993,2024,662,310,286,24,0.9225806451612903,0.46827794561933533,0.43202416918429004
0.42499999999999993,2025,1224,562,526,36,0.9359430604982206,0.4591503267973856,0.4297385620915033
0.44999999999999996,2023,84,47,41,6,0.8723404255319149,0.5595238095238095,0.4880952380952381
0.44999999999999996,2024,543,267,250,17,0.9363295880149812,0.49171270718232046,0.4604051565377532
0.44999999999999996,2025,1046,519,485,34,0.9344894026974951,0.4961759082217973,0.46367112810707456
0.475,2023,69,40,35,5,0.875,0.5797101449275363,0.5072463768115942
0.475,2024,391,216,202,14,0.9351851851851852,0.5524296675191815,0.5166240409207161
0.475,2025,834,441,416,25,0.9433106575963719,0.5287769784172662,0.4988009592326139
0.49999999999999994,2023,57,34,30,4,0.8823529411764706,0.5964912280701754,0.5263157894736842
0.49999999999999994,2024,331,194,185,9,0.9536082474226805,0.5861027190332326,0.5589123867069486
0.49999999999999994,2025,738,406,384,22,0.9458128078817734,0.5501355013550135,0.5203252032520326
0.525,2023,53,32,28,4,0.875,0.6037735849056604,0.5283018867924528
0.525,2024,267,158,149,9,0.9430379746835443,0.5917602996254682,0.5580524344569289
0.525,2025,641,363,342,21,0.9421487603305785,0.5663026521060842,0.5335413416536662
0.5499999999999999,2023,52,32,28,4,0.875,0.6153846153846154,0.5384615384615384
0.5499999999999999,2024,200,128,121,7,0.9453125,0.64,0.605
0.5499999999999999,2025,543,311,297,14,0.954983922829582,0.572744014732965,0.5469613259668509
0.575,2023,50,30,26,4,0.8666666666666667,0.6,0.52
0.575,2024,179,116,110,6,0.9482758620689655,0.6480446927374302,0.6145251396648045
0.575,2025,389,241,232,9,0.9626556016597511,0.6195372750642674,0.596401028277635
0.6,2023,37,25,21,4,0.84,0.6756756756756757,0.5675675675675675
0.6,2024,163,108,103,5,0.9537037037037037,0.6625766871165644,0.6319018404907976
0.6,2025,379,231,222,9,0.961038961038961,0.6094986807387863,0.5857519788918206
0.625,2023,28,19,17,2,0.8947368421052632,0.6785714285714286,0.6071428571428571
0.625,2024,111,74,70,4,0.9459459459459459,0.6666666666666666,0.6306306306306306
0.625,2025,343,216,209,7,0.9675925925925926,0.6297376093294461,0.60932944606414
0.65,2023,26,17,15,2,0.8823529411764706,0.6538461538461539,0.5769230769230769
0.65,2024,102,68,64,4,0.9411764705882353,0.6666666666666666,0.6274509803921569
0.65,2025,274,177,170,7,0.96045197740113,0.6459854014598541,0.6204379562043796
0.675,2023,23,15,13,2,0.8666666666666667,0.6521739130434783,0.5652173913043478
0.675,2024,70,47,45,2,0.9574468085106383,0.6714285714285714,0.6428571428571429
0.675,2025,225,147,141,6,0.9591836734693877,0.6533333333333333,0.6266666666666667
0.7,2023,23,15,13,2,0.8666666666666667,0.6521739130434783,0.5652173913043478
0.7,2024,70,47,45,2,0.9574468085106383,0.6714285714285714,0.6428571428571429
0.7,2025,192,127,123,4,0.968503937007874,0.6614583333333334,0.640625
0.725,2023,18,12,11,1,0.9166666666666666,0.6666666666666666,0.6111111111111112
0.725,2024,49,34,32,2,0.9411764705882353,0.6938775510204082,0.6530612244897959
0.725,2025,154,109,105,4,0.963302752293578,0.7077922077922078,0.6818181818181818
0.75,2023,18,12,11,1,0.9166666666666666,0.6666666666666666,0.6111111111111112
0.75,2024,48,33,31,2,0.9393939393939394,0.6875,0.6458333333333334
0.75,2025,123,87,84,3,0.9655172413793104,0.7073170731707317,0.6829268292682927
0.775,2023,15,10,9,1,0.9,0.6666666666666666,0.6
0.775,2024,41,30,28,2,0.9333333333333333,0.7317073170731707,0.6829268292682927
0.775,2025,85,62,59,3,0.9516129032258065,0.7294117647058823,0.6941176470588235
0.7999999999999999,2023,13,10,9,1,0.9,0.7692307692307693,0.6923076923076923
0.7999999999999999,2024,41,30,28,2,0.9333333333333333,0.7317073170731707,0.6829268292682927
0.7999999999999999,2025,83,61,58,3,0.9508196721311475,0.7349397590361446,0.6987951807228916
0.825,2023,12,10,9,1,0.9,0.8333333333333334,0.75
0.825,2024,37,27,25,2,0.9259259259259259,0.7297297297297297,0.6756756756756757
0.825,2025,62,48,46,2,0.9583333333333334,0.7741935483870968,0.7419354838709677
0.85,2023,12,10,9,1,0.9,0.8333333333333334,0.75
0.85,2024,37,27,25,2,0.9259259259259259,0.7297297297297297,0.6756756756756757
0.85,2025,37,31,30,1,0.967741935483871,0.8378378378378378,0.8108108108108109
0.875,2023,12,10,9,1,0.9,0.8333333333333334,0.75
