bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2466,0.03357430299929054,0.0036496350364963502,0.0,0.05459772508129542
1,2465,0.07325788234290548,0.006085192697768763,0.05459772508129542,0.09238756142000425
2,2466,0.11394019061779523,0.010543390105433901,0.09238756142000425,0.13897530594051757
3,2465,0.17025850101594026,0.020689655172413793,0.13897530594051757,0.2055552124162445
4,2465,0.24714447428740494,0.038539553752535496,0.2055552124162445,0.2906085650838378
5,2466,0.33493831929465406,0.03933495539334955,0.2906085650838378,0.37622074205217865
6,2465,0.4205690432991756,0.06125760649087221,0.37622074205217865,0.46382200100963394
7,2466,0.510488781738924,0.09245742092457421,0.46382200100963394,0.5584269696139939
8,2465,0.6080979947176078,0.15862068965517243,0.5584269696139939,0.6579911484213369
9,2466,0.7151795797953265,0.25141930251419303,0.6579911484213369,1.0
