fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.9900000000000001,0.99,0.99,0.0032948929159802307,1.0,0.031007751937984496,0.06015037593984962,0,0.0272108843537414
2,957,60,0.06269592476489028,0.33,0.33,0.33,0.0020898641588296763,1.0,0.03333333333333333,0.06451612903225806,0,0.05
3,1206,27,0.022388059701492536,0.12,0.12,0.12,0.0041459369817578775,1.0,0.18518518518518517,0.3125,0,0.019047619047619
4,1110,57,0.051351351351351354,0.8499999999999999,0.85,0.85,0.0,,0.0,,0,0.044776119402985
5,1316,61,0.04635258358662614,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0610079575596817
6,1717,56,0.032615026208503206,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0300751879699248
7,1554,105,0.06756756756756757,0.8699999999999999,0.87,0.87,0.0,,0.0,,0,0.0639730639730639
8,1487,69,0.04640215198386012,0.75,0.75,0.75,0.0,,0.0,,0,0.0514018691588785
9,1583,111,0.07012002526847758,0.99,0.99,0.99,0.0012634238787113076,1.0,0.018018018018018018,0.035398230088495575,0,0.0772058823529411
10,1146,60,0.05235602094240838,0.99,0.99,0.99,0.002617801047120419,0.6666666666666666,0.03333333333333333,0.06349206349206349,0,0.1139896373056994
11,1553,101,0.06503541532517708,0.99,0.99,0.99,0.0,,0.0,,0,0.0305206463195691
12,938,83,0.08848614072494669,0.75,0.75,0.75,0.010660980810234541,0.4,0.04819277108433735,0.08602150537634409,0,0.0972222222222222
13,1596,110,0.06892230576441102,0.99,0.99,0.99,0.0,,0.0,,0,0.0619596541786743
14,1168,72,0.06164383561643835,0.65,0.65,0.65,0.0017123287671232876,1.0,0.027777777777777776,0.05405405405405406,0,0.0726172465960665
15,1231,44,0.03574329813160033,0.99,0.99,0.99,0.0,,0.0,,0,0.031578947368421
16,934,38,0.04068522483940043,0.8,0.8,0.8,0.0010706638115631692,1.0,0.02631578947368421,0.05128205128205127,0,0.0430622009569377
17,944,26,0.02754237288135593,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.038130381303813
18,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.007518796992481203,0.5555555555555556,0.05319148936170213,0.0970873786407767,0,0.1704545454545454
19,1579,66,0.04179860671310956,0.75,0.75,0.75,0.0,,0.0,,0,0.0412371134020618
20,1456,78,0.05357142857142857,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.0382978723404255
21,1297,95,0.07324595219737856,0.7999999999999999,0.8,0.8,0.0007710100231303007,1.0,0.010526315789473684,0.020833333333333332,0,0.0823909531502423
22,877,18,0.020524515393386546,0.75,0.75,0.75,0.0,,0.0,,0,0.0690355329949238
23,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.003784295175023652,1.0,0.18181818181818182,0.3076923076923077,0,0.0393063583815028
24,790,18,0.02278481012658228,0.6600000000000001,0.66,0.66,0.0,,0.0,,0,0.0519053876478318
25,1274,195,0.15306122448979592,0.99,0.99,0.99,0.0,,0.0,,0,0.1093333333333333
26,1071,95,0.08870214752567694,0.99,0.99,0.99,0.0,,0.0,,0,0.275
27,1274,85,0.06671899529042387,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.0573183213920163
28,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.1089385474860335
29,835,21,0.025149700598802394,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.140495867768595
30,1322,102,0.07715582450832073,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1243781094527363
31,1409,71,0.050390347764371894,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.1428571428571428
32,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0457727517501346
33,1529,100,0.06540222367560497,0.99,0.99,0.99,0.0,,0.0,,0,0.0895316804407713
34,1557,161,0.10340398201669879,0.99,0.99,0.99,0.002569043031470777,1.0,0.024844720496894408,0.04848484848484848,0,0.24
35,1649,184,0.11158277744087326,0.8200000000000002,0.8200000000000001,0.8200000000000001,0.02607640994542147,0.8837209302325582,0.20652173913043478,0.33480176211453744,0,0.2167300380228136
36,1205,93,0.07717842323651453,0.99,0.99,0.99,0.0008298755186721991,1.0,0.010752688172043012,0.021276595744680854,0,0.1335403726708074
37,1562,157,0.10051216389244558,0.75,0.75,0.75,0.0,,0.0,,0,0.1826923076923076
38,981,133,0.13557594291539246,0.75,0.75,0.75,0.007135575942915392,1.0,0.05263157894736842,0.1,0,0.1987315010570824
39,1684,153,0.09085510688836104,0.78,0.78,0.78,0.004156769596199525,0.8571428571428571,0.0392156862745098,0.075,0,0.125
40,1269,124,0.09771473601260836,0.75,0.75,0.75,0.0015760441292356187,1.0,0.016129032258064516,0.031746031746031744,0,0.1521739130434782
41,1237,95,0.07679870654810024,0.79,0.79,0.79,0.0,,0.0,,0,0.1170431211498973
42,1416,81,0.057203389830508475,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0674915635545556
