scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,62240,0.5054861161870884,0.025644766948150474,0.0193926735218509,0.006252093426299576
overall,raw,1,0.1,0.2,14461,0.11744593069057654,0.14577644167022416,0.03678860383099371,0.10898783783923045
overall,raw,2,0.2,0.30000000000000004,9697,0.07875480187445687,0.24800200537085298,0.041971743838300504,0.2060302615325525
overall,raw,3,0.30000000000000004,0.4,7726,0.0627472000909615,0.34824110569884176,0.05280869790318406,0.2954324077956577
overall,raw,4,0.4,0.5,6764,0.05493425594295414,0.44929434916875827,0.05972797161442933,0.38956637755432894
overall,raw,5,0.5,0.6000000000000001,6033,0.048997392978096146,0.5489197224798475,0.08552958727001492,0.46339013520983263
overall,raw,6,0.6000000000000001,0.7000000000000001,5309,0.04311738095818207,0.6497411337988281,0.1329817291391976,0.5167594046596306
overall,raw,7,0.7000000000000001,0.8,4786,0.03886980321451486,0.7495509440984578,0.22837442540743835,0.5211765186910194
overall,raw,8,0.8,0.9,4410,0.035816095314669984,0.8497224486198555,0.4061224489795918,0.44359999964026364
overall,raw,9,0.9,1.0,1703,0.013831022748499542,0.9275717909589488,0.6970052847915443,0.23056650616740448
overall,calibrated,0,0.0,0.1,109644,0.8904807153473187,0.025959284335868662,0.03546933712743059,0.009510052791561929
overall,calibrated,1,0.1,0.2,6957,0.056501717710693664,0.139278672801806,0.1977864021848498,0.0585077293830438
overall,calibrated,2,0.2,0.30000000000000004,2672,0.021700817841450837,0.24242049232620055,0.31773952095808383,0.07531902863188328
overall,calibrated,3,0.30000000000000004,0.4,1449,0.011768145603391565,0.3535644548758549,0.4354727398205659,0.08190828494471097
overall,calibrated,4,0.4,0.5,1141,0.009266704025859059,0.4437618930893982,0.5100788781770377,0.0663169850876395
overall,calibrated,5,0.5,0.6000000000000001,663,0.005384596642545623,0.5384488513827599,0.6817496229260935,0.14330077154333365
overall,calibrated,6,0.6000000000000001,0.7000000000000001,335,0.0027207237937447717,0.652582995384621,0.7850746268656716,0.1324916314810507
overall,calibrated,7,0.7000000000000001,0.8,87,0.000706576030017299,0.7388610318822557,0.7241379310344828,0.014723100847772952
overall,calibrated,8,0.8,0.9,62,0.0005035369409318682,0.8296627435555587,0.8225806451612904,0.007082098394268321
overall,calibrated,9,0.9,1.0,119,0.0009664660640466503,0.9961263649844964,0.7983193277310925,0.19780703725340387
