model,subtype,count,rate_within_no_match
SDE,far_miss_6_plus,1718,0.35255489431561665
SDE,near_miss_3_5,1236,0.25364252000820847
SDE,no_future,1622,0.3328545044120665
SDE,unexpected_within_horizon,297,0.060948081264108354
Batch,far_miss_6_plus,1,0.02040816326530612
Batch,near_miss_3_5,6,0.12244897959183673
Batch,unexpected_within_horizon,42,0.8571428571428571
MOA,far_miss_6_plus,2580,0.4161290322580645
MOA,near_miss_3_5,1715,0.27661290322580645
MOA,no_future,1112,0.17935483870967742
MOA,unexpected_within_horizon,793,0.1279032258064516
