model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
Batch,excluded_no_match,unexpected_within_horizon,2024 :: Spanish Grand Prix,STR,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,near_miss_3_5,2022 :: Bahrain Grand Prix,SAI,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2022 :: Saudi Arabian Grand Prix,RIC,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,21.0,,,
MOA,excluded_no_match,no_future,2024 :: Belgian Grand Prix,RUS,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Qatar Grand Prix,SAI,31,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Abu Dhabi Grand Prix,MSC,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Dutch Grand Prix,HAM,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,14.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Italian Grand Prix,SAI,15,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,no_future,2025 :: Japanese Grand Prix,BOR,33,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,no_future,2025 :: Monaco Grand Prix,BOR,59,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Monaco Grand Prix,MAG,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Qatar Grand Prix,ANT,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
MOA,excluded_no_match,no_future,2025 :: Singapore Grand Prix,ZHO,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: United States Grand Prix,BOT,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,no_future,2022 :: Australian Grand Prix,RUS,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2022 :: French Grand Prix,ALB,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: French Grand Prix,SAI,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
SDE,excluded_no_match,no_future,2022 :: Monaco Grand Prix,SAI,52,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Bahrain Grand Prix,STR,35,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,near_miss_3_5,2023 :: Saudi Arabian Grand Prix,STR,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,scored_fp,fp_scored,2023 :: Spanish Grand Prix,RIC,10,0,nan,1.0,,,
SDE,excluded_no_match,far_miss_6_plus,2024 :: Australian Grand Prix,ALB,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,no_future,2024 :: Hungarian Grand Prix,ALB,63,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2024 :: Japanese Grand Prix,ZHO,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2024 :: Spanish Grand Prix,BOT,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,unexpected_within_horizon,2025 :: Australian Grand Prix,NOR,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Austrian Grand Prix,STR,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2025 :: Azerbaijan Grand Prix,NOR,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Mexico City Grand Prix,GAS,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,10.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Mexico City Grand Prix,ZHO,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
