race,driver,suggestion_lap,suggestion_label,totalScore,matched_pit_lap,match_distance,nearest_future_pit_lap,nearest_future_pit_distance,pit_in_window_before_consumption,outcome_class,exclusion_reason
2023 :: Abu Dhabi Grand Prix,HAM,17,PIT_NOW,0.8571428571428571,18.0,1.0,18,1,True,1,
2023 :: Australian Grand Prix,ALB,55,PIT_NOW,0.125,57.0,2.0,57,2,True,1,
2023 :: Australian Grand Prix,ALB,56,PIT_NOW,0.125,,,57,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Australian Grand Prix,LEC,20,PIT_NOW,0.125,22.0,2.0,22,2,True,1,
2023 :: Australian Grand Prix,NOR,19,PIT_NOW,0.125,20.0,1.0,20,1,True,1,
2023 :: Australian Grand Prix,RIC,20,PIT_NOW,0.125,21.0,1.0,21,1,True,1,
2023 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44,2,True,1,
2023 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Bahrain Grand Prix,LAT,13,PIT_NOW,1.0,14.0,1.0,14,1,True,1,
2023 :: Bahrain Grand Prix,MSC,11,PIT_NOW,1.0,12.0,1.0,12,1,True,1,
2023 :: Bahrain Grand Prix,RIC,32,PIT_NOW,1.0,33.0,1.0,33,1,True,1,
2023 :: Bahrain Grand Prix,RIC,43,PIT_NOW,1.0,44.0,1.0,44,1,True,1,
2023 :: Belgian Grand Prix,HAM,11,PIT_NOW,0.8888888888888888,12.0,1.0,12,1,True,0,
2023 :: Belgian Grand Prix,LAT,13,PIT_NOW,1.0,15.0,2.0,15,2,True,1,
2023 :: Belgian Grand Prix,LAT,14,PIT_NOW,0.8888888888888888,,,15,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,LAT,32,PIT_NOW,1.0,34.0,2.0,34,2,True,1,
2023 :: Belgian Grand Prix,LAT,33,PIT_NOW,0.8,,,34,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,11,PIT_NOW,1.0,,,14,3,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,12,PIT_NOW,1.0,14.0,2.0,14,2,True,0,
2023 :: Belgian Grand Prix,VET,13,PIT_NOW,0.8888888888888888,,,14,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,30,PIT_NOW,1.0,,,33,3,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Belgian Grand Prix,VET,32,PIT_NOW,0.75,33.0,1.0,33,1,True,0,
2023 :: British Grand Prix,MSC,17,PIT_NOW,1.0,19.0,2.0,19,2,True,1,
2023 :: British Grand Prix,RUS,27,PIT_NOW,1.0,28.0,1.0,28,1,True,1,
2023 :: British Grand Prix,RUS,28,PIT_NOW,1.0,,,28,0,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Emilia Romagna Grand Prix,MAG,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2023 :: Emilia Romagna Grand Prix,PER,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2023 :: Emilia Romagna Grand Prix,TSU,17,PIT_NOW,1.0,18.0,1.0,18,1,True,1,
2023 :: Emilia Romagna Grand Prix,VET,16,PIT_NOW,1.0,17.0,1.0,17,1,True,1,
2023 :: Italian Grand Prix,MSC,31,PIT_NOW,0.6571428571428571,33.0,2.0,33,2,True,1,
2023 :: Italian Grand Prix,MSC,32,PIT_NOW,0.6571428571428571,,,33,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: Japanese Grand Prix,SAI,17,PIT_NOW,0.8655950153113304,18.0,1.0,18,1,True,1,
2023 :: Saudi Arabian Grand Prix,OCO,15,PIT_NOW,0.3333333333333333,16.0,1.0,16,1,True,1,
2023 :: Saudi Arabian Grand Prix,RIC,35,PIT_NOW,0.3333333333333333,36.0,1.0,36,1,True,1,
2023 :: United States Grand Prix,MSC,17,PIT_NOW,1.0,18.0,1.0,18,1,True,1,
2023 :: United States Grand Prix,PER,17,PIT_NOW,1.0,17.0,0.0,17,0,True,1,
2023 :: United States Grand Prix,PER,36,PIT_NOW,1.0,37.0,1.0,37,1,True,1,
2023 :: United States Grand Prix,PER,37,PIT_NOW,1.0,38.0,1.0,37,0,True,EXCLUDED,UNRESOLVED_MISSING_POST_GAP
2023 :: United States Grand Prix,SAI,17,PIT_NOW,1.0,17.0,0.0,17,0,True,1,
2023 :: United States Grand Prix,VET,12,PIT_NOW,1.0,,,18,6,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: United States Grand Prix,VET,16,PIT_NOW,1.0,18.0,2.0,18,2,True,1,
2023 :: United States Grand Prix,VET,17,PIT_NOW,1.0,,,18,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2023 :: United States Grand Prix,VET,40,PIT_NOW,1.0,41.0,1.0,41,1,True,1,
2024 :: Austrian Grand Prix,ALB,12,PIT_NOW,1.0,12.0,0.0,12,0,True,1,
2024 :: Austrian Grand Prix,ALB,13,PIT_NOW,1.0,14.0,1.0,14,1,True,1,
2024 :: Austrian Grand Prix,ALB,40,PIT_NOW,0.8275862068965517,41.0,1.0,41,1,True,1,
2024 :: Austrian Grand Prix,ALO,42,PIT_NOW,1.0,44.0,2.0,44,2,True,1,
2024 :: Austrian Grand Prix,ALO,43,PIT_NOW,1.0,,,44,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,BOT,39,PIT_NOW,0.8275862068965517,39.0,0.0,39,0,True,1,
2024 :: Austrian Grand Prix,GAS,12,PIT_NOW,1.0,12.0,0.0,12,0,True,1,
2024 :: Austrian Grand Prix,GAS,40,PIT_NOW,0.8275862068965517,40.0,0.0,40,0,True,1,
2024 :: Austrian Grand Prix,GAS,42,PIT_NOW,0.8275862068965517,42.0,0.0,42,0,True,1,
2024 :: Austrian Grand Prix,GAS,43,PIT_NOW,0.8275862068965517,44.0,1.0,44,1,True,0,
2024 :: Austrian Grand Prix,HAM,13,PIT_NOW,0.8275862068965517,14.0,1.0,14,1,True,1,
2024 :: Austrian Grand Prix,HAM,40,PIT_NOW,0.8275862068965517,42.0,2.0,42,2,True,1,
2024 :: Austrian Grand Prix,HAM,41,PIT_NOW,0.8275862068965517,,,42,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,LAT,11,PIT_NOW,0.8275862068965517,12.0,1.0,12,1,True,1,
2024 :: Austrian Grand Prix,LEC,13,PIT_NOW,0.8275862068965517,15.0,2.0,15,2,True,1,
2024 :: Austrian Grand Prix,LEC,45,PIT_NOW,1.0,47.0,2.0,47,2,True,1,
2024 :: Austrian Grand Prix,LEC,46,PIT_NOW,1.0,,,47,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,LEC,47,PIT_NOW,1.0,49.0,2.0,47,0,True,1,
2024 :: Austrian Grand Prix,MAG,33,PIT_NOW,0.8275862068965517,34.0,1.0,34,1,True,1,
2024 :: Austrian Grand Prix,MSC,14,PIT_NOW,0.8275862068965517,16.0,2.0,16,2,True,1,
2024 :: Austrian Grand Prix,MSC,15,PIT_NOW,0.8275862068965517,,,16,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,MSC,42,PIT_NOW,0.8275862068965517,43.0,1.0,43,1,True,1,
2024 :: Austrian Grand Prix,NOR,13,PIT_NOW,1.0,14.0,1.0,14,1,True,1,
2024 :: Austrian Grand Prix,NOR,39,PIT_NOW,0.8275862068965517,41.0,2.0,41,2,True,1,
2024 :: Austrian Grand Prix,NOR,40,PIT_NOW,0.8275862068965517,,,41,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,PER,48,PIT_NOW,0.8275862068965517,50.0,2.0,50,2,True,1,
2024 :: Austrian Grand Prix,PIA,11,PIT_NOW,0.8275862068965517,,,14,3,False,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,PIA,13,PIT_NOW,0.8275862068965517,14.0,1.0,14,1,True,0,
2024 :: Austrian Grand Prix,RIC,11,PIT_NOW,0.8275862068965517,12.0,1.0,12,1,True,1,
2024 :: Austrian Grand Prix,RIC,42,PIT_NOW,1.0,44.0,2.0,44,2,True,1,
2024 :: Austrian Grand Prix,RIC,43,PIT_NOW,1.0,,,44,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,RUS,12,PIT_NOW,0.8275862068965517,14.0,2.0,14,2,True,1,
2024 :: Austrian Grand Prix,RUS,13,PIT_NOW,1.0,,,14,1,True,EXCLUDED,NO_MATCH_WITHIN_HORIZON
2024 :: Austrian Grand Prix,RUS,40,PIT_NOW,0.8275862068965517,40.0,0.0,40,0,True,1,
2024 :: Austrian Grand Prix,SAI,13,PIT_NOW,0.8275862068965517,15.0,2.0,15,2,True,1,
2024 :: Austrian Grand Prix,SAI,43,PIT_NOW,1.0,45.0,2.0,45,2,True,1,
