learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.244382957,-6.322204575149549E-14,1000.0,86.1,21.798081521280498,-195.7446808510636,-208.88888888888863,1000.0,-1.0,42.0,20.0,2193.047619047619,3518.105414139007,-5.595238095238097,5.355915461406469,1.4523809523809528,1.5334065528142578,1.2142857142857144,0.7819835406450196,1.2142857142857144,0.7819835406450196,0.21428571428571427,0.6452722732461151,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.352103073,-9.108931679899494E-14,2000.0,87.8,17.760108934150757,-234.24657534246597,-243.66197183098612,2000.0,-1.0,42.0,45.0,6397.357142857141,13967.69414743061,-10.166666666666666,14.10226874441972,2.761904761904762,4.029219641262777,1.880952380952381,2.0146098206313887,1.880952380952381,2.0146098206313887,0.7142857142857143,1.3843324407887758,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.483906552,-1.2518697107831639E-13,3000.0,91.26666666666667,19.116829873674117,-194.38202247191072,-201.1494252873562,3000.0,-1.0,42.0,68.0,11419.571428571431,23906.15038951259,-14.833333333333334,20.63848721373601,4.095238095238096,5.896710632496003,2.5476190476190474,2.9483553162480014,2.5476190476190474,2.9483553162480014,1.1666666666666665,1.7931667949389274,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.605725534,-1.5670162884311546E-13,4000.0,91.8,20.0324746170153,-175.6302521008397,-180.34188034188023,4000.0,-1.0,42.0,92.0,20140.166666666664,42748.66314493193,-19.333333333333332,28.850892252057605,5.380952380952382,8.243112072016457,3.1904761904761907,4.121556036008229,3.1904761904761907,4.121556036008229,1.452380952380952,2.0859855359550563,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.706561334,-1.82787922417952E-13,5000.0,91.36,17.836669950663875,-197.93103448275846,-204.22535211267638,5000.0,-1.0,42.0,117.0,29830.333333333336,54788.72935312591,-27.261904761904756,36.852414636982395,7.642857142857142,10.531767110361821,4.309523809523809,5.275290283253616,4.309523809523809,5.275290283253616,1.9761904761904758,2.363214999437339,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.827028736,-2.1395292547014028E-13,6000.0,90.35,16.801180206631944,-212.97297297297263,-218.13186813186834,6000.0,-1.0,42.0,142.0,42665.595238095244,81271.94786012275,-35.99999999999999,48.59940780528493,10.14285714285714,13.885545087224267,5.57142857142857,6.942772543612134,5.57142857142857,6.942772543612134,2.4761904761904763,2.8732415215019245,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.921338003,-2.383508002902899E-13,7000.0,90.9,16.182193857295825,-226.6666666666672,-231.77083333333272,7000.0,-1.0,42.0,169.0,57844.59523809523,115674.15938960054,-43.59523809523809,58.119330365525116,12.30952380952381,16.608091027345374,6.642857142857142,8.313437340722457,6.642857142857142,8.313437340722457,2.857142857142856,3.032920419624789,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.052133199,-2.721876110364166E-13,8000.0,91.4875,16.043633270330133,-199.9999999999996,-205.3811659192827,8000.0,-1.0,42.0,198.0,76686.9761904762,135600.76344818683,-55.76190476190476,71.8089638822645,15.785714285714286,20.519515653350194,8.38095238095238,10.269425093634728,8.38095238095238,10.269425093634728,3.3809523809523814,3.1464450009524367,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.160383081,-3.001919329269893E-13,9000.0,91.93333333333334,15.735227549705657,-184.7058823529413,-191.56626506024148,9000.0,-1.0,42.0,226.0,96540.92857142858,183342.2025210984,-66.76190476190476,84.51664853276083,18.928571428571427,24.150334903644467,9.95238095238095,12.084968250162397,9.95238095238095,12.084968250162397,3.785714285714285,3.367967573316717,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.227303618,-3.175043237085144E-13,10000.0,92.19000000000001,16.151110514661507,-177.9359430604979,-184.0000000000001,10000.0,-1.0,42.0,249.0,111088.49999999997,230594.76896582553,-71.42857142857143,94.6884861409533,20.261904761904756,27.056453649513447,10.61904761904762,13.537576215946308,10.61904761904762,13.537576215946308,3.880952380952381,3.3727920036842094,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.31830767,-3.410471370443702E-13,11000.0,92.5090909090909,17.847860473328204,-163.25878594249258,-168.40390879478858,11000.0,-1.0,42.0,271.0,128884.2380952381,280751.4403831443,-79.59523809523807,110.84114308848245,22.59523809523809,31.67137626204728,11.785714285714285,15.8445739181615,11.785714285714285,15.8445739181615,4.1190476190476195,3.5899750726247897,0.0,0.0,0.0,0.0,1.0,0.0
