rank,feature,mean_abs_shap,mean_signed_shap
1,race_progress_pct,0.09022622609199565,-0.032591353786267215
2,gapAhead,0.03274794822757393,-0.01055187281374691
3,tire_life_ratio,0.029570361482745257,-0.008556159992307657
4,gap_to_physical_car,0.025898788943181376,-0.010234820535406414
5,gapBehind,0.023136135742245257,-0.008961497159449662
6,tyreLife,0.02222895026232729,-0.006603845436289854
7,lapTime_vs_driver_prev_mean_pct,0.021654336506278248,-0.010171533282004038
8,lapTime_vs_team_prev_lapbucket_mean_pct,0.01869211579112778,-0.012581242101225198
9,trackTemp,0.017750212220622136,-0.010279792077494635
10,speedTrap,0.017592104035139753,-0.008502400134065745
11,pace_drop_ratio,0.015122583134957584,-0.0069176438671402895
12,airTemp,0.015058166448390082,-0.008873368923850142
13,humidity,0.015017866259160078,-0.009658094957855015
14,position,0.011038546046471346,-0.005912437767845389
15,lapTime,0.009990100212001076,-0.007858517643979424
16,pace_trend,0.006930804569719621,-0.0048647887507308
17,positions_lost,0.006849243206047178,-0.0019055302597071862
18,pitLoss,0.00593639306005598,-0.0034383562138065394
19,gapAhead_trend,0.005617376546157622,-0.005027516828763435
20,has_drop_zone_data,0.0017094411565073545,-0.0001733436102972394
