feature,importance_drop_f1,importance_std
race_progress_pct,0.054924843492550446,0.0030768741197310222
gapAhead,0.015059802410239086,0.0013619134395873884
gap_to_physical_car,0.012539938810561414,0.0014096726530468872
tire_life_ratio,0.01163757079596378,0.0018256254448273702
humidity,0.008495444977236088,0.001520714429415409
trackTemp,0.00801693550989203,0.0019065170037502422
lapTime_vs_team_prev_lapbucket_mean_pct,0.007757702747459105,0.001470558997233531
gapBehind,0.007654174966620353,0.0022183133706514353
speedTrap,0.006375822873812953,0.001607732381132077
position,0.005073640040114924,0.0006563839888887458
airTemp,0.004860402044914813,0.00180538511854361
positions_lost,0.004336054184091065,0.0009259826352095144
lapTime_vs_driver_prev_mean_pct,0.003661595235641313,0.0015144402380839403
tyreLife,0.0035598614670598995,0.0017106965937231339
lapTime,0.001288543044218482,0.0017233835618388627
pitLoss,0.0006668833363888682,0.0007425162895452687
has_drop_zone_data,0.00044419267186754927,0.001128841988910344
pace_trend,0.00039457241707064884,0.000912070084561752
pace_drop_ratio,-0.0005554236548772961,0.0009371699357063495
gapAhead_trend,-0.0008901663820299333,0.0008197797829124149
