feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
race_progress_pct,0.823095,-0.51668036,1.228812,0.5062656864626761
tire_life_ratio,0.40759993,-0.07563622,0.45841464,0.46841722222222226
humidity,0.27544582,-0.11511178,0.42338607,53.9804
trackTemp,0.23295921,-0.13852069,0.42495155,35.25468000000001
airTemp,0.18593214,-0.11751568,0.24252829,24.01612
speedTrap,0.17387132,-0.092095256,0.23719528,299.44184184184184
lapTime_vs_driver_prev_mean_pct,0.17325263,-0.09157127,0.17972706,0.9708064035375396
lapTime,0.13882399,-0.09110382,0.15677883,92.129208
position,0.13500021,-0.07100715,0.17486426,10.4174
gap_to_physical_car,0.10090597,-0.05377829,0.11961647,628.3779562
tyreLife,0.09381831,-0.055011436,0.10730533,14.9222
pace_drop_ratio,0.09287415,-0.056571417,0.11508319,1.0107851006479505
lapTime_vs_team_prev_lapbucket_mean_pct,0.092389256,-0.056494508,0.12058847,0.9653534266006994
gapAhead_trend,0.08786008,-0.046693403,0.09611205,1.6023842
pitLoss,0.08597529,-0.050684255,0.11959795,22.5492
gapAhead,0.083559975,-0.061747704,0.10213872,105.18133800000001
gapBehind,0.08317569,-0.06010988,0.09163896,124.8002632
pace_trend,0.07728248,-0.035803873,0.14691472,0.0011783398445838274
positions_lost,0.045604438,-0.019973796,0.1510707,2.0724
has_drop_zone_data,0.0042692153,3.254674e-05,0.005859653,0.3878
