threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,24964,3715,21249,3149,566,0.8476446837146703,0.1488142925813171,0.12614164396731292,1,0.13272592448276477,5.487444608567208,20592,0.9690808979246082,2429,3591,7043,4703,179,382,93
0.075,15800,3177,12623,2739,438,0.8621340887629839,0.2010759493670886,0.17335443037974685,1,0.1472153295310784,4.692762186115214,12210,0.9672819456547572,1664,2251,3784,3417,107,241,64
0.1,11972,2833,9139,2476,357,0.8739851747264384,0.2366354827931841,0.20681590377547612,1,0.15906641549453293,4.1846381093057605,8827,0.9658605974395448,1299,1628,2518,2791,89,179,43
0.125,10059,2605,7454,2288,317,0.8783109404990403,0.2589720648175763,0.22745799781290388,1,0.16339218126713484,3.847858197932053,7185,0.9639119935605044,1088,1325,1931,2452,81,148,40
0.15,8428,2388,6040,2105,283,0.8814907872696818,0.28334124347413386,0.2497626957759848,1,0.16657202803777627,3.5273264401772524,5818,0.9632450331125828,907,1082,1494,2093,69,121,32
0.175,7355,2205,5150,1952,253,0.8852607709750567,0.29979605710401086,0.2653976886471788,1,0.17034201174315122,3.257016248153619,4966,0.9642718446601942,790,927,1204,1862,59,99,26
0.2,6350,2043,4307,1821,222,0.8913362701908958,0.32173228346456695,0.2867716535433071,1,0.17641751095899028,3.017725258493353,4144,0.9621546319944276,657,747,966,1625,51,89,23
0.22499999999999998,5507,1890,3617,1694,196,0.8962962962962963,0.3431995641910296,0.3076084982749228,1,0.18137753706439075,2.791728212703102,3476,0.9610174177495162,560,624,760,1447,47,76,18
0.25,4832,1757,3075,1589,168,0.9043824701195219,0.36361754966887416,0.32884933774834435,1,0.18946371088761638,2.5952732644017726,2947,0.9583739837398374,478,525,590,1284,44,66,18
0.27499999999999997,4228,1612,2616,1464,148,0.9081885856079405,0.3812677388836329,0.34626300851466413,1,0.19326982637603496,2.38109305760709,2511,0.9598623853211009,419,436,474,1127,38,55,12
0.3,3829,1498,2331,1363,135,0.9098798397863819,0.3912248628884826,0.3559676155654218,1,0.19496108055447636,2.212703101920236,2237,0.9596739596739596,385,385,403,1021,35,49,10
0.32499999999999996,3578,1429,2149,1303,126,0.9118264520643807,0.3993851313583007,0.36416992733370596,1,0.19690769283247522,2.1107828655834564,2065,0.9609120521172638,360,355,369,944,29,45,10
0.35,3271,1356,1915,1242,114,0.915929203539823,0.4145521247324977,0.379700397431978,1,0.20101044430791748,2.0029542097488924,1831,0.956135770234987,324,308,315,849,29,45,10
0.37499999999999994,2657,1199,1458,1104,95,0.920767306088407,0.45126082047421906,0.41550621001129096,1,0.20584854685650145,1.7710487444608567,1394,0.9561042524005487,245,230,206,702,25,32,7
0.39999999999999997,2388,1110,1278,1025,85,0.9234234234234234,0.4648241206030151,0.42922948073701844,1,0.20850466419151792,1.6395864106351552,1217,0.9522691705790297,212,202,173,621,24,31,6
0.42499999999999993,2036,978,1058,904,74,0.9243353783231084,0.48035363457760316,0.444007858546169,1,0.2094166190912029,1.4446085672082718,1009,0.9536862003780718,173,165,127,536,14,29,6
0.44999999999999996,1715,880,835,817,63,0.928409090909091,0.5131195335276968,0.4763848396501458,1,0.21349033167718545,1.2998522895125555,791,0.9473053892215569,139,112,83,452,12,26,6
0.475,1421,774,647,724,50,0.9354005167958657,0.5446868402533427,0.5095003518648838,1,0.22048175756396016,1.1432791728212703,609,0.9412673879443586,106,73,60,365,10,22,6
0.49999999999999994,1247,715,532,671,44,0.9384615384615385,0.5733761026463512,0.5380914194065758,1,0.22354277922963295,1.0561299852289512,504,0.9473684210526315,87,60,37,319,7,18,3
0.525,1007,606,401,569,37,0.9389438943894389,0.6017874875868917,0.5650446871896723,1,0.22402513515753342,0.8951255539143279,375,0.9351620947630923,61,39,20,254,7,16,3
0.5499999999999999,824,509,315,480,29,0.9430255402750491,0.6177184466019418,0.5825242718446602,1,0.22810678104314364,0.7518463810930576,294,0.9333333333333333,41,34,15,204,5,13,3
0.575,697,444,253,419,25,0.9436936936936937,0.6370157819225251,0.6011477761836442,1,0.2287749344617882,0.6558345642540621,232,0.9169960474308301,34,27,11,160,5,13,3
0.6,597,387,210,365,22,0.9431524547803618,0.6482412060301508,0.6113902847571189,1,0.2282336955484563,0.5716395864106352,194,0.9238095238095239,28,20,7,139,4,9,3
0.625,526,344,182,324,20,0.9418604651162791,0.6539923954372624,0.6159695817490495,1,0.22694170588437357,0.5081240768094535,166,0.9120879120879121,24,18,4,120,4,9,3
0.65,438,289,149,274,15,0.9480968858131488,0.6598173515981736,0.6255707762557078,1,0.23317812658124326,0.42688330871491875,135,0.9060402684563759,18,14,2,101,3,9,2
0.675,365,244,121,233,11,0.9549180327868853,0.6684931506849315,0.6383561643835617,1,0.23999927355497974,0.3604135893648449,108,0.8925619834710744,10,8,2,88,2,9,2
0.7,257,175,82,167,8,0.9542857142857143,0.6809338521400778,0.6498054474708171,1,0.23936695505380878,0.258493353028065,72,0.8780487804878049,7,5,1,59,1,7,2
0.725,227,159,68,151,8,0.949685534591195,0.7004405286343612,0.6651982378854625,1,0.23476677535928947,0.23485967503692762,61,0.8970588235294118,6,3,1,51,1,4,2
0.75,205,152,53,144,8,0.9473684210526315,0.7414634146341463,0.7024390243902439,1,0.23244966182072602,0.22451994091580502,48,0.9056603773584906,5,1,1,41,0,3,2
0.775,179,132,47,125,7,0.946969696969697,0.7374301675977654,0.6983240223463687,1,0.2320509377377915,0.19497784342688332,44,0.9361702127659575,4,1,1,38,0,2,1
0.7999999999999999,169,128,41,123,5,0.9609375,0.757396449704142,0.727810650887574,1,0.2460187407680945,0.18906942392909898,38,0.926829268292683,4,0,1,33,0,2,1
0.825,153,119,34,114,5,0.957983193277311,0.7777777777777778,0.7450980392156863,1,0.24306443404540545,0.1757754800590842,31,0.9117647058823529,4,0,1,26,0,2,1
0.85,118,89,29,87,2,0.9775280898876404,0.7542372881355932,0.7372881355932204,1,0.2626093306557349,0.13146233382570163,26,0.896551724137931,3,0,1,22,0,2,1
