bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2471,0.042486576863483956,0.0012140833670578712,0.0,0.06993203674247278
1,2470,0.09391424228142792,0.007692307692307693,0.06993203674247278,0.11908199648193167
2,2471,0.14686509919566476,0.014569000404694455,0.11908199648193167,0.1749788774547197
3,2470,0.20473355215615277,0.01862348178137652,0.1749788774547197,0.2352894921229924
4,2470,0.26608733713199184,0.025910931174089068,0.2352894921229924,0.2966560067264223
5,2471,0.3299580416057616,0.03237555645487657,0.2966560067264223,0.3634149274817638
6,2470,0.3996380615872737,0.05465587044534413,0.3634149274817638,0.4360970868378802
7,2471,0.47221038137347915,0.07567786321327398,0.4360970868378802,0.509754624264635
8,2470,0.5519670273235756,0.10728744939271255,0.509754624264635,0.5996651134914809
9,2471,0.6685968250713568,0.19870497774180493,0.5996651134914809,1.0
