fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1214,129,0.10626029654036244,0.08999999999999997,0.09,0.09,0.005766062602965404,0.5714285714285714,0.031007751937984496,0.0588235294117647,1214,0.0337423312883435
2,957,60,0.06269592476489028,0.5,0.5,0.5,0.0,,0.0,,0,0.0340425531914893
3,1206,27,0.022388059701492536,0.06,0.06,0.06,0.05140961857379768,0.14516129032258066,0.3333333333333333,0.20224719101123595,1206,0.051056338028169
4,1110,57,0.051351351351351354,0.66,0.66,0.66,0.0,,0.0,,0,0.0367231638418079
5,1316,61,0.04635258358662614,0.15,0.15,0.15,0.0,,0.0,,0,0.04847986852917
6,1717,56,0.032615026208503206,0.66,0.66,0.66,0.0,,0.0,,0,0.0918918918918919
7,1554,105,0.06756756756756757,0.5,0.5,0.5,0.0006435006435006435,1.0,0.009523809523809525,0.01886792452830189,0,0.0778443113772455
8,1487,69,0.04640215198386012,0.2800000000000001,0.28,0.28,0.0,,0.0,,0,0.0869565217391304
9,1583,111,0.07012002526847758,0.06999999999999988,0.0699999999999999,0.0699999999999999,0.18256475047378395,0.1384083044982699,0.36036036036036034,0.2,1583,0.0768421052631578
10,1146,60,0.05235602094240838,0.42,0.42,0.42,0.0008726003490401396,0.0,0.0,,0,0.0874035989717223
11,1553,101,0.06503541532517708,0.33,0.33,0.33,0.0,,0.0,,0,0.0915750915750915
12,938,83,0.08848614072494669,0.25,0.25,0.25,0.0,,0.0,,0,0.1325301204819277
13,1596,110,0.06892230576441102,0.12999999999999998,0.13,0.13,0.023182957393483708,0.2702702702702703,0.09090909090909091,0.13605442176870747,0,0.0734126984126984
14,1168,72,0.06164383561643835,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0692810457516339
15,1231,44,0.03574329813160033,0.33,0.33,0.33,0.0,,0.0,,0,0.0403768506056527
16,934,38,0.04068522483940043,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0428736964078794
17,944,26,0.02754237288135593,0.29999999999999993,0.3,0.3,0.0,,0.0,,0,0.0377358490566037
18,1197,94,0.0785296574770259,0.9900000000000002,0.99,0.99,0.0,,0.0,,0,0.0603864734299516
19,1579,66,0.04179860671310956,0.5,0.5,0.5,0.0,,0.0,,0,0.0992779783393501
20,1456,78,0.05357142857142857,0.33,0.33,0.33,0.0,,0.0,,0,0.0906040268456375
21,1297,95,0.07324595219737856,0.99,0.99,0.99,0.0,,0.0,,0,0.1394557823129251
22,877,18,0.020524515393386546,0.99,0.99,0.99,0.0,,0.0,,0,0.0585365853658536
23,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.001892147587511826,1.0,0.09090909090909091,0.16666666666666669,0,0.0369955156950672
24,790,18,0.02278481012658228,0.99,0.99,0.99,0.0,,0.0,,0,0.0631834750911299
25,1274,195,0.15306122448979592,0.66,0.66,0.66,0.009419152276295133,0.6666666666666666,0.041025641025641026,0.07729468599033817,0,0.24
26,1071,95,0.08870214752567694,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0812274368231047
27,1274,85,0.06671899529042387,0.5,0.5,0.5,0.0,,0.0,,0,0.0671217292377702
28,1079,98,0.09082483781278962,0.99,0.99,0.99,0.0,,0.0,,0,0.0699881376037959
29,835,21,0.025149700598802394,0.7699999999999998,0.77,0.77,0.0,,0.0,,0,0.0519835841313269
30,1322,102,0.07715582450832073,0.9900000000000001,0.99,0.99,0.0015128593040847202,1.0,0.0196078431372549,0.038461538461538464,0,0.0889192886456908
31,1409,71,0.050390347764371894,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.1338432122370937
32,1752,64,0.0365296803652968,0.99,0.99,0.99,0.0,,0.0,,0,0.0721649484536082
33,1529,100,0.06540222367560497,0.61,0.61,0.61,0.0,,0.0,,0,0.1220472440944882
34,1557,161,0.10340398201669879,0.71,0.7100000000000001,0.7100000000000001,0.0006422607578676942,1.0,0.006211180124223602,0.01234567901234568,0,0.3248175182481752
35,1649,184,0.11158277744087326,0.6599999999999999,0.66,0.66,0.0018192844147968466,1.0,0.016304347826086956,0.03208556149732621,0,0.1515837104072398
36,1205,93,0.07717842323651453,0.75,0.75,0.75,0.0008298755186721991,1.0,0.010752688172043012,0.021276595744680854,0,0.0789473684210526
37,1562,157,0.10051216389244558,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.1012658227848101
38,981,133,0.13557594291539246,0.8699999999999997,0.87,0.87,0.0010193679918450561,1.0,0.007518796992481203,0.014925373134328356,0,0.1703056768558952
39,1684,153,0.09085510688836104,0.9000000000000002,0.9,0.9,0.0023752969121140144,1.0,0.026143790849673203,0.05095541401273886,0,0.1122661122661122
40,1269,124,0.09771473601260836,0.99,0.99,0.99,0.0,,0.0,,0,0.1464968152866242
41,1237,95,0.07679870654810024,0.8100000000000003,0.81,0.81,0.0,,0.0,,0,0.0910931174089068
42,1416,81,0.057203389830508475,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0768245838668373
43,1355,126,0.0929889298892989,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.1358024691358024
44,1717,102,0.0594059405940594,0.7599999999999999,0.76,0.76,0.0011648223645894002,0.0,0.0,,0,0.1732851985559566
45,1647,80,0.048573163327261686,0.78,0.78,0.78,0.0,,0.0,,0,0.0862068965517241
46,1435,130,0.09059233449477352,0.8,0.8,0.8,0.0,,0.0,,0,0.2300884955752212
47,877,18,0.020524515393386546,0.6700000000000002,0.67,0.67,0.002280501710376283,1.0,0.1111111111111111,0.19999999999999998,0,0.0537261698440207
48,1057,88,0.08325449385052035,0.75,0.75,0.75,0.0,,0.0,,0,0.0684563758389261
49,1046,57,0.05449330783938815,0.7599999999999998,0.76,0.76,0.0028680688336520078,0.0,0.0,,0,0.1952191235059761
50,1591,242,0.15210559396605908,0.8000000000000002,0.8,0.8,0.0,,0.0,,0,0.094391244870041
51,1321,118,0.08932626797880394,0.99,0.99,0.99,0.0,,0.0,,0,0.1590909090909091
52,1425,112,0.07859649122807018,0.99,0.99,0.99,0.0,,0.0,,0,0.1218487394957983
53,1400,132,0.09428571428571429,0.99,0.99,0.99,0.0,,0.0,,0,0.2035714285714285
54,1504,124,0.08244680851063829,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0006648936170212766,1.0,0.008064516129032258,0.016,0,0.1744084136722173
55,2189,116,0.05299223389675651,0.8800000000000001,0.88,0.88,0.0,,0.0,,0,0.0967213114754098
56,1924,148,0.07692307692307693,0.66,0.66,0.66,0.0,,0.0,,0,0.0935483870967742
57,1906,227,0.11909758656873033,0.8,0.8,0.8,0.0,,0.0,,0,0.1368421052631579
58,1984,207,0.10433467741935484,0.7699999999999998,0.77,0.77,0.003528225806451613,0.8571428571428571,0.028985507246376812,0.056074766355140186,0,0.1987381703470031
59,1280,117,0.09140625,0.8499999999999999,0.85,0.85,0.003125,1.0,0.03418803418803419,0.06611570247933884,0,0.2995951417004048
60,1954,193,0.09877175025588536,0.75,0.75,0.75,0.0,,0.0,,0,0.2949852507374631
61,1237,159,0.12853678253839934,0.7599999999999999,0.76,0.76,0.005658852061438965,0.5714285714285714,0.025157232704402517,0.04819277108433735,0,0.4010989010989011
62,1985,215,0.10831234256926953,0.75,0.75,0.75,0.0025188916876574307,1.0,0.023255813953488372,0.04545454545454545,0,0.1261595547309833
63,1488,153,0.1028225806451613,0.75,0.75,0.75,0.0013440860215053765,1.0,0.013071895424836602,0.02580645161290323,0,0.1511627906976744
64,1669,117,0.0701018573996405,0.75,0.75,0.75,0.0011983223487118035,0.5,0.008547008547008548,0.016806722689075633,0,0.0960960960960961
65,1572,160,0.10178117048346055,0.75,0.75,0.75,0.0,,0.0,,0,0.1464019851116625
66,1999,131,0.0655327663831916,0.7699999999999998,0.77,0.77,0.0,,0.0,,0,0.2681564245810056
67,1695,169,0.09970501474926254,0.75,0.75,0.75,0.0011799410029498525,0.5,0.005917159763313609,0.011695906432748537,0,0.1530054644808743
68,1430,106,0.07412587412587412,0.7999999999999998,0.8,0.8,0.0,,0.0,,0,0.1580459770114942
69,1312,71,0.054115853658536585,0.8699999999999999,0.87,0.87,0.006859756097560976,0.5555555555555556,0.07042253521126761,0.125,0,0.2133090246125797
70,1725,118,0.06840579710144927,0.8,0.8,0.8,0.0,,0.0,,0,0.2811387900355871
71,877,18,0.020524515393386546,0.75,0.75,0.75,0.0,,0.0,,0,0.0806703039750584
72,1205,113,0.0937759336099585,0.99,0.99,0.99,0.0,,0.0,,0,0.1588235294117673
73,1346,125,0.09286775631500743,0.6600000000000001,0.66,0.66,0.0,,0.0,,0,0.1521984216459977
74,1851,121,0.06537007023230686,0.7200000000000001,0.72,0.72,0.0,,0.0,,0,0.1279333838001513
