fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,682,20,0.02932551319648094,0.9899999999999999,0.99,0.99,0.0,,0.0,,0,0.0
2,856,18,0.02102803738317757,0.07999999999999999,0.08,0.08,0.1939252336448598,0.060240963855421686,0.5555555555555556,0.10869565217391304,856,0.0866141732283464
3,1057,22,0.020813623462630087,0.9900000000000001,0.99,0.99,0.001892147587511826,1.0,0.09090909090909091,0.16666666666666669,0,0.0784313725490196
4,930,25,0.026881720430107527,0.12999999999999995,0.13,0.13,0.0032258064516129032,0.0,0.0,,0,0.02116844300994229
5,1212,44,0.036303630363036306,0.049999999999999996,0.05,0.05,0.018151815181518153,0.0,0.0,,0,0.024439659083078852
6,1066,18,0.016885553470919325,0.09,0.09,0.09,0.0,,0.0,,1066,0.0614754098360655
7,812,29,0.03571428571428571,0.07999999999999997,0.08,0.08,0.1022167487684729,0.03614457831325301,0.10344827586206896,0.05357142857142857,812,0.0841121495327102
8,1092,19,0.0173992673992674,0.0699999999999999,0.0699999999999999,0.0699999999999999,0.27380952380952384,0.03678929765886288,0.5789473684210527,0.06918238993710693,1092,0.0710659898477157
9,749,15,0.020026702269692925,0.12000000000000004,0.12,0.12,0.0,,0.0,,0,0.0846394984326018
10,1267,46,0.036306235201262825,0.09999999999999988,0.0999999999999999,0.0999999999999999,0.014206787687450671,0.0,0.0,,0,0.0919117647058823
11,877,18,0.020524515393386546,0.5,0.5,0.5,0.020524515393386546,0.2222222222222222,0.2222222222222222,0.2222222222222222,0,0.10250896057347637
12,1288,34,0.026397515527950312,0.25,0.25,0.25,0.013975155279503106,0.2222222222222222,0.11764705882352941,0.15384615384615383,0,0.1081081081081081
13,719,26,0.03616133518776078,0.39999999999999986,0.4,0.4,0.005563282336578581,0.0,0.0,,0,0.03195732393846285
14,1268,49,0.038643533123028394,0.33,0.33,0.33,0.00473186119873817,0.5,0.061224489795918366,0.1090909090909091,0,0.1075268817204301
15,835,30,0.03592814371257485,0.9900000000000001,0.99,0.99,0.0,,0.0,,0,0.0655737704918032
16,701,11,0.015691868758915834,0.66,0.66,0.66,0.0,,0.0,,0,0.0492957746478873
17,415,2,0.004819277108433735,0.5,0.5,0.5,0.0,,0.0,,0,0.21875
18,841,34,0.04042806183115339,0.5,0.5,0.5,0.0,,0.0,,0,0.0614334470989761
19,1331,16,0.012021036814425245,0.99,0.99,0.99,0.0,,0.0,,0,0.1764705882352941
20,1030,22,0.021359223300970873,0.11000000000000004,0.11,0.11,0.05728155339805825,0.0847457627118644,0.22727272727272727,0.12345679012345677,0,0.0701030927835051
21,1086,28,0.02578268876611418,0.19999999999999996,0.2,0.2,0.0,,0.0,,0,0.0432098765432098
22,1214,129,0.10626029654036244,0.08999999999999997,0.09,0.09,0.005766062602965404,0.5714285714285714,0.031007751937984496,0.0588235294117647,1214,0.0337423312883435
23,957,60,0.06269592476489028,0.5,0.5,0.5,0.0,,0.0,,0,0.0340425531914893
24,1206,27,0.022388059701492536,0.06,0.06,0.06,0.05140961857379768,0.14516129032258066,0.3333333333333333,0.20224719101123595,1206,0.051056338028169
25,1110,57,0.051351351351351354,0.66,0.66,0.66,0.0,,0.0,,0,0.0367231638418079
26,1316,61,0.04635258358662614,0.15,0.15,0.15,0.0,,0.0,,0,0.04847986852917
27,1717,56,0.032615026208503206,0.66,0.66,0.66,0.0,,0.0,,0,0.0918918918918919
28,1554,105,0.06756756756756757,0.5,0.5,0.5,0.0006435006435006435,1.0,0.009523809523809525,0.01886792452830189,0,0.0778443113772455
29,1487,69,0.04640215198386012,0.2800000000000001,0.28,0.28,0.0,,0.0,,0,0.0869565217391304
30,1583,111,0.07012002526847758,0.06999999999999988,0.0699999999999999,0.0699999999999999,0.18256475047378395,0.1384083044982699,0.36036036036036034,0.2,1583,0.0768421052631578
31,1146,60,0.05235602094240838,0.42,0.42,0.42,0.0008726003490401396,0.0,0.0,,0,0.0874035989717223
