scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,43387,0.35237027832598333,0.02921713602351836,0.022379975568718742,0.0068371604547996165
overall,raw,1,0.1,0.2,15277,0.124073126558325,0.14767421387468105,0.03796556915624796,0.10970864471843308
overall,raw,2,0.2,0.30000000000000004,12780,0.10379358234047219,0.2488930875776519,0.04154929577464789,0.20734379180300402
overall,raw,3,0.30000000000000004,0.4,11448,0.09297565967400044,0.34978654167135226,0.047519217330538085,0.30226732434081416
overall,raw,4,0.4,0.5,10680,0.086738298857296,0.4494677539370703,0.05955056179775281,0.38991719213931747
overall,raw,5,0.5,0.6000000000000001,9687,0.0786735862388227,0.5486506222201856,0.08021059151440074,0.4684400307057848
overall,raw,6,0.6000000000000001,0.7000000000000001,8475,0.06883025119996102,0.6485315933269737,0.12495575221238939,0.5235758411145843
overall,raw,7,0.7000000000000001,0.8,6724,0.05460939340041745,0.7475788241550371,0.2043426531826294,0.5432361709724076
overall,raw,8,0.8,0.9,4058,0.03295730494034711,0.8440338370246567,0.3430261212419911,0.5010077157826656
overall,raw,9,0.9,1.0,613,0.004978518464374761,0.9197668675302876,0.6313213703099511,0.2884454972203365
overall,calibrated,0,0.0,0.1,108145,0.8783064915657562,0.03402603710369429,0.04349715659531185,0.00947111949161756
overall,calibrated,1,0.1,0.2,9827,0.07981060513770111,0.13716840700894467,0.17156812862521625,0.034399721616271584
overall,calibrated,2,0.2,0.30000000000000004,2770,0.022496731070665726,0.24529698267351352,0.29025270758122745,0.044955724907713934
overall,calibrated,3,0.30000000000000004,0.4,1328,0.01078543641221808,0.3388883382532857,0.37650602409638556,0.03761768584309988
overall,calibrated,4,0.4,0.5,593,0.004816087193106416,0.4425707862719038,0.4772344013490725,0.0346636150771687
overall,calibrated,5,0.5,0.6000000000000001,275,0.002233429979939738,0.547961277281474,0.5345454545454545,0.01341582273601949
overall,calibrated,6,0.6000000000000001,0.7000000000000001,90,0.0007309407207075506,0.6413928651739637,0.7,0.0586071348260363
overall,calibrated,7,0.7000000000000001,0.8,64,0.0005197800680587026,0.7399420633249082,0.5,0.2399420633249082
overall,calibrated,8,0.8,0.9,16,0.00012994501701467566,0.8746530860068098,0.8125,0.0621530860068098
overall,calibrated,9,0.9,1.0,21,0.0001705528348317618,0.9757034574734611,0.9047619047619048,0.07094155271155633
