model,subtype,count,rate_within_no_match
SDE,far_miss_6_plus,1718,0.35255489431561665
SDE,near_miss_3_5,1236,0.25364252000820847
SDE,no_future,1622,0.3328545044120665
SDE,unexpected_within_horizon,297,0.060948081264108354
Batch,far_miss_6_plus,97,0.27019498607242337
Batch,near_miss_3_5,63,0.17548746518105848
Batch,no_future,164,0.4568245125348189
Batch,unexpected_within_horizon,35,0.09749303621169916
MOA,far_miss_6_plus,1903,0.3871820956256358
MOA,near_miss_3_5,1246,0.25350966429298066
MOA,no_future,1306,0.2657171922685656
MOA,unexpected_within_horizon,460,0.0935910478128179
