model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
Batch,excluded_no_match,near_miss_3_5,2023 :: Austrian Grand Prix,LEC,43,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
Batch,excluded_no_match,no_future,2023 :: Austrian Grand Prix,STR,68,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Bahrain Grand Prix,MAG,21,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Belgian Grand Prix,OCO,26,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Belgian Grand Prix,TSU,19,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,no_future,2024 :: Dutch Grand Prix,HUL,71,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,near_miss_3_5,2024 :: Emilia Romagna Grand Prix,VER,47,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Las Vegas Grand Prix,COL,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,8.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Miami Grand Prix,VET,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,14.0,,,
MOA,excluded_no_match,no_future,2024 :: São Paulo Grand Prix,BOT,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Australian Grand Prix,HAM,13,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Emilia Romagna Grand Prix,COL,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: Hungarian Grand Prix,LAT,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,MAG,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2022 :: Abu Dhabi Grand Prix,PER,14,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: Spanish Grand Prix,HAM,45,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,no_future,2023 :: Hungarian Grand Prix,BOT,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Monaco Grand Prix,STR,32,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: São Paulo Grand Prix,NOR,47,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,unexpected_within_horizon,2024 :: Abu Dhabi Grand Prix,BOT,29,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Austrian Grand Prix,BOT,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,no_future,2024 :: Japanese Grand Prix,ALO,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Abu Dhabi Grand Prix,BOT,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Australian Grand Prix,RUS,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Austrian Grand Prix,ALO,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,no_future,2025 :: Chinese Grand Prix,LEC,51,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Chinese Grand Prix,PIA,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,no_future,2025 :: Emilia Romagna Grand Prix,ZHO,39,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2025 :: Singapore Grand Prix,VET,50,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,no_future,2025 :: United States Grand Prix,MAG,50,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
