learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.237809438,-6.152147168500557E-14,1000.0,82.8,16.2772585669782,-265.95744680851044,-282.222222222222,1000.0,-1.0,42.0,20.0,2048.5,3507.7544150902822,-5.261904761904763,4.742436976757135,1.3571428571428572,1.3582885316425364,1.1666666666666667,0.6955140813803657,1.1666666666666667,0.6955140813803657,0.16666666666666666,0.5372316876161176,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.347667573,-8.994184977685412E-14,2000.0,85.5,12.49641687913944,-297.26027397260304,-308.45070422535247,2000.0,-1.0,42.0,46.0,6231.976190476189,13548.285513867537,-10.500000000000002,15.335674971427515,2.8571428571428577,4.381621420407861,1.9285714285714288,2.1908107102039307,1.9285714285714288,2.1908107102039307,0.642857142857143,1.245899196709898,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.437768658,-1.1325106490403414E-13,3000.0,89.56666666666668,14.857501924546959,-251.68539325842735,-259.7701149425282,3000.0,-1.0,42.0,70.0,12201.0,31712.052223013285,-15.095238095238098,26.815366475403998,4.166666666666666,7.663396262521126,2.5714285714285716,3.839098326194336,2.5714285714285716,3.839098326194336,1.0476190476190474,1.8604009658604999,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.555532657,-1.437166956667271E-13,4000.0,91.175,17.640889781695865,-196.63865546218452,-201.70940170940187,4000.0,-1.0,42.0,91.0,20635.809523809527,36171.087970742934,-23.428571428571434,29.529764114213897,6.5476190476190474,8.439750259142832,3.7619047619047614,4.230029255561195,3.7619047619047614,4.230029255561195,1.9523809523809523,2.197031044912945,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.649203586,-1.679494319897559E-13,5000.0,92.2,16.226821679983072,-168.96551724137893,-174.6478873239437,5000.0,-1.0,42.0,116.0,30587.119047619046,50686.8787462225,-31.666666666666668,36.81242278830226,8.904761904761905,10.517835082372073,4.952380952380952,5.258917541186037,4.952380952380952,5.258917541186037,2.452380952380952,2.421472853072056,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.737184878,-1.907102551518215E-13,6000.0,92.25,16.989485334808972,-151.351351351351,-155.49450549450563,6000.0,-1.0,42.0,140.0,41426.40476190476,85431.37564409184,-39.09523809523809,51.711115719604415,11.023809523809526,14.777187585546976,6.000000000000002,7.39808808524697,6.000000000000002,7.39808808524697,2.6904761904761907,2.806682750222207,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.818988704,-2.1187296344174278E-13,7000.0,92.97142857142858,16.303267963690693,-152.30769230769278,-156.24999999999963,7000.0,-1.0,42.0,166.0,52754.7142857143,108739.44442033536,-44.76190476190476,59.34677319759111,12.64285714285714,16.958804359275074,6.809523809523808,8.488839431256972,6.809523809523808,8.488839431256972,2.928571428571429,2.966420666045909,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.918509754,-2.3761913025130826E-13,8000.0,93.21249999999999,14.903270053414522,-139.2070484581495,-143.49775784753385,8000.0,-1.0,42.0,196.0,68242.99999999999,141544.75664987796,-53.42857142857143,75.76412139391793,15.11904761904762,21.649314055434825,8.047619047619047,10.833445009698666,8.047619047619047,10.833445009698666,3.190476190476191,3.2477992191193046,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.015235452,-2.6264213749931913E-13,9000.0,93.52222222222221,13.986299773236569,-128.6274509803924,-134.13654618473953,9000.0,-1.0,42.0,221.0,84038.21428571428,211499.1110537204,-61.09523809523809,96.39547846996831,17.30952380952381,27.54374622060828,9.142857142857144,13.779750835956552,9.142857142857144,13.779750835956552,3.3809523809523814,3.4212562302170633,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.088735681,-2.8165669930684895E-13,10000.0,93.75,13.593175934662598,-122.41992882562268,-127.27272727272754,10000.0,-1.0,42.0,244.0,99331.73809523808,294212.43048668245,-67.33333333333334,117.72221678682087,19.095238095238095,33.63491908194882,10.047619047619047,16.81745954097441,10.047619047619047,16.81745954097441,3.4047619047619047,3.422019969789088,0.0,0.0,0.0,0.0,1.0,0.0
