rank,feature,mean_abs_shap,mean_signed_shap
1,humidity_expanding_z,0.041021874400067534,-0.019395263371355064
2,tire_life_ratio,0.03521502990965592,-0.01315672456707921
3,lapTime_expanding_z,0.034822625398008906,-0.019447378728535764
4,trackTemp_expanding_z,0.031182876488180262,-0.016246941145027
5,gapAhead,0.028239358234411965,-0.01110253811409199
6,airTemp_expanding_z,0.027855449408330332,-0.01607035198043091
7,tyreLife,0.027455275524318513,-0.010348384655447651
8,gapBehind,0.025723184114079162,-0.014023441886716415
9,pace_drop_ratio,0.024691858337412727,-0.011030440145686493
10,position,0.019414955350178204,-0.008346234732358645
11,gap_to_physical_car,0.01711349009111602,-0.0059174137403402785
12,pitLoss,0.014939118159109007,-0.008275940313751265
13,pace_trend,0.013686230135601335,-0.008716101879404766
14,gapAhead_trend,0.012302704993076147,-0.008544113754755929
15,speedTrap_expanding_z,0.009854043150775779,-0.009082507102738767
16,positions_lost,0.003584719822620584,-0.0029173189675509394
17,has_drop_zone_data,0.0013482928274815612,-0.0005764225625349822
