feature,importance_drop_f1,importance_std
humidity_expanding_z,0.02474730113292044,0.003286714774776008
lapTime_expanding_z,0.021016944061606323,0.002924421457435193
gapBehind,0.017677041712428353,0.001646314584881922
trackTemp_expanding_z,0.017210524430442204,0.0034430173273277227
tire_life_ratio,0.016660280867603832,0.003980673581801555
gapAhead,0.016102950800622677,0.002365378387955552
pitLoss,0.015589163683911268,0.0015671064224650954
airTemp_expanding_z,0.012262447503585867,0.0027074470883353863
gap_to_physical_car,0.00992236176260915,0.0014542505001324327
position,0.009214546528436517,0.002831970920025774
tyreLife,0.008759063252169436,0.0009857524073337669
gapAhead_trend,0.007427267184333846,0.0018054726826915724
speedTrap_expanding_z,0.006125592373258831,0.0009172774972402342
pace_trend,0.00426272918304158,0.002857076997432188
positions_lost,0.0013194263900927817,0.0013784560577904633
pace_drop_ratio,0.0009067147563643574,0.0031525659070336383
has_drop_zone_data,-2.4098096165564575e-05,0.00029273828792082793
