protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.27531991632133324,0.2752349173402714,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.2643339741289413,0.2647408551567431,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.14483711063169113,0.1444586787226522,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.14532367017429765,0.1455102065778758,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.3165900221162871,0.3163953544648174,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.3012375883400119,0.3022546085131792,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.29991409220498033,0.2995988859175832,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.28773206693220277,0.2883873601823357,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.2620397354266747,0.26196417553188794,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.2481827122908727,0.24857361006216339,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.05727675192685226,0.05685788750805354,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.05920688221739804,0.06026010469972308,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.14483711063169113,0.1444586787226522,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.14532367017429765,0.1455102065778758,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.3165900221162871,0.3163953544648174,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.3012375883400119,0.3022546085131792,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.29991409220498033,0.2995988859175832,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.28773206693220277,0.2883873601823357,0.08808848980410845,39869,3512
