feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
tire_life_ratio,0.32366377,-0.11436349,0.38440433,0.46841722222222226
airTemp_expanding_z,0.26789543,-0.13493147,0.37239414,0.03719493389388375
lapTime_expanding_z,0.24993277,-0.11439701,0.43294466,-0.24917622300879952
trackTemp_expanding_z,0.24518116,-0.13319367,0.29771522,-0.3069149025982176
humidity_expanding_z,0.23126751,-0.11260937,0.28454328,0.08134854379634407
pitLoss,0.18824436,-0.08334973,0.26003915,22.5492
position,0.18521318,-0.07232603,0.22601727,10.4174
tyreLife,0.14927298,-0.11013616,0.23310637,14.9222
gapAhead,0.14408629,-0.0845564,0.17241691,105.18133800000001
gapBehind,0.13217972,-0.094886765,0.15633455,124.8002632
gapAhead_trend,0.1307613,-0.06458689,0.13887288,1.6023842
gap_to_physical_car,0.1152489,-0.05983883,0.13200125,628.3779562
speedTrap_expanding_z,0.10025521,-0.06511472,0.12409312,0.052345325521418296
pace_drop_ratio,0.091764055,-0.068516865,0.13239236,1.0107851006479505
pace_trend,0.088387296,-0.05930581,0.15427412,0.0011783398445838274
positions_lost,0.07437671,-0.025126122,0.13410462,2.0724
has_drop_zone_data,0.007126297,-0.0023200926,0.009323645,0.3878
