threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,36598,3833,32765,3184,649,0.8306809287764153,0.1047324990436636,0.0869992895786655,1,0.1157621695445098,5.6617429837518465,31958,0.9753700595147261,2696,4301,10460,4937,197,432,163
0.075,20796,3104,17692,2641,463,0.8508376288659794,0.14925947297557224,0.1269955760723216,1,0.13591886963407385,4.58493353028065,17170,0.9704951390458965,1721,2554,5243,3216,129,292,98
0.1,13701,2512,11189,2172,340,0.8646496815286624,0.183344281439311,0.15852857455660171,1,0.14973092229675689,3.7104874446085674,10808,0.965948699615694,1202,1688,3153,2257,106,209,65
0.125,10742,2194,8548,1894,300,0.8632634457611669,0.20424501954943214,0.17631725935579967,1,0.14834468652926136,3.240768094534712,8242,0.9642021525503042,957,1325,2264,1863,91,165,49
0.15,7741,1822,5919,1582,240,0.8682766190998902,0.23537010722128923,0.20436636093527968,1,0.15335785986798467,2.691285081240768,5686,0.9606352424396013,704,964,1454,1395,73,124,35
0.175,5823,1559,4264,1363,196,0.8742783835792175,0.2677314099261549,0.23407178430362355,1,0.159359624347312,2.3028064992614476,4080,0.9568480300187617,534,704,1000,1076,59,95,29
0.2,4913,1406,3507,1248,158,0.887624466571835,0.28617952371259925,0.2540199470791777,1,0.17270570733992952,2.0768094534711965,3349,0.954947248360422,467,587,779,924,50,84,24
0.22499999999999998,4092,1240,2852,1105,135,0.8911290322580645,0.30303030303030304,0.27003910068426196,1,0.176210273026159,1.8316100443131462,2722,0.9544179523141655,400,488,642,773,43,68,19
0.25,3587,1102,2485,982,120,0.8911070780399274,0.3072205185391692,0.27376637858935043,1,0.17618831880802188,1.6277695716395864,2369,0.9533199195171026,363,423,567,653,39,58,19
0.27499999999999997,3041,977,2064,874,103,0.8945752302968271,0.32127589608681356,0.2874054587306807,1,0.17965647106492155,1.4431314623338256,1963,0.9510658914728682,308,348,459,560,35,48,18
0.3,2340,835,1505,751,84,0.8994011976047904,0.35683760683760685,0.32094017094017097,1,0.18448243837288492,1.2333825701624814,1428,0.9488372093023256,232,268,326,440,25,38,14
0.32499999999999996,1795,681,1114,615,66,0.9030837004405287,0.3793871866295265,0.3426183844011142,1,0.18816494120862315,1.0059084194977843,1053,0.9452423698384201,167,192,225,331,17,31,13
0.35,1464,595,869,542,53,0.9109243697478991,0.4064207650273224,0.3702185792349727,1,0.19600561051599363,0.8788774002954209,823,0.9470655926352128,124,156,166,281,10,23,13
0.37499999999999994,1180,505,675,460,45,0.9108910891089109,0.4279661016949153,0.3898305084745763,1,0.1959723298770054,0.7459379615952733,637,0.9437037037037037,97,129,124,214,10,19,9
0.39999999999999997,1032,453,579,415,38,0.9161147902869757,0.438953488372093,0.4021317829457364,1,0.20119603105507022,0.6691285081240768,543,0.9378238341968912,84,108,105,183,9,18,9
0.42499999999999993,815,378,437,345,33,0.9126984126984127,0.4638036809815951,0.4233128834355828,1,0.19777965346650717,0.5583456425406204,410,0.9382151029748284,72,78,84,138,5,14,8
0.44999999999999996,677,326,351,296,30,0.9079754601226994,0.4815361890694239,0.43722304283604135,1,0.19305670089079385,0.4815361890694239,331,0.9430199430199431,62,64,65,106,2,13,5
0.475,562,280,282,259,21,0.925,0.498220640569395,0.4608540925266904,1,0.21008124076809453,0.413589364844904,265,0.9397163120567376,48,50,52,82,1,11,5
0.49999999999999994,445,242,203,222,20,0.9173553719008265,0.5438202247191011,0.49887640449438203,1,0.202436612668921,0.35745937961595275,188,0.9261083743842364,39,41,33,60,1,9,5
0.525,379,206,173,186,20,0.9029126213592233,0.5435356200527705,0.49076517150395776,1,0.18799386212731783,0.30428360413589367,161,0.930635838150289,33,33,30,51,1,6,5
0.5499999999999999,314,176,138,160,16,0.9090909090909091,0.5605095541401274,0.5095541401273885,1,0.19417214985900355,0.25997045790251105,130,0.9420289855072463,28,27,24,46,1,4,3
0.575,271,159,112,145,14,0.9119496855345912,0.5867158671586716,0.5350553505535055,1,0.1970309263026857,0.23485967503692762,107,0.9553571428571429,23,19,21,39,1,2,2
0.6,203,120,83,111,9,0.925,0.5911330049261084,0.5467980295566502,1,0.21008124076809453,0.17725258493353027,78,0.9397590361445783,19,11,15,28,1,2,2
0.625,151,86,65,78,8,0.9069767441860465,0.5695364238410596,0.5165562913907285,1,0.19205798495414095,0.12703101920236337,61,0.9384615384615385,16,10,14,20,1,2,1
0.65,136,78,58,71,7,0.9102564102564102,0.5735294117647058,0.5220588235294118,1,0.19533765102450473,0.11521418020679468,54,0.9310344827586207,14,8,14,17,1,2,1
0.675,109,60,49,53,7,0.8833333333333333,0.5504587155963303,0.48623853211009177,1,0.1684145741014278,0.08862629246676514,45,0.9183673469387755,12,5,12,15,1,2,1
0.7,99,54,45,49,5,0.9074074074074074,0.5454545454545454,0.494949494949495,1,0.19248864817550193,0.07976366322008863,42,0.9333333333333333,11,4,12,14,0,2,1
0.725,70,46,24,44,2,0.9565217391304348,0.6571428571428571,0.6285714285714286,1,0.2416029798985293,0.06794682422451995,22,0.9166666666666666,5,2,5,9,0,1,1
0.75,56,39,17,37,2,0.9487179487179487,0.6964285714285714,0.6607142857142857,1,0.23379918948604317,0.05760709010339734,15,0.8823529411764706,2,2,3,7,0,1,1
0.775,44,32,12,32,0,1.0,0.7272727272727273,0.7272727272727273,1,0.2850812407680945,0.047267355982274745,10,0.8333333333333334,2,1,1,5,0,1,1
0.7999999999999999,35,26,9,26,0,1.0,0.7428571428571429,0.7428571428571429,1,0.2850812407680945,0.03840472673559823,8,0.8888888888888888,2,1,0,5,0,0,1
0.825,35,26,9,26,0,1.0,0.7428571428571429,0.7428571428571429,1,0.2850812407680945,0.03840472673559823,8,0.8888888888888888,2,1,0,5,0,0,1
