threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,41381,4083,37298,3348,735,0.8199853049228508,0.09866847103743263,0.08090669630990067,1,0.10506654569094531,6.0310192023633675,36373,0.9751997426135449,2950,4755,12107,5201,248,493,168
0.075,22961,3250,19711,2731,519,0.8403076923076923,0.14154435782413657,0.11894081268237446,1,0.1253889330757868,4.800590841949778,19119,0.9699660088275582,1868,2770,6029,3334,169,322,98
0.1,14984,2605,12379,2224,381,0.8537428023032629,0.17385210891617725,0.14842498665242926,1,0.13882404307135743,3.847858197932053,11958,0.965990790855481,1297,1827,3616,2326,135,220,65
0.125,11435,2257,9178,1929,328,0.8546743464776252,0.19737647573240052,0.16869261040664627,1,0.13975558724571968,3.333825701624815,8849,0.9641534103290478,1005,1399,2513,1900,106,173,49
0.15,8224,1870,6354,1607,263,0.8593582887700535,0.22738326848249027,0.19540369649805447,1,0.14443952953814798,2.7621861152141802,6107,0.9611268492288322,732,1015,1627,1417,81,130,35
0.175,6254,1603,4651,1386,217,0.8646288209606987,0.2563159577870163,0.22161816437480014,1,0.1497100617287932,2.3677991137370755,4454,0.9576435175231133,561,751,1142,1097,67,100,29
0.2,5157,1433,3724,1260,173,0.8792742498255408,0.27787473337211555,0.2443280977312391,1,0.1643554905936353,2.1166912850812407,3557,0.9551557465091299,485,609,824,938,55,88,24
0.22499999999999998,4167,1262,2905,1117,145,0.8851030110935024,0.3028557715382769,0.26805855531557476,1,0.1701842518615969,1.8641063515509602,2768,0.9528399311531842,410,498,659,778,46,72,19
0.25,3662,1124,2538,994,130,0.8843416370106761,0.3069361004915347,0.2714363735663572,1,0.16942287777877063,1.6602658788774003,2415,0.9515366430260047,373,433,584,658,42,62,19
0.27499999999999997,3098,992,2106,883,109,0.8901209677419355,0.32020658489347964,0.28502259522272433,1,0.17520220851003,1.465288035450517,1999,0.9491927825261158,316,357,472,563,37,52,18
