threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2022,4783,250,164,86,0.656,0.05226845076311938,0.034288103700606316
0.05,2023,7052,620,489,131,0.7887096774193548,0.08791832104367556,0.06934203062960863
0.05,2024,12421,1296,1078,218,0.8317901234567902,0.1043394251670558,0.08678850334111585
0.05,2025,17125,1917,1617,300,0.8435054773082942,0.11194160583941606,0.09442335766423357
0.075,2022,2165,146,90,56,0.6164383561643836,0.06743648960739031,0.04157043879907621
0.075,2023,3006,407,329,78,0.8083538083538083,0.135395874916833,0.10944777112441784
0.075,2024,6283,1029,878,151,0.8532555879494655,0.16377526659239217,0.13974216138787204
0.075,2025,11507,1668,1434,234,0.8597122302158273,0.1449552446337012,0.12461979664552011
0.1,2022,1283,93,52,41,0.5591397849462365,0.0724863600935308,0.04053000779423227
0.1,2023,1101,196,163,33,0.8316326530612245,0.17801998183469572,0.148047229791099
0.1,2024,4408,877,764,113,0.87115165336374,0.19895644283121597,0.1733212341197822
0.1,2025,8192,1439,1245,194,0.8651841556636554,0.1756591796875,0.1519775390625
0.125,2022,693,63,35,28,0.5555555555555556,0.09090909090909091,0.050505050505050504
0.125,2023,677,138,112,26,0.8115942028985508,0.2038404726735598,0.1654357459379616
0.125,2024,3415,760,658,102,0.8657894736842106,0.2225475841874085,0.19267935578330894
0.125,2025,6650,1296,1124,172,0.8672839506172839,0.19488721804511278,0.16902255639097744
0.15,2022,483,48,25,23,0.5208333333333334,0.09937888198757763,0.051759834368530024
0.15,2023,317,83,69,14,0.8313253012048193,0.2618296529968454,0.21766561514195584
0.15,2024,2434,656,569,87,0.8673780487804879,0.2695152013147083,0.23377156943303204
0.15,2025,4990,1083,944,139,0.8716528162511542,0.21703406813627255,0.18917835671342687
0.175,2022,431,44,23,21,0.5227272727272727,0.10208816705336426,0.05336426914153132
0.175,2023,168,54,45,9,0.8333333333333334,0.32142857142857145,0.26785714285714285
0.175,2024,1852,575,508,67,0.8834782608695653,0.31047516198704106,0.27429805615550756
0.175,2025,3803,930,810,120,0.8709677419354839,0.24454378122534842,0.2129897449382067
0.2,2022,244,27,12,15,0.4444444444444444,0.11065573770491803,0.04918032786885246
0.2,2023,164,52,44,8,0.8461538461538461,0.3170731707317073,0.2682926829268293
0.2,2024,1535,519,469,50,0.9036608863198459,0.33811074918566775,0.3055374592833876
0.2,2025,3214,835,735,100,0.8802395209580839,0.2598008711885501,0.22868699439950219
0.22499999999999998,2022,75,22,12,10,0.5454545454545454,0.29333333333333333,0.16
0.22499999999999998,2023,103,37,33,4,0.8918918918918919,0.3592233009708738,0.32038834951456313
0.22499999999999998,2024,1340,474,429,45,0.9050632911392406,0.3537313432835821,0.3201492537313433
0.22499999999999998,2025,2649,729,643,86,0.8820301783264746,0.27519818799546997,0.24273310683276708
0.25,2022,75,22,12,10,0.5454545454545454,0.29333333333333333,0.16
0.25,2023,88,33,31,2,0.9393939393939394,0.375,0.3522727272727273
0.25,2024,1108,410,370,40,0.9024390243902439,0.3700361010830325,0.33393501805054154
0.25,2025,2391,659,581,78,0.881638846737481,0.27561689669594314,0.24299456294437474
0.27499999999999997,2022,57,15,9,6,0.6,0.2631578947368421,0.15789473684210525
0.27499999999999997,2023,44,23,23,0,1.0,0.5227272727272727,0.5227272727272727
0.27499999999999997,2024,937,358,323,35,0.9022346368715084,0.3820704375667022,0.3447171824973319
0.27499999999999997,2025,2060,596,528,68,0.8859060402684564,0.28932038834951457,0.2563106796116505
0.3,2022,57,15,9,6,0.6,0.2631578947368421,0.15789473684210525
0.3,2023,43,23,23,0,1.0,0.5348837209302325,0.5348837209302325
0.3,2024,771,309,281,28,0.9093851132686084,0.40077821011673154,0.364461738002594
0.3,2025,1526,503,447,56,0.8886679920477137,0.32961992136304064,0.2929226736566186
0.32499999999999996,2022,34,14,9,5,0.6428571428571429,0.4117647058823529,0.2647058823529412
0.32499999999999996,2023,28,15,15,0,1.0,0.5357142857142857,0.5357142857142857
0.32499999999999996,2024,535,237,214,23,0.9029535864978903,0.44299065420560746,0.4
0.32499999999999996,2025,1232,429,386,43,0.8997668997668997,0.3482142857142857,0.3133116883116883
0.35,2022,28,11,6,5,0.5454545454545454,0.39285714285714285,0.21428571428571427
0.35,2023,27,15,15,0,1.0,0.5555555555555556,0.5555555555555556
0.35,2024,414,203,186,17,0.916256157635468,0.49033816425120774,0.4492753623188406
0.35,2025,1023,377,341,36,0.9045092838196287,0.36852394916911047,0.3333333333333333
0.37499999999999994,2022,27,10,6,4,0.6,0.37037037037037035,0.2222222222222222
0.37499999999999994,2023,27,15,15,0,1.0,0.5555555555555556,0.5555555555555556
0.37499999999999994,2024,335,171,155,16,0.9064327485380117,0.5104477611940299,0.4626865671641791
0.37499999999999994,2025,818,319,290,29,0.9090909090909091,0.3899755501222494,0.3545232273838631
0.39999999999999997,2022,27,10,6,4,0.6,0.37037037037037035,0.2222222222222222
0.39999999999999997,2023,25,14,14,0,1.0,0.56,0.56
0.39999999999999997,2024,294,155,142,13,0.9161290322580645,0.5272108843537415,0.48299319727891155
0.39999999999999997,2025,713,284,259,25,0.9119718309859155,0.39831697054698456,0.3632538569424965
0.42499999999999993,2022,21,8,6,2,0.75,0.38095238095238093,0.2857142857142857
0.42499999999999993,2023,7,5,5,0,1.0,0.7142857142857143,0.7142857142857143
0.42499999999999993,2024,227,126,115,11,0.9126984126984127,0.5550660792951542,0.5066079295154186
0.42499999999999993,2025,581,247,225,22,0.9109311740890689,0.42512908777969016,0.387263339070568
0.44999999999999996,2022,21,8,6,2,0.75,0.38095238095238093,0.2857142857142857
0.44999999999999996,2023,5,4,4,0,1.0,0.8,0.8
0.44999999999999996,2024,196,115,104,11,0.9043478260869565,0.5867346938775511,0.5306122448979592
0.44999999999999996,2025,476,207,188,19,0.9082125603864735,0.43487394957983194,0.3949579831932773
0.475,2022,21,8,6,2,0.75,0.38095238095238093,0.2857142857142857
0.475,2023,5,4,4,0,1.0,0.8,0.8
0.475,2024,155,94,89,5,0.9468085106382979,0.6064516129032258,0.5741935483870968
0.475,2025,402,182,166,16,0.9120879120879121,0.4527363184079602,0.4129353233830846
0.49999999999999994,2022,21,8,6,2,0.75,0.38095238095238093,0.2857142857142857
0.49999999999999994,2023,5,4,4,0,1.0,0.8,0.8
0.49999999999999994,2024,154,94,89,5,0.9468085106382979,0.6103896103896104,0.577922077922078
